,AUTH_Meditations 11,AUTH_Meditations 4,AUTH_Meditations 1,AUTH_Meditations 2,AUTH_Meditations 6,AUTH_Meditations 9,AUTH_Meditations 5,AUTH_Meditations 12,AUTH_Meditations 10,AUTH_Meditations 7,AUTH_Meditations 8,AUTH_Meditations 3,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_Meditations 11,1.0,0.279076697167064,-0.4344382350828827,0.07722928645218685,-0.3030717898420723,0.25295895784543765,0.21861854162684252,-0.01726159740803509,0.07563713797633932,0.019485710007214933,0.2737348523329179,-0.07982246495410077,-0.2965477320029424,-0.2887415945295261,-0.2657151110339174,-0.5520432354463148,-0.35615898055776435,-0.791623819985865,-0.2494364290708555,-0.6991129366809471,-0.8254448501933159,-0.425365096676618,-0.2463842464279233,-0.40226580147594265,-0.8709986597157615
AUTH_Meditations 4,0.279076697167064,1.0,-0.6422018439598518,-0.5228104673411075,0.21122541764125943,0.64621947506009,0.6346570478180916,-0.03683894440109594,0.6116781738770175,0.45836964427823906,0.6561817035558217,-0.6281216147798404,-0.2138364442049695,-0.390930794297446,-0.26316715816609937,-0.5078256741189616,-0.44922909363188535,-0.8504437750900442,-0.26979428222838797,-0.6910491565365663,-0.8749721754404006,-0.6530743172925655,-0.27814885482014934,-0.4891101450475683,-0.7976345272420826
AUTH_Meditations 1,-0.4344382350828827,-0.6422018439598518,1.0,0.06684744242597866,-0.26527523816972204,-0.6243657348785793,-0.45463689274639363,-0.2836659042183485,-0.5484865988787052,-0.6101579882499121,-0.6266067898059564,0.49030223720512295,-0.2771844282563448,-0.6399877927539528,-0.27872717806848213,-0.19465915419457394,-0.15339205667264916,0.1647203597795022,0.007671838107694098,0.13814363898762097,-0.018318842353347038,-0.05929329271995988,-0.029721582140955466,0.15335993567662734,0.25108786775398645
AUTH_Meditations 2,0.07722928645218685,-0.5228104673411075,0.06684744242597866,1.0,-0.5054812965548808,-0.4541708721452608,-0.1954592958046125,0.21461081385472836,-0.2745515358870596,-0.6659225061430816,-0.6298054060057761,0.5443337422265428,-0.5540882488925694,-0.5160939340839462,-0.5918892801871777,-0.7983230142759202,-0.0704456663728034,-0.6492287149317476,0.036696696078401723,-0.7427174211840687,-0.7066126249319933,-0.5658727359661752,-0.09911716684583728,-0.21718681913206064,-0.7645093657010463
AUTH_Meditations 6,-0.3030717898420723,0.21122541764125943,-0.26527523816972204,-0.5054812965548808,1.0,-0.03997171080848543,-0.35481377001946124,0.19349919131624907,-0.16372895733020087,0.7370389604769124,0.5273945347863569,-0.3064418996542489,-0.23495311821994153,-0.30077221226353634,-0.16527586202605019,-0.14938103133945055,-0.24986567554709063,-0.7062718597783264,-0.4151770178094342,-0.21073723224180807,-0.619249987393577,-0.24947663186441463,-0.6782102534424088,-0.5922115435994917,-0.3550314046775122
AUTH_Meditations 9,0.25295895784543765,0.64621947506009,-0.6243657348785793,-0.4541708721452608,-0.03997171080848543,1.0,0.858684697757721,-0.1777112157364978,0.8763581327471845,0.5403364676179369,0.6521270583938584,-0.6884521170963629,-0.1888290034629188,-0.29376842263109393,-0.17833656391186054,-0.494012822221924,-0.5148159501813803,-0.7439277391712825,-0.31982324227666137,-0.7379631991084658,-0.8507878743594248,-0.694048427900817,-0.3098778238406803,-0.4350683484679521,-0.799340010339131
AUTH_Meditations 5,0.21861854162684252,0.6346570478180916,-0.45463689274639363,-0.1954592958046125,-0.35481377001946124,0.858684697757721,1.0,-0.37014380110210315,0.9209633506439293,0.10917238369090214,0.3405775042248392,-0.472412098155815,-0.12960919841727256,-0.28290392212864973,-0.16404654156649975,-0.5051744893050428,-0.5402315366426075,-0.6072388483896918,-0.16152628239163977,-0.8453214852349171,-0.7587569597870337,-0.7517664178373309,-0.061896657028149005,-0.22970128558161834,-0.7870171567775838
AUTH_Meditations 12,-0.01726159740803509,-0.03683894440109594,-0.2836659042183485,0.21461081385472836,0.19349919131624907,-0.1777112157364978,-0.37014380110210315,1.0,-0.3248906075742734,0.15446213316887666,0.2095889163243049,-0.3090889849738128,-0.25323068599126247,-0.181197908202143,-0.2559240659981747,-0.36764267134342615,0.05130361027023781,-0.8282064775134811,-0.42816863179089054,-0.21047447330221064,-0.6054976789515903,-0.24969181098643642,-0.5736693538269659,-0.8121233805249873,-0.5245081347760043
AUTH_Meditations 10,0.07563713797633932,0.6116781738770175,-0.5484865988787052,-0.2745515358870596,-0.16372895733020087,0.8763581327471845,0.9209633506439293,-0.3248906075742734,1.0,0.32749935124393353,0.34706012879561005,-0.4377298414056307,-0.1956602541448194,-0.329998988874918,-0.20385757690215606,-0.5177859472813637,-0.47637997290722406,-0.689900994921003,-0.27527457845401276,-0.804874176179852,-0.8059214623873961,-0.7604363161408589,-0.2344505854175348,-0.37231411679712073,-0.7562720298001113
AUTH_Meditations 7,0.019485710007214933,0.45836964427823906,-0.6101579882499121,-0.6659225061430816,0.7370389604769124,0.5403364676179369,0.10917238369090214,0.15446213316887666,0.32749935124393353,1.0,0.7561186902326068,-0.5706030680938546,-0.23399905208137456,-0.28838090194748794,-0.18193026931116113,-0.3858681145654621,-0.39807712972855497,-0.8156820736805152,-0.4399571031570356,-0.5180709435176761,-0.8491446258835752,-0.5408152769447163,-0.5467515358249032,-0.6082633478044782,-0.6811175368298943
