,AUTH_Meditations 11,AUTH_Meditations 4,AUTH_Meditations 1,AUTH_Meditations 2,AUTH_Meditations 6,AUTH_Meditations 9,AUTH_Meditations 5,AUTH_Meditations 12,AUTH_Meditations 10,AUTH_Meditations 7,AUTH_Meditations 8,AUTH_Meditations 3,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_Meditations 11,1.0,-0.0499240866868157,0.10420400180155465,-0.09926841633009177,0.6122392281663316,-0.7783036271651876,-0.28488593350516017,-0.3672162665479998,0.0032695204370634915,-0.15358713563862514,0.21085103750262335,-0.5379827590147276,-0.8124535460169429,-0.810718051650779,-0.810475235689903,-0.8115644549049932,-0.8114521253023678,-0.81514023600246,-0.8107092352193831,-0.8118434167178105,-0.8113036652971725,-0.8116454274445183,-0.8139800684659636,-0.8132211904368699,-0.81019210730973
AUTH_Meditations 4,-0.0499240866868157,1.0,-0.5088114265082122,-0.09382682367627024,-0.3269153936832473,-0.29665212576159833,0.15024036226796733,-0.5469701831224482,0.5056374619390656,0.0746239706829406,-0.01918021423826532,0.08980562165566783,-0.8113839523252834,-0.8115725160986895,-0.811088791869977,-0.8107858987846736,-0.8105377760290681,-0.8106134499169427,-0.8117377515707843,-0.8143882932396991,-0.8104594589985203,-0.8107318096811134,-0.8127928170652106,-0.8101482006782761,-0.8120194085368286
AUTH_Meditations 1,0.10420400180155465,-0.5088114265082122,1.0,0.38812142716449444,0.5832178205961951,0.009423069867034884,-0.15997338033253042,0.043423308182507066,0.03202667560806695,-0.42549535175259373,-0.3021487996570276,-0.5346673885225295,-0.8105489596972885,-0.8101451626062214,-0.8105604522556569,-0.810297692863697,-0.8104930153066214,-0.81278405679973,-0.8101717906804615,-0.811091719009963,-0.811122971842973,-0.810375193809222,-0.81127543918435,-0.8115482067309754,-0.810569486343701
AUTH_Meditations 2,-0.09926841633009177,-0.09382682367627024,0.38812142716449444,1.0,0.2211593680914226,0.2805466673311779,0.0618517195317603,-0.18437284966651044,-0.35982603592570617,-0.3069781570557662,-0.39522064532247714,-0.068152254416217,-0.8102066275713288,-0.8113542956926566,-0.8119278475213543,-0.8106829818269954,-0.8109165322168357,-0.8114020855807331,-0.8111795598242107,-0.8125490615558661,-0.8119169657300974,-0.8103612736657528,-0.8106043600751061,-0.8109977210062667,-0.8123511278352584
AUTH_Meditations 6,0.6122392281663316,-0.3269153936832473,0.5832178205961951,0.2211593680914226,1.0,-0.5630307919974777,-0.512675811881888,-0.3617775041459708,0.27818648592973894,-0.2755993770377962,-0.1251106222234172,-0.5134103954717036,-0.8127956430952807,-0.8110782753608323,-0.811451198577752,-0.8122411931962454,-0.8124023238247571,-0.8172219401768993,-0.8108848844121453,-0.8109919637584319,-0.8128871574447576,-0.8123463771085636,-0.8137991377046445,-0.8149791926382821,-0.8106627873636003
AUTH_Meditations 9,-0.7783036271651876,-0.29665212576159833,0.009423069867034884,0.2805466673311779,-0.5630307919974777,1.0,0.584073619620871,0.6439957948644597,-0.5588518272412311,-0.03740672044578702,-0.392730339364534,0.6593939650651732,-0.8113857274994358,-0.813584114100485,-0.8144290197001016,-0.8122252840414259,-0.8126553764430936,-0.8114588952836327,-0.8135477354501578,-0.8150734692160755,-0.8139845398489426,-0.811923096067197,-0.8113029819192826,-0.8117873925745225,-0.8152912183927584
AUTH_Meditations 5,-0.28488593350516017,0.15024036226796733,-0.15997338033253042,0.0618517195317603,-0.512675811881888,0.584073619620871,1.0,0.11102642859268241,-0.4904076291301109,-0.5563909288548333,-0.17408644893118674,0.6912371601430878,-0.8104000754469707,-0.8118235057357506,-0.8123238623420417,-0.8107571219641305,-0.8110262334423803,-0.8112738320819676,-0.8116402880544313,-0.8131324714460109,-0.8121391129069145,-0.8105100400596899,-0.8107954981715236,-0.8109761121689671,-0.8129018504601907
AUTH_Meditations 12,-0.3672162665479998,-0.5469701831224482,0.043423308182507066,-0.18437284966651044,-0.3617775041459708,0.6439957948644597,0.11102642859268241,1.0,-0.41554237188357773,0.4641799800998457,-0.36343480316688537,0.2373311686378953,-0.8109390874142274,-0.8113554829924765,-0.8115218515646226,-0.8108045329624342,-0.8109268961779064,-0.8105020305271182,-0.8117417822803612,-0.8137390843441146,-0.8111779851481143,-0.8108560785466884,-0.8116618488046122,-0.8103006171675243,-0.8123730611438506
AUTH_Meditations 10,0.0032695204370634915,0.5056374619390656,0.03202667560806695,-0.35982603592570617,0.27818648592973894,-0.5588518272412311,-0.4904076291301109,-0.41554237188357773,1.0,0.21280945387735492,-0.025097081360139165,-0.33183550362733527,-0.8117099545127592,-0.8102868343251746,-0.8101596528207408,-0.8108569170427372,-0.8108046077799373,-0.813692366513121,-0.8104539019511909,-0.8117339654193367,-0.810749417711983,-0.8110562690185156,-0.8130459982385144,-0.8120846619678368,-0.8101375308903959
AUTH_Meditations 7,-0.15358713563862514,0.0746239706829406,-0.42549535175259373,-0.3069781570557662,-0.2755993770377962,-0.03740672044578702,-0.5563909288548333,0.4641799800998457,0.21280945387735492,1.0,-0.07043612230995895,-0.11986984927017444,-0.8119758612239717,-0.811059005455363,-0.8105602675441006,-0.8111735394280704,-0.8109500991081791,-0.8110381097578063,-0.8116905676629972,-0.8142182065792581,-0.8102250230567531,-0.8113350051734429,-0.8134645012508424,-0.8104333782003323,-0.811404006201928
AUTH_Meditations 8,0.21085103750262335,-0.01918021423826532,-0.3021487996570276,-0.39522064532247714,-0.1251106222234172,-0.392730339364534,-0.17408644893118674,-0.36343480316688537,-0.025097081360139165,-0.07043612230995895,1.0,-0.15990986655312583,-0.812057681333137,-0.8106705360341123,-0.8107662207489513,-0.8118412172310063,-0.8120113875227802,-0.8157860788172989,-0.8105703764298674,-0.8110650908486456,-0.8120270578199298,-0.8116005578709694,-0.8132607615699683,-0.8137501522983397,-0.8101977607006904
AUTH_Meditations 3,-0.5379827590147276,0.08980562165566783,-0.5346673885225295,-0.068152254416217,-0.5134103954717036,0.6593939650651732,0.6912371601430878,0.2373311686378953,-0.33183550362733527,-0.11986984927017444,-0.15990986655312583,1.0,-0.8101075062572979,-0.8112581716451798,-0.8121574843513008,-0.8106763378043462,-0.8111357331787549,-0.8125522305927011,-0.8109330225609578,-0.8116016247065997,-0.8125729604409857,-0.8104172108113677,-0.8102206743961862,-0.8118603274046338,-0.8122425052279001
1CO,-0.8124535460169429,-0.8113839523252834,-0.8105489596972885,-0.8102066275713288,-0.8127956430952807,-0.8113857274994358,-0.8104000754469707,-0.8109390874142274,-0.8117099545127592,-0.8119758612239717,-0.812057681333137,-0.8101075062572979,1.0,0.5616405514492452,0.587962534069898,0.7306625586723927,-0.050432420138242284,0.14227727106134658,-0.2554371064167606,-0.0776039263570164,0.2914218768895475,-0.19191716460528163,-0.04115855755942835,-0.2552574276596414,0.3279423910571924
GAL,-0.810718051650779,-0.8115725160986895,-0.8101451626062214,-0.8113542956926566,-0.8110782753608323,-0.813584114100485,-0.8118235057357506,-0.8113554829924765,-0.8102868343251746,-0.811059005455363,-0.8106705360341123,-0.8112581716451798,0.5616405514492452,1.0,0.6610440429010099,0.547663049414743,0.08692155852433578,0.04320143663560275,-0.3411888251080009,-0.17522558695786017,0.5031611552812649,0.22742250441893022,-0.3196426024878875,-0.2147461583942082,0.22402616613400073
ROM,-0.810475235689903,-0.811088791869977,-0.8105604522556569,-0.8119278475213543,-0.811451198577752,-0.8144290197001016,-0.8123238623420417,-0.8115218515646226,-0.8101596528207408,-0.8105602675441006,-0.8107662207489513,-0.8121574843513008,0.587962534069898,0.6610440429010099,1.0,0.5265660704841533,-0.11740273225263542,-0.08731459132074781,-0.2639006741382813,-0.05407767573793221,0.4206191060289799,0.19859013549774737,-0.2095227900805764,-0.0577652164919607,0.12916444865784243
2CO,-0.8115644549049932,-0.8107858987846736,-0.810297692863697,-0.8106829818269954,-0.8122411931962454,-0.8122252840414259,-0.8107571219641305,-0.8108045329624342,-0.8108569170427372,-0.8111735394280704,-0.8118412172310063,-0.8106763378043462,0.7306625586723927,0.547663049414743,0.5265660704841533,1.0,-0.12583459660062624,0.31195089095875117,-0.26267072675341013,-0.15251771849852624,0.26962078236871595,-0.02379097841682587,-0.1475903429448714,-0.2223423854147481,0.44203182012741404
PHM,-0.8114521253023678,-0.8105377760290681,-0.8104930153066214,-0.8109165322168357,-0.8124023238247571,-0.8126553764430936,-0.8110262334423803,-0.8109268961779064,-0.8108046077799373,-0.8109500991081791,-0.8120113875227802,-0.8111357331787549,-0.050432420138242284,0.08692155852433578,-0.11740273225263542,-0.12583459660062624,1.0,-0.010579115514174703,0.5146280937928234,0.18891996888567314,0.3494438694728089,0.182105118095097,0.42244957634160135,0.13236108053289422,-0.14171616278071347
PHP,-0.81514023600246,-0.8106134499169427,-0.81278405679973,-0.8114020855807331,-0.8172219401768993,-0.8114588952836327,-0.8112738320819676,-0.8105020305271182,-0.813692366513121,-0.8110381097578063,-0.8157860788172989,-0.8125522305927011,0.14227727106134658,0.04320143663560275,-0.08731459132074781,0.31195089095875117,-0.010579115514174703,1.0,0.17911216233222435,0.34625621300436993,-0.08195811897869537,0.21686054989233558,0.20942506581919024,0.335809829669683,0.7336237052540511
