,AUTH_Meditations 11,AUTH_Meditations 4,AUTH_Meditations 1,AUTH_Meditations 2,AUTH_Meditations 6,AUTH_Meditations 9,AUTH_Meditations 5,AUTH_Meditations 12,AUTH_Meditations 10,AUTH_Meditations 7,AUTH_Meditations 8,AUTH_Meditations 3,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_Meditations 11,1.0,0.2790766971670642,-0.4344382350828821,0.07722928645218705,-0.3030717898420734,0.2529589578454381,0.21861854162684305,-0.017261597408034977,0.07563713797633968,0.0194857100072143,0.27373485233291756,-0.07982246495410028,-0.2965477320029422,-0.2887415945295258,-0.26571511103391715,-0.5520432354463147,-0.3561589805577642,-0.7916238199858645,-0.2494364290708556,-0.6991129366809467,-0.8254448501933155,-0.42536509667661754,-0.24638424642792314,-0.4022658014759429,-0.8709986597157615
AUTH_Meditations 4,0.2790766971670642,1.0,-0.6422018439598515,-0.5228104673411071,0.21122541764125755,0.6462194750600905,0.6346570478180923,-0.03683894440109681,0.6116781738770181,0.458369644278238,0.6561817035558214,-0.6281216147798401,-0.2138364442049695,-0.39093079429744587,-0.2631671581660993,-0.507825674118962,-0.44922909363188546,-0.8504437750900442,-0.269794282228388,-0.6910491565365664,-0.8749721754404007,-0.6530743172925657,-0.27814885482014917,-0.4891101450475684,-0.7976345272420831
AUTH_Meditations 1,-0.4344382350828821,-0.6422018439598515,1.0,0.06684744242597872,-0.26527523816972237,-0.6243657348785787,-0.4546368927463929,-0.28366590421834836,-0.5484865988787047,-0.610157988249912,-0.6266067898059569,0.49030223720512306,-0.2771844282563448,-0.6399877927539527,-0.27872717806848213,-0.194659154194574,-0.15339205667264916,0.16472035977950222,0.007671838107694142,0.13814363898762097,-0.01831884235334709,-0.0592932927199599,-0.02972158214095534,0.15335993567662745,0.25108786775398645
AUTH_Meditations 2,0.07722928645218705,-0.5228104673411071,0.06684744242597872,1.0,-0.5054812965548814,-0.45417087214526025,-0.19545929580461213,0.21461081385472847,-0.2745515358870591,-0.6659225061430818,-0.6298054060057764,0.544333742226543,-0.5540882488925694,-0.5160939340839462,-0.5918892801871776,-0.7983230142759205,-0.0704456663728034,-0.6492287149317477,0.03669669607840162,-0.7427174211840686,-0.7066126249319934,-0.565872735966175,-0.0991171668458375,-0.21718681913206087,-0.7645093657010464
AUTH_Meditations 6,-0.3030717898420734,0.21122541764125755,-0.26527523816972237,-0.5054812965548814,1.0,-0.039971710808486424,-0.35481377001946196,0.19349919131624826,-0.1637289573302016,0.7370389604769115,0.5273945347863562,-0.30644189965424923,-0.23495311821994172,-0.30077221226353645,-0.1652758620260504,-0.14938103133945083,-0.24986567554709063,-0.7062718597783266,-0.4151770178094349,-0.2107372322418084,-0.6192499873935775,-0.24947663186441463,-0.6782102534424095,-0.5922115435994924,-0.35503140467751265
AUTH_Meditations 9,0.2529589578454381,0.6462194750600905,-0.6243657348785787,-0.45417087214526025,-0.039971710808486424,1.0,0.8586846977577212,-0.17771121573649779,0.8763581327471847,0.5403364676179366,0.6521270583938583,-0.6884521170963621,-0.18882900346291875,-0.29376842263109376,-0.17833656391186037,-0.494012822221924,-0.5148159501813802,-0.7439277391712825,-0.3198232422766616,-0.7379631991084654,-0.8507878743594247,-0.6940484279008168,-0.3098778238406804,-0.43506834846795234,-0.7993400103391312
AUTH_Meditations 5,0.21861854162684305,0.6346570478180923,-0.4546368927463929,-0.19545929580461213,-0.35481377001946196,0.8586846977577212,1.0,-0.37014380110210293,0.9209633506439294,0.1091723836909021,0.3405775042248393,-0.47241209815581453,-0.12960919841727261,-0.2829039221286496,-0.16404654156649956,-0.505174489305043,-0.5402315366426074,-0.6072388483896917,-0.16152628239163985,-0.845321485234917,-0.7587569597870336,-0.7517664178373308,-0.06189665702814894,-0.2297012855816185,-0.787017156777584
AUTH_Meditations 12,-0.017261597408034977,-0.03683894440109681,-0.28366590421834836,0.21461081385472847,0.19349919131624826,-0.17771121573649779,-0.37014380110210293,1.0,-0.32489060757427335,0.15446213316887641,0.20958891632430432,-0.30908898497381254,-0.25323068599126236,-0.1811979082021428,-0.25592406599817463,-0.36764267134342626,0.051303610270237984,-0.8282064775134808,-0.4281686317908907,-0.2104744733022105,-0.6054976789515903,-0.24969181098643625,-0.5736693538269658,-0.8121233805249874,-0.5245081347760043
AUTH_Meditations 10,0.07563713797633968,0.6116781738770181,-0.5484865988787047,-0.2745515358870591,-0.1637289573302016,0.8763581327471847,0.9209633506439294,-0.32489060757427335,1.0,0.3274993512439336,0.34706012879561005,-0.43772984140563004,-0.1956602541448195,-0.32999898887491785,-0.20385757690215595,-0.5177859472813638,-0.47637997290722406,-0.689900994921003,-0.2752745784540128,-0.8048741761798519,-0.8059214623873963,-0.760436316140859,-0.23445058541753483,-0.37231411679712084,-0.7562720298001115
AUTH_Meditations 7,0.0194857100072143,0.458369644278238,-0.610157988249912,-0.6659225061430818,0.7370389604769115,0.5403364676179366,0.1091723836909021,0.15446213316887641,0.3274993512439336,1.0,0.7561186902326065,-0.5706030680938545,-0.23399905208137464,-0.28838090194748783,-0.18193026931116116,-0.3858681145654622,-0.39807712972855486,-0.8156820736805152,-0.4399571031570359,-0.518070943517676,-0.8491446258835753,-0.5408152769447163,-0.5467515358249035,-0.6082633478044785,-0.6811175368298943
