,AUTH_Meditations 11,AUTH_Meditations 4,AUTH_Meditations 1,AUTH_Meditations 2,AUTH_Meditations 6,AUTH_Meditations 9,AUTH_Meditations 5,AUTH_Meditations 12,AUTH_Meditations 10,AUTH_Meditations 7,AUTH_Meditations 8,AUTH_Meditations 3,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_Meditations 11,1.0,0.27907669716705885,-0.4344382350828814,0.07722928645218753,-0.3030717898420741,0.2529589578454306,0.21861854162683814,-0.01726159740803621,0.07563713797634003,0.019485710007211096,0.27373485233291434,-0.07982246495410003,-0.2965477320029421,-0.288741594529526,-0.26571511103391693,-0.5520432354463145,-0.356158980557765,-0.7916238199858648,-0.24943642907085634,-0.6991129366809472,-0.8254448501933151,-0.4253650966766185,-0.246384246427924,-0.40226580147594415,-0.8709986597157614
AUTH_Meditations 4,0.27907669716705885,1.0,-0.6422018439598509,-0.5228104673411084,0.21122541764125882,0.6462194750600914,0.6346570478180935,-0.03683894440109387,0.6116781738770192,0.4583696442782395,0.6561817035558236,-0.6281216147798467,-0.2138364442049678,-0.39093079429744493,-0.2631671581660975,-0.5078256741189598,-0.4492290936318865,-0.8504437750900435,-0.26979428222838975,-0.6910491565365661,-0.8749721754403992,-0.653074317292566,-0.2781488548201506,-0.4891101450475702,-0.7976345272420817
AUTH_Meditations 1,-0.4344382350828814,-0.6422018439598509,1.0,0.06684744242597909,-0.265275238169722,-0.6243657348785773,-0.4546368927463928,-0.28366590421834864,-0.5484865988787062,-0.6101579882499119,-0.626606789805956,0.49030223720512467,-0.27718442825634443,-0.639987792753952,-0.27872717806848185,-0.19465915419457372,-0.15339205667264957,0.16472035977950206,0.007671838107693709,0.13814363898762083,-0.018318842353346926,-0.05929329271996,-0.029721582140955737,0.15335993567662698,0.2510878677539862
AUTH_Meditations 2,0.07722928645218753,-0.5228104673411084,0.06684744242597909,1.0,-0.5054812965548815,-0.45417087214525964,-0.19545929580461227,0.2146108138547284,-0.274551535887059,-0.6659225061430829,-0.6298054060057755,0.5443337422265437,-0.5540882488925684,-0.5160939340839458,-0.5918892801871766,-0.7983230142759195,-0.07044566637280408,-0.6492287149317474,0.03669669607840076,-0.7427174211840687,-0.7066126249319925,-0.5658727359661756,-0.09911716684583807,-0.21718681913206198,-0.7645093657010459
AUTH_Meditations 6,-0.3030717898420741,0.21122541764125882,-0.265275238169722,-0.5054812965548815,1.0,-0.039971710808484974,-0.3548137700194597,0.19349919131625049,-0.1637289573301998,0.737038960476912,0.5273945347863573,-0.3064418996542531,-0.2349531182199406,-0.30077221226353573,-0.16527586202604916,-0.14938103133944966,-0.2498656755470914,-0.7062718597783262,-0.41517701780943556,-0.21073723224180804,-0.619249987393576,-0.24947663186441485,-0.6782102534424103,-0.5922115435994934,-0.3550314046775118
AUTH_Meditations 9,0.2529589578454306,0.6462194750600914,-0.6243657348785773,-0.45417087214525964,-0.039971710808484974,1.0,0.8586846977577222,-0.17771121573649257,0.8763581327471835,0.5403364676179373,0.6521270583938602,-0.6884521170963682,-0.18882900346291712,-0.2937684226310927,-0.17833656391185862,-0.4940128222219222,-0.5148159501813815,-0.7439277391712817,-0.3198232422766632,-0.7379631991084654,-0.850787874359423,-0.6940484279008172,-0.3098778238406815,-0.43506834846795395,-0.7993400103391297
AUTH_Meditations 5,0.21861854162683814,0.6346570478180935,-0.4546368927463928,-0.19545929580461227,-0.3548137700194597,0.8586846977577222,1.0,-0.3701438011020998,0.9209633506439282,0.10917238369090503,0.3405775042248415,-0.47241209815581753,-0.12960919841727106,-0.2829039221286484,-0.164046541566498,-0.5051744893050412,-0.5402315366426083,-0.6072388483896909,-0.16152628239164116,-0.8453214852349167,-0.758756959787032,-0.7517664178373308,-0.061896657028149886,-0.22970128558161962,-0.7870171567775824
AUTH_Meditations 12,-0.01726159740803621,-0.03683894440109387,-0.28366590421834864,0.2146108138547284,0.19349919131625049,-0.17771121573649257,-0.3701438011020998,1.0,-0.32489060757427574,0.15446213316887872,0.20958891632430632,-0.30908898497381276,-0.25323068599126125,-0.18119790820214202,-0.2559240659981733,-0.3676426713434248,0.05130361027023747,-0.8282064775134803,-0.42816863179089176,-0.21047447330221045,-0.6054976789515889,-0.24969181098643642,-0.5736693538269669,-0.8121233805249888,-0.5245081347760034
AUTH_Meditations 10,0.07563713797634003,0.6116781738770192,-0.5484865988787062,-0.274551535887059,-0.1637289573301998,0.8763581327471835,0.9209633506439282,-0.32489060757427574,1.0,0.32749935124393675,0.34706012879560927,-0.43772984140562743,-0.1956602541448188,-0.3299989888749173,-0.20385757690215528,-0.5177859472813631,-0.4763799729072245,-0.6899009949210025,-0.2752745784540136,-0.8048741761798519,-0.8059214623873951,-0.7604363161408592,-0.23445058541753555,-0.3723141167971219,-0.7562720298001108
AUTH_Meditations 7,0.019485710007211096,0.4583696442782395,-0.6101579882499119,-0.6659225061430829,0.737038960476912,0.5403364676179373,0.10917238369090503,0.15446213316887872,0.32749935124393675,1.0,0.7561186902326084,-0.5706030680938617,-0.23399905208137334,-0.28838090194748706,-0.1819302693111596,-0.3858681145654608,-0.39807712972855613,-0.8156820736805148,-0.43995710315703734,-0.5180709435176761,-0.8491446258835741,-0.5408152769447169,-0.5467515358249048,-0.6082633478044802,-0.6811175368298935
