,1CO,1JN,1PE,1TH,1TI,2CO,2JN,2PE,2TH,2TI,3JN,ACT,COL,EPH,GAL,HEB,JAS,JHN,JUD,LUK,MAT,MRK,PHM,PHP,REV,ROM,TIT,Διονυσίῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,Σαραπίωνι τῷ λαμπροτάτῳ,Τῷ αὐτῷ,φραγμεντυμ επιστολαε,Ἀνεπίγραφος ὑπὲρ Ἀργείων
1CO,1.0,0.7693211331614819,0.7690222251864085,0.7376012451144656,0.7712319242283024,0.8661404210848687,0.6953136359994506,0.7480410755631071,0.7277493176386588,0.7414230237016167,0.7254325127477191,0.7541660421725396,0.7185741362269699,0.7766162667037783,0.7935458030359137,0.7876490368319886,0.7865263046477325,0.7148505691722399,0.7434880545838797,0.7263714496366238,0.7459478750659934,0.8294378372805105,0.6785834226869081,0.7334493277914034,0.8419412956388058,0.8357598800123972,0.7492347113499929,0.719669697688756,0.765840945511654,0.7641795097301072,0.7360520296467289,0.787606900491671,0.7374432985787464
1JN,0.7693211331614819,1.0,0.7618175513717461,0.8914721789556452,0.8597624194327709,0.7426394217245009,0.7842281015220649,0.769017326166567,0.8176808307101601,0.8739150020524968,0.855603613663391,0.4941981839256804,0.8109611997624787,0.862343019222181,0.7930243310826542,0.7679824208793793,0.8522362333528329,0.5777096087818896,0.8097390817153384,0.5086568558564595,0.5144179299777283,0.6946672098236287,0.8338217254819827,0.8346892208666661,0.8240293829683081,0.7679720840775822,0.8537734882109135,0.8105919367209783,0.8119616875018512,0.843301738299543,0.7869275139097074,0.835435269226271,0.8335493828386031
1PE,0.7690222251864085,0.7618175513717461,1.0,0.8461410114734578,0.8131595661794314,0.8427107199275353,0.79774392872894,0.8746305686953437,0.8063111637415046,0.8119185879402778,0.8130855979667334,0.49923752365773744,0.782317734974247,0.8178920595349275,0.8462665658134396,0.8056170486030364,0.8261217527792424,0.554059151654615,0.8802851040808809,0.5298120489917766,0.5194252302982785,0.7018619093032352,0.754943923770959,0.8113473934268771,0.7798909116271854,0.691541220929768,0.7939686413175497,0.8095100615305519,0.8635777491506366,0.8401611768522603,0.8645133842599393,0.7901409096974606,0.8177574094035052
1TH,0.7376012451144656,0.8914721789556452,0.8461410114734578,1.0,0.8625306435947531,0.7789440734944133,0.7879879491900423,0.8139999285541315,0.8452261757724273,0.8896286495228176,0.8555952039125667,0.5235236781978518,0.7940167676419518,0.8890038168378345,0.8437335401384406,0.7902154097533127,0.8169700790096315,0.5349224307727007,0.870172931937887,0.49450254046220243,0.47093476349152896,0.6503471324144054,0.8184457996603708,0.8555213011694919,0.774388615887079,0.7300485670053322,0.8127203953913469,0.8067222173924457,0.7887653801629063,0.8652072489343423,0.8138654296815913,0.8547737351803407,0.8056336073617129
1TI,0.7712319242283024,0.8597624194327709,0.8131595661794314,0.8625306435947531,1.0,0.8160361484534129,0.8317908683495959,0.78114819431673,0.8601298573370478,0.8413840264039696,0.8516573776619565,0.48026232297453575,0.8176141818489533,0.8525783125121326,0.831725441410982,0.836940011944438,0.8557366028791948,0.5747074690461813,0.8030309061691856,0.5215248593767239,0.47686536636864013,0.6901884010827553,0.8198624498797482,0.8142353790368884,0.7541715517225045,0.7059885433291135,0.8045012387118252,0.8327111360104047,0.7933486947938564,0.8135710431102684,0.7987170311766134,0.8025802822270837,0.7679900081811456
2CO,0.8661404210848687,0.7426394217245009,0.8427107199275353,0.7789440734944133,0.8160361484534129,1.0,0.8020020201832226,0.829203829447915,0.7982510580391927,0.7353449575790851,0.8281909222024952,0.6353849068244012,0.8116142210418872,0.8053719452369007,0.8596943235029926,0.8469187170355783,0.8045947908600043,0.6910449802604282,0.8238285666726941,0.6393147967927305,0.6712714050087287,0.7853483640974379,0.7357740933617615,0.8192033986721379,0.7969939806269559,0.8107058509079664,0.7768215799525893,0.7735700123108171,0.8227295421573786,0.7919185876709255,0.8499110834760305,0.8100479184721383,0.7615429856763504
2JN,0.6953136359994506,0.7842281015220649,0.79774392872894,0.7879879491900423,0.8317908683495959,0.8020020201832226,1.0,0.8355171620817835,0.863403495647109,0.8201788374726864,0.8605409688062735,0.3687810708926661,0.8745701994918479,0.7991821376494326,0.8241312630926375,0.7243434629760878,0.8317160826914213,0.5006275815157509,0.8099826854142931,0.47957327896584123,0.4610546949940087,0.5597476308453133,0.8654962009181743,0.852455031791927,0.7487088542502935,0.6866171495732695,0.8783419612935226,0.8772714625010514,0.8281631738222084,0.8192022823470604,0.8542329873476124,0.7376330122559503,0.7790463082983493
2PE,0.7480410755631071,0.769017326166567,0.8746305686953437,0.8139999285541315,0.78114819431673,0.829203829447915,0.8355171620817835,1.0,0.8194411190305961,0.7788667502237441,0.8122674896086561,0.45880089289765114,0.8318646505830601,0.8321476478600337,0.8122917867242567,0.791551602485155,0.8102340610928461,0.539547652425091,0.8216155459003014,0.4764753795944858,0.48833819827788305,0.64190106686537,0.8547208442222873,0.803537242131107,0.7436862701405904,0.7449624882338804,0.7986591154764346,0.7752243031859792,0.869638811611023,0.8190443313953155,0.8873295254105695,0.7855181484014291,0.8494102546560238
2TH,0.7277493176386588,0.8176808307101601,0.8063111637415046,0.8452261757724273,0.8601298573370478,0.7982510580391927,0.863403495647109,0.8194411190305961,1.0,0.8436347704705593,0.8511780462301031,0.4426479945230545,0.8923417904531711,0.8163527214300089,0.875811964303573,0.7725508897072955,0.860761649900646,0.5191749646640786,0.8187167777056729,0.46247304138494183,0.4398054859382037,0.6275132248210973,0.8529923165342099,0.8468741186355382,0.7869889633617116,0.7081275504132087,0.8279174256564727,0.8142512116922551,0.8161312275478041,0.7888269895708925,0.8442785959404171,0.7856875937498173,0.7848190772563839
2TI,0.7414230237016167,0.8739150020524968,0.8119185879402778,0.8896286495228176,0.8413840264039696,0.7353449575790851,0.8201788374726864,0.7788667502237441,0.8436347704705593,1.0,0.8311939821712361,0.46682759428746257,0.794759702451491,0.8082319864335433,0.8299071530028794,0.7355239327033679,0.8476895913858662,0.519317891082527,0.8610236980875723,0.5150386118261383,0.4376712234129128,0.6734700317833118,0.8246102903866092,0.8078433396291302,0.816859385901477,0.7063534994887604,0.8243228724104135,0.8767465697572062,0.8178139290813761,0.8729525805109587,0.7544454841338173,0.8119906630498784,0.8337897091356984
