,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9610742067182924,0.9927945623879724,0.9906783376501436,0.9943997471997895,0.9945135023681371,0.8228296030049597,0.5519283334288554,0.9955021276540139,0.6658429644853852,0.6121976514121631,0.9378946142782201,0.948842708060851,0.6118965883260422,0.9891943092775866,0.9996103251325231,0.9830452768498104,0.99585649431515,0.9858943237582566,0.9855719773144943,0.9126104802156328,0.9971612648976874,0.8812169823386257,0.9656650513383485,0.9775291667222067,0.9965066853567481,0.9880144521242187,0.9864484486164464,0.995473423469077,0.9872641476698061,0.9977236414626883,0.9953219023193467,0.9890519021741955
φραγμεντυμ επιστολαε,0.9610742067182924,1.0,0.9404837645474329,0.9394684294276536,0.9622398802630445,0.9302342068093801,0.9418750422211647,0.7544166128689077,0.9690991217405616,0.8367074776835005,0.7987595724196908,0.9971650823110176,0.9914239060931919,0.7985484565270092,0.9174144275150485,0.9652029294183776,0.8996685576184591,0.9410233758705202,0.905797372619562,0.9399739777724568,0.986120686928423,0.9781946063892678,0.9748389310003049,0.9988652274993753,0.904180229236757,0.9473717577570855,0.9089389008293406,0.9395868662418784,0.9440910119136651,0.9241899747974204,0.9428802967062723,0.9331878138379402,0.964360107911947
Τῷ αὐτῷ,0.9927945623879724,0.9404837645474329,1.0,0.9993998399544708,0.9971883316556738,0.9965761105986914,0.7751499445444292,0.4898993573806244,0.9947122656410547,0.6076157342434761,0.5508362427924157,0.9133198318670197,0.919059273017308,0.5510010494568728,0.9969615099628358,0.9916273085090707,0.9918444956899325,0.9909153115777101,0.992041344174562,0.9964770715949977,0.8764710715735428,0.9870810687981361,0.8436258739401155,0.944638621750553,0.9920247226456047,0.9965898428764322,0.9902799795298592,0.9930577136270424,0.9972597101347958,0.9958619062984979,0.9950225359108061,0.995290104918769,0.9912057816256401
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9906783376501436,0.9394684294276536,0.9993998399544708,1.0,0.9970429235609726,0.9952412476036093,0.7732304382165022,0.488604904376358,0.9943506882928677,0.6062026052748559,0.5493274510862771,0.9127421406875748,0.9177930286730606,0.5495384868624327,0.9960808720013871,0.9894360198032361,0.9911273322573192,0.9896582927478685,0.9907785786143944,0.9985717395382819,0.8747045890430399,0.9858347188483986,0.8425926046617653,0.944295847359748,0.994430071871599,0.9967627672324237,0.9890735999029195,0.9961241323903989,0.9975946387818124,0.9974876417715384,0.9937461307951495,0.9943512221686303,0.9936332068625856
Σαραπίωνι τῷ λαμπροτάτῳ,0.9943997471997895,0.9622398802630445,0.9971883316556738,0.9970429235609726,1.0,0.9910394354573123,0.8180352157463426,0.5519418135573958,0.9988857093791396,0.6630154938318807,0.6096623068191438,0.940384835604008,0.9433392521563814,0.6098117284116236,0.9891908528259475,0.994149066451367,0.9814178683835183,0.9891330020750217,0.9819534735587604,0.9954014922296948,0.9079178926915972,0.9939509158908248,0.8799108006667958,0.9654688359703978,0.9840036262206183,0.9957260687680495,0.9815452810351298,0.9925818994272682,0.9956684521786422,0.9908289725319062,0.9927143924850562,0.9909961364795473,0.9965408532453844
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9945135023681371,0.9302342068093801,0.9965761105986914,0.9952412476036093,0.9910394354573123,1.0,0.7607649538040996,0.4650168271888744,0.9898818377012985,0.5871952094682511,0.5289325210980098,0.9003665669743524,0.9125330824452348,0.5287677018719259,0.9986985612821754,0.9929688725000897,0.9958184703112961,0.9951876804108468,0.9975910129798791,0.9904833718013728,0.8664511259375128,0.985677797661397,0.8297356415745021,0.9362848823394112,0.9914208305982899,0.9972008532690955,0.9971744787735817,0.9905523856568008,0.9974958318661726,0.995848635489933,0.9983435481351258,0.999078263903221,0.9848309025324397
MRK,0.8228296030049597,0.9418750422211647,0.7751499445444292,0.7732304382165022,0.8180352157463426,0.7607649538040996,1.0,0.927543502882688,0.8311260506270045,0.9708368211036313,0.9529741722540288,0.9627990543568135,0.9561903747472189,0.952725775200959,0.7369532283338392,0.829954012038144,0.7120290647370522,0.7926712577699517,0.7204235064617519,0.7740424425932322,0.9831795858736999,0.8588634047446312,0.9926638936607576,0.9381969881941448,0.7154638927794142,0.7936805988566906,0.731446860785734,0.779018974552629,0.7866892403611501,0.7493267749974861,0.788152796409396,0.7699790507843576,0.8268901895954844
ACT,0.5519283334288554,0.7544166128689077,0.4898993573806244,0.488604904376358,0.5519418135573958,0.4650168271888744,0.927543502882688,1.0,0.5700348918125575,0.9873601924310242,0.9967427159193966,0.8005209030508127,0.7796862109197109,0.9966785459964097,0.43457872343809706,0.5629729315448945,0.40095616467524064,0.5088018865691761,0.41136968583167954,0.49398639981117676,0.8442622227686608,0.6072746446546692,0.879755272006612,0.7448116396398603,0.4115176079775217,0.5119657681874569,0.42447310787786735,0.4984965707620651,0.5027171111308497,0.454093266465903,0.5020872207795816,0.477071278435499,0.5678260809312633
1PE,0.9955021276540139,0.9690991217405616,0.9947122656410547,0.9943506882928677,0.9988857093791396,0.9898818377012985,0.8311260506270045,0.5700348918125575,1.0,0.6783299000523498,0.6266830869895238,0.9485471546512397,0.9492184557649841,0.6266607424898476,0.9860301833329006,0.9963572281202382,0.9765830666672605,0.9873587505668616,0.9796408540670658,0.9934007338139539,0.9177007269079676,0.9966403072687018,0.8908566548582759,0.9716118331301253,0.9795355657497697,0.9945545293527086,0.9784053578184534,0.9910392249364965,0.9941202541613234,0.9880288657758515,0.991764755397216,0.9892215599510038,0.9962334171807156
JHN,0.6658429644853852,0.8367074776835005,0.6076157342434761,0.6062026052748559,0.6630154938318807,0.5871952094682511,0.9708368211036313,0.9873601924310242,0.6783299000523498,1.0,0.9966885648976002,0.8737608503105163,0.86415940007322,0.9969432042511897,0.5592816520736705,0.6746577505000975,0.5304278052527719,0.6308992127787096,0.5388653930029381,0.6088724181804389,0.9119240540516049,0.7142662258125898,0.9374132652575322,0.831389681738993,0.5370028959956377,0.630540696517235,0.5527683243863468,0.6156327823853827,0.6220336884762186,0.5767331711463587,0.6221879314752483,0.5997346675898275,0.677286995789903
LUK,0.6121976514121631,0.7987595724196908,0.5508362427924157,0.5493274510862771,0.6096623068191438,0.5289325210980098,0.9529741722540288,0.9967427159193966,0.6266830869895238,0.9966885648976002,1.0,0.8402861476253466,0.8254120917599872,0.9999498345903796,0.4992360151328046,0.6221357149266676,0.467991931900818,0.5729112804800603,0.47758013801801946,0.5530915495034865,0.8818054718709926,0.66392648008496,0.9119454930478794,0.7912487400716537,0.4758798897641494,0.5739577220902952,0.49163184367465135,0.5591057153594101,0.5649121603338363,0.5174699782792738,0.5652978448848219,0.5413948255037315,0.6246023335066216
HEB,0.9378946142782201,0.9971650823110176,0.9133198318670197,0.9127421406875748,0.940384835604008,0.9003665669743524,0.9627990543568135,0.8005209030508127,0.9485471546512397,0.8737608503105163,0.8402861476253466,1.0,0.9913154170091492,0.8401202920824554,0.8855865658127708,0.9429595446650848,0.8654182736186692,0.9146987596577293,0.871970378941644,0.9145811274429537,0.9938363751139102,0.9602045953535437,0.9880405079988049,0.9950470683917028,0.8723375726818412,0.9218581528077759,0.8760428192578684,0.9146589275883199,0.9179421546613639,0.8949605914375123,0.9159065983902864,0.9043798372681627,0.9449920045461522
REV,0.948842708060851,0.9914239060931919,0.919059273017308,0.9177930286730606,0.9433392521563814,0.9125330824452348,0.9561903747472189,0.7796862109197109,0.9492184557649841,0.86415940007322,0.8254120917599872,0.9913154170091492,1.0,0.8253830703398766,0.8976446019026175,0.9511327108869698,0.8835665977498917,0.9353579034272639,0.8867531434802869,0.9150233439534273,0.9921786643390651,0.9667047443748565,0.9810396703218468,0.9943720891090231,0.8823429526320821,0.9337656377413632,0.8967794860010988,0.9210912565498623,0.9294095868310375,0.9050931821179149,0.9309095038621499,0.9202924894722795,0.9475615687481824
MAT,0.6118965883260422,0.7985484565270092,0.5510010494568728,0.5495384868624327,0.6098117284116236,0.5287677018719259,0.952725775200959,0.9966785459964097,0.6266607424898476,0.9969432042511897,0.9999498345903796,0.8401202920824554,0.8253830703398766,1.0,0.49930050492987427,0.621813710439602,0.4680981854764682,0.5728468995683548,0.47760204300793846,0.5533533953506949,0.8815608501664994,0.6637290340427516,0.9118573832500375,0.7911511738774022,0.4761903457885894,0.5739017891909268,0.4914218446089069,0.559250566257884,0.5649298917402317,0.5176289396789726,0.5650379501912428,0.5411981855018821,0.6248141707149742
JUD,0.9891943092775866,0.9174144275150485,0.9969615099628358,0.9960808720013871,0.9891908528259475,0.9986985612821754,0.7369532283338392,0.43457872343809706,0.9860301833329006,0.5592816520736705,0.4992360151328046,0.8855865658127708,0.8976446019026175,0.49930050492987427,1.0,0.9869056116555209,0.9984020166853816,0.992104847321822,0.9984808174964722,0.9914904260649617,0.8477638423466264,0.9785916751450551,0.8099070469095201,0.9237990364018943,0.9951528540570939,0.9950099614092462,0.9970358494889601,0.9902416447348751,0.9960072329415568,0.997022136619549,0.9953720467777415,0.9973538968981654,0.9823280733500331
JAS,0.9996103251325231,0.9652029294183776,0.9916273085090707,0.9894360198032361,0.994149066451367,0.9929688725000897,0.829954012038144,0.5629729315448945,0.9963572281202382,0.6746577505000975,0.6221357149266676,0.9429595446650848,0.9511327108869698,0.621813710439602,0.9869056116555209,1.0,0.9793384821257389,0.9932092050252211,0.9835978298237399,0.9850671290229556,0.9176536073059954,0.9979960251388753,0.887448548454273,0.9689354534554264,0.9748054924752771,0.9950008455255103,0.9845909886208842,0.9853019389004779,0.993882450959411,0.9852340961294552,0.9959292752706844,0.9930649430855626,0.9890418859611623
2JN,0.9830452768498104,0.8996685576184591,0.9918444956899325,0.9911273322573192,0.9814178683835183,0.9958184703112961,0.7120290647370522,0.40095616467524064,0.9765830666672605,0.5304278052527719,0.467991931900818,0.8654182736186692,0.8835665977498917,0.4680981854764682,0.9984020166853816,0.9793384821257389,1.0,0.9908909688048454,0.9981912252311271,0.985145948611983,0.8278479585023157,0.9695489301589368,0.7871461545361602,0.9081853703420496,0.9946089482250237,0.9912335319506222,0.998290576830574,0.985872228521512,0.992460783373958,0.9948958667005681,0.9923844321130417,0.9955562756845129,0.9744859965639541
1JN,0.99585649431515,0.9410233758705202,0.9909153115777101,0.9896582927478685,0.9891330020750217,0.9951876804108468,0.7926712577699517,0.5088018865691761,0.9873587505668616,0.6308992127787096,0.5729112804800603,0.9146987596577293,0.9353579034272639,0.5728468995683548,0.992104847321822,0.9932092050252211,0.9908909688048454,1.0,0.9903412707434691,0.9830838532057927,0.8897165920758814,0.9894618704659899,0.8546329726364008,0.9494700010343222,0.983681696623931,0.9971413156213381,0.9949819921540779,0.9875185382124225,0.9965335341841707,0.9908069859222088,0.9986076580673785,0.9980814164763462,0.9851122821939272
3JN,0.9858943237582566,0.905797372619562,0.992041344174562,0.9907785786143944,0.9819534735587604,0.9975910129798791,0.7204235064617519,0.41136968583167954,0.9796408540670658,0.5388653930029381,0.47758013801801946,0.871970378941644,0.8867531434802869,0.47760204300793846,0.9984808174964722,0.9835978298237399,0.9981912252311271,0.9903412707434691,1.0,0.9854534452818732,0.834865830547741,0.9734867794987853,0.7948465956008655,0.9132807004682855,0.9929270212442057,0.9916011357462865,0.9974778162348504,0.9857824324536673,0.9926828986428445,0.9944916375498574,0.9930993839892245,0.9957005569334795,0.9749770976170011
2PE,0.9855719773144943,0.9399739777724568,0.9964770715949977,0.9985717395382819,0.9954014922296948,0.9904833718013728,0.7740424425932322,0.49398639981117676,0.9934007338139539,0.6088724181804389,0.5530915495034865,0.9145811274429537,0.9150233439534273,0.5533533953506949,0.9914904260649617,0.9850671290229556,0.985145948611983,0.9830838532057927,0.9854534452818732,1.0,0.874076870668665,0.9829390609338164,0.8441579104872433,0.9445056059867946,0.9938593881420422,0.993725082380158,0.9823087629180771,0.9975545486339252,0.9947833398700551,0.9962798432322039,0.9884096298248028,0.989093635932957,0.9952830940635373
