,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9609425699706208,0.9921876475936157,0.9897804809628519,0.9936370248971906,0.9944776889684743,0.8229385311362822,0.5522985670978718,0.9949963392547522,0.6660441394939808,0.6123950652316397,0.937740307916769,0.9488957763832,0.6121287026736885,0.9890158185838073,0.9996045448444718,0.9829671750979593,0.9958572636830865,0.9858662487482728,0.9839230499682079,0.9126888391742994,0.9970967184987279,0.881342733686812,0.9655150217160349,0.9763618420830575,0.9962648027270856,0.9880243096310631,0.9849450684575365,0.9951639196566678,0.9864822902564103,0.9977166103544208,0.9952998760458758,0.9876540300957296
φραγμεντυμ επιστολαε,0.9609425699706208,1.0,0.9405497213824712,0.9394867742818785,0.9621782184463822,0.930345185084223,0.9415114326113809,0.7543893830011675,0.9691535491312875,0.8364160647349086,0.798454982555344,0.9971665191892372,0.9911630017445222,0.7982990050358117,0.9176558653973267,0.9650801665811322,0.899915865022636,0.9408824752679544,0.9059338484017725,0.939622637915732,0.9858571212784448,0.9781799601847406,0.9747935432517602,0.9988389717652333,0.9042330718283689,0.9475249880359162,0.908906507404924,0.9392398809842201,0.9442622063420182,0.9243026036045893,0.942875316023821,0.933258632299283,0.9640025443513504
Τῷ αὐτῷ,0.9921876475936157,0.9405497213824712,1.0,0.9993309890073893,0.997190663025355,0.9961751024995084,0.7747029168593307,0.49026142111347015,0.9946611369204128,0.6074798691686557,0.5507244885040851,0.9135278525248476,0.9185417269144759,0.5509770702426463,0.99685017232079,0.9910021599044856,0.9916642877734162,0.9902096056624922,0.991551463535563,0.9960179677025377,0.8760186011411737,0.9866701295272594,0.8436242757728419,0.9445178083303335,0.9916458283440748,0.9963284115835991,0.9896101790007641,0.9923055504927104,0.9970416077980115,0.9955387052619138,0.9945050778985088,0.9948380312585917,0.9907549842535077
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9897804809628519,0.9394867742818785,0.9993309890073893,1.0,0.9970338364696592,0.9946526845157232,0.772571620215578,0.4889000164802455,0.9943112951972668,0.605903670816778,0.5490750151704004,0.9129645253894757,0.9170209427020074,0.5493813006613829,0.9958285449845647,0.9885535394277893,0.9907547047983492,0.9886494719339568,0.9901150772471634,0.9984004956352601,0.8740472232992933,0.9852745711282569,0.8425159347451745,0.9441561026138643,0.9942947761527214,0.9964563531851026,0.9881265681873225,0.9957091197651936,0.997358279816043,0.9973196261084292,0.9929874855680302,0.9936926222427787,0.9934647837688385
Σαραπίωνι τῷ λαμπροτάτῳ,0.9936370248971906,0.9621782184463822,0.997190663025355,0.9970338364696592,1.0,0.9905568537286986,0.8173316307675002,0.5520682416530469,0.9988171187632191,0.6626187478502128,0.6092913990734051,0.9404648773074455,0.9426033182250417,0.6095320850214616,0.9890497135669564,0.9933748420742801,0.9811919444957659,0.9882755625806717,0.9813988786049297,0.9950897786932543,0.9072409407992141,0.9934226353597685,0.8797171404815025,0.9652286357159428,0.9837813209265345,0.9954309588846748,0.9807583236726704,0.9919661171922741,0.9954350202957785,0.9905898122434657,0.9920774586783319,0.9904482477452734,0.9961775164073543
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9944776889684743,0.930345185084223,0.9961751024995084,0.9946526845157232,0.9905568537286986,1.0,0.7609041718045034,0.46552795714546436,0.9896409801634556,0.5874565679252802,0.5291957576480585,0.9005259569225516,0.912599731693923,0.529077647240682,0.9986170136437177,0.9929470654559841,0.9957851436038584,0.995130200088544,0.9975872284840444,0.9893104891931613,0.8665785796770574,0.985700033440283,0.8300484884148867,0.9363728443565459,0.9906278414328455,0.9971252159830698,0.9971314128564305,0.9895156636782876,0.9973771556315103,0.9953790811018413,0.9983337101355244,0.9990778901011793,0.9839208489462158
MRK,0.8229385311362822,0.9415114326113809,0.7747029168593307,0.772571620215578,0.8173316307675002,0.7609041718045034,1.0,0.9275886729075472,0.8306753227467023,0.9708452302187112,0.9529824593961552,0.9622904401991852,0.9561995668305088,0.9527416297212975,0.7369712585883863,0.8300651344073633,0.7121568065889461,0.7928208500109389,0.7206280594724267,0.7727955256659599,0.9831710886605903,0.858866078293658,0.9925234268888261,0.9378959239345082,0.7148472787825648,0.7936066948719279,0.7316566451836177,0.7779674495996601,0.7865634148895256,0.7489186494603683,0.7882895606560057,0.7701222017907075,0.8256787912020145
ACT,0.5522985670978718,0.7543893830011675,0.49026142111347015,0.4889000164802455,0.5520682416530469,0.46552795714546436,0.9275886729075472,1.0,0.5702409825808209,0.9873631525320227,0.9967317148530699,0.8003273359673219,0.779844221479718,0.9966738215404027,0.4351596009522331,0.5633372722080069,0.40157998047983184,0.5091977027317373,0.41193338064766755,0.4939950081706836,0.8443626955720446,0.6075918743402888,0.8797336791465304,0.7448231978450158,0.4120062713943528,0.5123948720401528,0.4249586543189228,0.4985218212957843,0.5031509714721798,0.4545260777731791,0.5025309456148332,0.4775579143840176,0.5676221036072294
1PE,0.9949963392547522,0.9691535491312875,0.9946611369204128,0.9943112951972668,0.9988171187632191,0.9896409801634556,0.8306753227467023,0.5702409825808209,1.0,0.6781003724499939,0.6264699387276187,0.9487221913966936,0.9487475925611699,0.6265237819135614,0.9859954719377438,0.9958686665474404,0.9764946967702469,0.986796356603662,0.9793758182774801,0.9930848183354468,0.9172958207240357,0.9963767225539513,0.8908699297909521,0.9715844639285877,0.9794420823352525,0.9944836390362497,0.9779194347737997,0.9906459817363683,0.9940876820892066,0.9879806651682695,0.9913897803947342,0.9889317091051157,0.9959697850197978
JHN,0.6660441394939808,0.8364160647349086,0.6074798691686557,0.605903670816778,0.6626187478502128,0.5874565679252802,0.9708452302187112,0.9873631525320227,0.6781003724499939,1.0,0.9966873746209536,0.8732977949416022,0.8642083105966133,0.9969443299281125,0.559502263580406,0.6748528156005177,0.530732617913861,0.6311337596484706,0.5391840826248964,0.6081092064254089,0.9119351013396289,0.7143579773245363,0.9372599737989219,0.8311456667187136,0.5368005719697451,0.630622867153287,0.5530715309813052,0.6149653477678966,0.6220861795233213,0.5766176168762193,0.6224259393585995,0.599988642658535,0.6764204828894638
LUK,0.6123950652316397,0.798454982555344,0.5507244885040851,0.5490750151704004,0.6092913990734051,0.5291957576480585,0.9529824593961552,0.9967317148530699,0.6264699387276187,0.9966873746209536,1.0,0.8398049204262301,0.8254579238900863,0.9999486886325107,0.49946535528143704,0.6223291201764887,0.46830152486544474,0.5731456369710584,0.4779045481179366,0.5524224482952038,0.8818128022333527,0.6640199838503278,0.9117773368970001,0.7910025583658576,0.47576740922167693,0.574056502472854,0.4919349067211515,0.5585391852628764,0.5649855360357222,0.5174129492211402,0.5655350370158427,0.5416504973683449,0.6238102452210972
HEB,0.937740307916769,0.9971665191892372,0.9135278525248476,0.9129645253894757,0.9404648773074455,0.9005259569225516,0.9622904401991852,0.8003273359673219,0.9487221913966936,0.8732977949416022,0.8398049204262301,1.0,0.9909642889584799,0.8396965682067501,0.8859286620265313,0.9428202537151926,0.8657483199590628,0.9145391916198792,0.8721696330437068,0.9145351721569119,0.9934707328587313,0.9602047584770009,0.9879183154218267,0.995031385338393,0.8726923019816131,0.922111249735311,0.876023819112078,0.9146040706613693,0.9182321618516673,0.8952974369988022,0.9159141274762244,0.9044858581404367,0.9448771098448521
REV,0.9488957763832,0.9911630017445222,0.9185417269144759,0.9170209427020074,0.9426033182250417,0.912599731693923,0.9561995668305088,0.779844221479718,0.9487475925611699,0.8642083105966133,0.8254579238900863,0.9909642889584799,1.0,0.8254514795406941,0.8975840487766075,0.9511858104664904,0.8836090416628999,0.9354290282867268,0.8868613987470032,0.913571956843181,0.9921812290524686,0.9666731037503582,0.9810018761229573,0.9941294822738946,0.881460340556244,0.9336156120217939,0.8968975407241044,0.9197994893291316,0.9292008490540511,0.9045085394638132,0.9309791441513199,0.9203618772067379,0.9462349978011562
MAT,0.6121287026736885,0.7982990050358117,0.5509770702426463,0.5493813006613829,0.6095320850214616,0.529077647240682,0.9527416297212975,0.9966738215404027,0.6265237819135614,0.9969443299281125,0.9999486886325107,0.8396965682067501,0.8254514795406941,1.0,0.4995961719181881,0.6220402079885077,0.46846794533865754,0.5731124728479539,0.477969852358605,0.5527915337130023,0.8815866984551386,0.663863861272336,0.9117191347576109,0.790952372549015,0.4761703480314724,0.5740583603067415,0.4917598058887682,0.5587695451911341,0.5650659562742832,0.5176495628340348,0.5653149346922096,0.5414973395948862,0.6241144307624567
JUD,0.9890158185838073,0.9176558653973267,0.99685017232079,0.9958285449845647,0.9890497135669564,0.9986170136437177,0.7369712585883863,0.4351596009522331,0.9859954719377438,0.559502263580406,0.49946535528143704,0.8859286620265313,0.8975840487766075,0.4995961719181881,1.0,0.9867264061511974,0.9983918425594724,0.9918608081628849,0.9983462573485302,0.9907354123644195,0.8477715730660815,0.9785368749627927,0.8102295999943363,0.9239338689968999,0.9946115590759093,0.9949510486181786,0.9968045770804664,0.9894174436999903,0.9959422691101191,0.996699210824521,0.9952386507574799,0.9972500327109822,0.9817374378368239
JAS,0.9996045448444718,0.9650801665811322,0.9910021599044856,0.9885535394277893,0.9933748420742801,0.9929470654559841,0.8300651344073633,0.5633372722080069,0.9958686665474404,0.6748528156005177,0.6223291201764887,0.9428202537151926,0.9511858104664904,0.6220402079885077,0.9867264061511974,1.0,0.9792569367501441,0.9932111855166839,0.9835965920148063,0.9834823796376392,0.9177407136851919,0.9979545551129579,0.8875939913020956,0.9688207260853171,0.9737259552128815,0.9947994858402436,0.9846094599853631,0.9839197398485209,0.9936147934430468,0.9845302820127547,0.9959292911570409,0.993057028401011,0.9877258276226936
2JN,0.9829671750979593,0.899915865022636,0.9916642877734162,0.9907547047983492,0.9811919444957659,0.9957851436038584,0.7121568065889461,0.40157998047983184,0.9764946967702469,0.530732617913861,0.46830152486544474,0.8657483199590628,0.8836090416628999,0.46846794533865754,0.9983918425594724,0.9792569367501441,1.0,0.9907507508179806,0.9981068414851021,0.9841975312044574,0.8279555967518245,0.9695464973857435,0.7875151729481351,0.9083294642768588,0.9938935488577078,0.991160020574023,0.9981510369994743,0.9848792715945441,0.9923636440572393,0.9944612566691696,0.9923252366792232,0.9955086603841881,0.973736461008479
1JN,0.9958572636830865,0.9408824752679544,0.9902096056624922,0.9886494719339568,0.9882755625806717,0.995130200088544,0.7928208500109389,0.5091977027317373,0.986796356603662,0.6311337596484706,0.5731456369710584,0.9145391916198792,0.9354290282867268,0.5731124728479539,0.9918608081628849,0.9932111855166839,0.9907507508179806,1.0,0.9902953446022563,0.9813154333722052,0.8898262691754129,0.9893938953855262,0.8547804505749427,0.9493185212663922,0.9823904329702075,0.9968577089801762,0.9949855440097657,0.9859274278108328,0.9961723506063028,0.9899416282623812,0.9985893126126765,0.9980400053759344,0.9836277886052326
