,Τῷ αὐτῷ,φραγμεντυμ επιστολαε,Σαραπίωνι τῷ λαμπροτάτῳ,Διονυσίῳ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,ACT,HEB,JHN,REV,LUK,MAT,2PE,MRK,JUD,1JN,JAS,1PE,2JN,3JN,2CO,1CO,ROM,2TI,1TI,PHM,EPH,2TH,PHP,COL,1TH,TIT,GAL
Τῷ αὐτῷ,1.0,0.99354462955104,0.9622246332104427,0.9995277826912451,0.9962144132337527,0.9941130405118964,0.9887636943587013,0.9778265971750116,0.9986546746189134,0.9573944264986703,0.9974883945844976,0.9960211575735759,0.9683941004366025,0.9988293842321928,0.9673641864631252,0.9965634780202693,0.9914698969651501,0.9692913964925456,0.9926434407829022,0.9986914155162713,0.9884033432354777,0.9937667309163725,0.9699193744209287,0.9723501319472949,0.9762424905171322,0.9672003816004388,0.9336442796650263,0.9524331449849617,0.9774397496422689,0.9553704502803596,0.9824200583770782,0.9674658626174658,0.9809254610683649
φραγμεντυμ επιστολαε,0.99354462955104,1.0,0.9847968631443929,0.993468068000705,0.9991808605342947,0.9995443216601042,0.9982265208500886,0.9944229466513667,0.9953986973497384,0.9815992148327367,0.9980239135776676,0.9989524093038098,0.9869191913420395,0.9967734432816335,0.9876026542432887,0.9972463016783778,0.9992597741963689,0.9890830101081863,0.9986582479511902,0.9922567061540958,0.9979277230888159,0.999445371719643,0.9901056905270861,0.9912494025047695,0.992640979616336,0.9871414583452055,0.9656381619090255,0.9779941314619366,0.9933482365535253,0.9799053206720584,0.9961223096469008,0.9881425781620918,0.9955323576000742
Σαραπίωνι τῷ λαμπροτάτῳ,0.9622246332104427,0.9847968631443929,1.0,0.9609280042479692,0.9809597039930389,0.9845288471817905,0.9900502566677598,0.9958693019692684,0.9664594061001345,0.9977768484688989,0.9746785663128503,0.9798008646148015,0.9979641968612144,0.9702243344561312,0.9982564047166862,0.9736806329835447,0.9873010969112038,0.9981834360053956,0.9842288449022357,0.9585287017123753,0.9903060430487137,0.9842636687812014,0.9977268996013186,0.9974894002750644,0.9965873020026788,0.9959657682654878,0.9933976450337265,0.9969798206460486,0.9964369079339687,0.9973357686907245,0.9935476723525067,0.9977929354043065,0.9949441111003416
Διονυσίῳ,0.9995277826912451,0.993468068000705,0.9609280042479692,1.0,0.9960169960949238,0.9935474934681212,0.9879606343272769,0.977282619689682,0.9989813210660626,0.9555690181488357,0.9974920792524264,0.9959186867075928,0.96655504345579,0.9987668805511061,0.9656574144769514,0.997147663298476,0.9909392774719651,0.9679064193752613,0.9920541544260848,0.9992872030842457,0.9877264134616044,0.9938072123168782,0.9692814351392101,0.97152433068914,0.9749680130191622,0.9663047065083777,0.9322287027527615,0.9507113454711374,0.976539157580786,0.9538001341936586,0.9817793551273654,0.9659738630096074,0.9805566504412617
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9962144132337527,0.9991808605342947,0.9809597039930389,0.9960169960949238,1.0,0.9991712183322107,0.9972127941339856,0.9915023420417897,0.997213831355026,0.9769405626624682,0.9988637930928668,0.9993863727435242,0.9844621245213419,0.9983505519927959,0.9839156831181044,0.9981772068247678,0.9982201115696797,0.9855453439898577,0.998122950164716,0.9947763971470723,0.9969411355825633,0.9992116531045522,0.9863263702258899,0.9877720137668251,0.9899317463235977,0.9833718648251866,0.9589442555651425,0.9730724486753516,0.9909331110659765,0.9753882096915013,0.9938904852293989,0.9836734836980419,0.9933688153488827
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9941130405118964,0.9995443216601042,0.9845288471817905,0.9935474934681212,0.9991712183322107,1.0,0.9982912418797124,0.9940170912516145,0.9953672002714933,0.9816568478170088,0.9979963798789644,0.9988800052212548,0.9878824027262254,0.9969562685695269,0.987960847359143,0.9963299978544709,0.9993986754282029,0.9892723472041157,0.9987445991898838,0.9924339570136375,0.9981758915509029,0.9993969888436048,0.9895530257568451,0.9911593370186557,0.9933528862180995,0.9872625783868115,0.9649579954387296,0.9780789771068314,0.9934945912668748,0.9799289896736426,0.9959426921600437,0.9885706098126216,0.9952408017329538
ACT,0.9887636943587013,0.9982265208500886,0.9900502566677598,0.9879606343272769,0.9972127941339856,0.9982912418797124,1.0,0.997884343622264,0.9919455993929003,0.9885456674621289,0.9958847016097272,0.9976306994414654,0.993510644974376,0.9937680822313515,0.9935541997711075,0.9944913028732169,0.9995050766085722,0.9945236320596375,0.9984351310419814,0.9872963184394105,0.9992876790088032,0.9987023202054713,0.9947381687636547,0.995854563236237,0.9968179606015529,0.9924005544609779,0.9748717333628961,0.9857614907459668,0.9971596640308794,0.9873292369363196,0.9986760468657406,0.9927232924940012,0.9986172342279983
HEB,0.9778265971750116,0.9944229466513667,0.9958693019692684,0.977282619689682,0.9915023420417897,0.9940170912516145,0.997884343622264,1.0,0.9826915424605153,0.9952487871737823,0.9886956216272342,0.9917886526199635,0.9969826768782558,0.9851242121419012,0.9978898684959734,0.9873225685370314,0.9964610539634702,0.9985796472710227,0.9943175311645153,0.9763104532743344,0.9974001501008999,0.9945566612904171,0.9990222530167322,0.9994021525151017,0.9988795594408012,0.9967452358933707,0.9863452371035822,0.9934251105371777,0.9990300082236239,0.9943173487651019,0.9991814502910574,0.9972922372210384,0.9996544315894486
JHN,0.9986546746189134,0.9953986973497384,0.9664594061001345,0.9989813210660626,0.997213831355026,0.9953672002714933,0.9919455993929003,0.9826915424605153,1.0,0.9630273020523401,0.9992980847762103,0.9981887047195971,0.9726228043258265,0.9996920698868126,0.9717608942356285,0.9988847982878393,0.9940246691835863,0.9742040866221171,0.995310063449469,0.9991739520287083,0.9916830109783641,0.996313877515317,0.9757287545605574,0.9776332478897183,0.9801527340573405,0.9734520353828342,0.9418583008906384,0.9590056454512731,0.9820089077071541,0.9618236582902263,0.9869305401628773,0.9717268871996253,0.9855727198388454
REV,0.9573944264986703,0.9815992148327367,0.9977768484688989,0.9555690181488357,0.9769405626624682,0.9816568478170088,0.9885456674621289,0.9952487871737823,0.9630273020523401,1.0,0.9718464785186313,0.9769732618388977,0.9972146707181447,0.9667296032039988,0.9976895722647365,0.9701314570361718,0.9855322773630132,0.9987221383027406,0.9832550897552126,0.9540726014739522,0.9891345846008591,0.9816200153840151,0.9978956989593908,0.9975680475520474,0.996303599223482,0.997218056535906,0.9966189905103859,0.9993796487888219,0.9959704495136086,0.9994835831969361,0.9933619404104946,0.9979046964347372,0.9935758450351717
