,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9528628406160862,0.9411439332340528,0.923535130607931,0.9329640789137925,0.990333323963546,0.8692090969343872,0.6647525941083025,0.9484387579509554,0.7424629422529371,0.6888046925700189,0.9322167127690955,0.9673134060631752,0.6960779397028156,0.9721137295964646,0.9983394949776827,0.977570914293167,0.9963576365426675,0.9832580158744382,0.8822793282045787,0.9403649106133285,0.9867594879829614,0.9179015911681275,0.9503757837610425,0.8921647432582543,0.9667330451557862,0.9915621739615608,0.8692806383573932,0.9603393098787119,0.9165190311101349,0.9968834562189128,0.9926111460664845,0.8871852567759612
φραγμεντυμ επιστολαε,0.9528628406160862,1.0,0.9627526362131713,0.9655785507257245,0.9710599187681878,0.95964748844366,0.9057291187703402,0.7857627550442756,0.9846672887964064,0.8202743424228108,0.7799699328954498,0.9979290214933307,0.9619259998630038,0.7901695088840166,0.9618497658884847,0.9582486029423448,0.9489142030038451,0.9347450144797713,0.9436275485243897,0.9522142590587596,0.9583096992524286,0.9814799325856974,0.9765677598940647,0.9947944680986688,0.9439927087214739,0.9751979284640204,0.9244879086910025,0.9361721939056791,0.9747540577317245,0.956202655097378,0.9552948787825288,0.9569987916689439,0.9592452911659634
Τῷ αὐτῷ,0.9411439332340528,0.9627526362131713,1.0,0.993845312964838,0.998260104950155,0.9633184956458645,0.7774563372230516,0.6236438303952346,0.9891485700589434,0.6652835711133278,0.610741150411571,0.9522011710563437,0.8934303467655834,0.6255797188775466,0.9905734535980912,0.9366868464182799,0.9821628538190019,0.9268784920782589,0.9480412292414001,0.9672564016318725,0.8644197185244076,0.9526922414030602,0.8849048527805459,0.9434703724475848,0.9569338954092225,0.9695369002038378,0.9298106913366759,0.9228414430963827,0.9735327710358856,0.9580618234693341,0.9514148331953685,0.9573407260735906,0.9529901047064786
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.923535130607931,0.9655785507257245,0.993845312964838,1.0,0.9967043067871697,0.9570665764921905,0.767585570587485,0.6217346049742727,0.9947877596388031,0.6561473285685296,0.6036134122818623,0.9601009745059138,0.8804881933488492,0.6186498126301696,0.983522918214608,0.9242508639222972,0.9711945619294681,0.9099138951299589,0.9453673522497043,0.9893521594890196,0.8572457100846137,0.9518186574035454,0.8895850310169212,0.9536323241705593,0.9817501909811079,0.9772252978257251,0.9161252962889579,0.9575302513979562,0.9825047616616417,0.9800127517097595,0.940274009577859,0.9500189581272156,0.9795995542071066
Σαραπίωνι τῷ λαμπροτάτῳ,0.9329640789137925,0.9710599187681878,0.998260104950155,0.9967043067871697,1.0,0.9570645676091396,0.7908983778041713,0.6521713437213823,0.9928824543816746,0.6869166950807628,0.635443844079425,0.9641946933407718,0.8963421693509639,0.650328499830716,0.9851024093755681,0.9305371375736383,0.9736877631254165,0.9168739362115663,0.9407607655070835,0.9762972057475527,0.8726851802861579,0.9529293956301212,0.8994780328701248,0.9532994933399833,0.9640433811712168,0.9707443172361414,0.9181820594797026,0.9349385069100662,0.9752955142983539,0.9641098395510347,0.9440855412048719,0.9508214411625963,0.9645169354503831
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.990333323963546,0.95964748844366,0.9633184956458645,0.9570665764921905,0.9570645676091396,1.0,0.8256817174589588,0.6167851493283695,0.9734030361954625,0.6883060127139116,0.6315469083818684,0.9419073826851849,0.9418474214025472,0.6408867957878316,0.9898972717664605,0.9917073958613849,0.9915933203048628,0.9875477164619918,0.9972214670694358,0.9299452020575166,0.91339689159883,0.9915017112004104,0.906425141659458,0.9603035430381927,0.9417232562024329,0.9895021090049572,0.9915252242488348,0.9210040778219394,0.9862844819336772,0.9588757928969948,0.9973949188032764,0.9992059562740211,0.9323109078698261
MRK,0.8692090969343872,0.9057291187703402,0.7774563372230516,0.767585570587485,0.7908983778041713,0.8256817174589588,1.0,0.9361977795203138,0.820419990055601,0.9730876906046273,0.9547554852716266,0.9069668674813638,0.9628511631630404,0.9562187920576255,0.7915249855920445,0.8764499638890537,0.7837443366278957,0.8506421832046539,0.8029385713406572,0.7416067457123707,0.9835230219058804,0.884290577114098,0.9700298843134483,0.9088995540082353,0.7330472920384625,0.8258481487676719,0.8117303410182892,0.7456833412183429,0.8158028056087033,0.766585951875114,0.8463533796941919,0.8330918352562942,0.7724372313852199
ACT,0.6647525941083025,0.7857627550442756,0.6236438303952346,0.6217346049742727,0.6521713437213823,0.6167851493283695,0.9361977795203138,1.0,0.6713350483205976,0.9869224865903533,0.9933402034244119,0.8054404752091503,0.8226358944875813,0.9950281844341782,0.6018268886316163,0.673806537596446,0.5791364665332367,0.6308592905479109,0.5796767823059699,0.6110289171657222,0.8705126056943486,0.7051263438171034,0.8846144535344947,0.7795296990163271,0.577963633837921,0.6443757906460704,0.5764314303640061,0.6028676642446088,0.6384311305244242,0.6019414613701316,0.6358461864338406,0.6221988810300993,0.6431448965948791
1PE,0.9484387579509554,0.9846672887964064,0.9891485700589434,0.9947877596388031,0.9928824543816746,0.9734030361954625,0.820419990055601,0.6713350483205976,1.0,0.7101311893847019,0.660472204117923,0.9789899421832836,0.9181912954690233,0.6733955184625087,0.9871143498673286,0.9519118913288327,0.9755576861428261,0.934391240965731,0.9625548608664422,0.9839121051911203,0.9011732559905906,0.9760341442178367,0.9259859172463246,0.9776279827472049,0.9794408424492216,0.9898041010742479,0.9368089190930939,0.9620970198086854,0.9924397187350567,0.9841025599418536,0.9607769524626844,0.9678256369297471,0.9812856885498689
JHN,0.7424629422529371,0.8202743424228108,0.6652835711133278,0.6561473285685296,0.6869166950807628,0.6883060127139116,0.9730876906046273,0.9869224865903533,0.7101311893847019,1.0,0.9962041166094114,0.8314790922479603,0.8843321053808483,0.997046269466537,0.661413260587597,0.7492006087541255,0.6478408472704004,0.7179440175779835,0.6566349300859721,0.6338748465226418,0.9197199186528006,0.7667765347204655,0.9155420591573687,0.8189001473694066,0.6120133913706158,0.7002639994598361,0.6651598150045301,0.6317104309104239,0.6912035687627043,0.6429929128954758,0.7127503130787521,0.6969697019921539,0.6679488682380831
LUK,0.6888046925700189,0.7799699328954498,0.610741150411571,0.6036134122818623,0.635443844079425,0.6315469083818684,0.9547554852716266,0.9933402034244119,0.660472204117923,0.9962041166094114,1.0,0.7946619887686682,0.8448707180461343,0.9996255398491493,0.6032464677608752,0.6972894313668759,0.586916065313486,0.660779392382517,0.5979157283773665,0.5856245157616579,0.8886984250926752,0.717718474912328,0.8871273411374639,0.7787510235353577,0.5605090170859702,0.6472870522282392,0.6051094989730637,0.5858821075502239,0.638077985126724,0.5915751542202032,0.6566868913181116,0.6400568307661564,0.622246952965892
