,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9616814518863261,0.9956052690787204,0.9948611715539909,0.9979427792854912,0.9946766831125109,0.822340579891093,0.5502635056038014,0.9978380757080878,0.6649396470465266,0.6113116485702805,0.938610165312297,0.948603803728084,0.6108542128595024,0.990013898044613,0.9996363819188627,0.9834038177686386,0.9958531337691251,0.9860219000810786,0.9933423873070946,0.9122577171688949,0.9974544515725742,0.8806500995017307,0.9663525403216022,0.9829819377780807,0.9976136533850709,0.9879700571933353,0.993476064622214,0.9968932729920099,0.9908841492088757,0.9977555876293059,0.9954221088522462,0.9955969260289106
φραγμεντυμ επιστολαε,0.9616814518863261,1.0,0.9401928896161942,0.9394133694918373,0.9625428200569682,0.9297346706382525,0.9435387134797706,0.7545555027271112,0.9688566305224953,0.8380442341278287,0.8001559106338144,0.997159055306266,0.9926192939568714,0.799694972667677,0.9163147594232776,0.9657698412062848,0.898544906816853,0.9416741994982065,0.9051834052144149,0.9416967153989526,0.9873283585476257,0.978265255036829,0.9750505785581736,0.9989849336759321,0.9039814873126889,0.9466738354032176,0.9090968567726256,0.9412489162265826,0.9433108429719469,0.9236891243736474,0.9429106447197672,0.9328721310376765,0.9660732492657085
Τῷ αὐτῷ,0.9956052690787204,0.9401928896161942,1.0,0.9997224373336071,0.9971788291371563,0.9984375226285903,0.7772317001417782,0.4882845554943348,0.9949481101584531,0.6082746582775528,0.5513830278801429,0.9123728856097024,0.9214631114257467,0.5511480851273199,0.9974834370573751,0.9945207510185727,0.9926884090036183,0.9941788379204445,0.9943104544797777,0.9986578840181312,0.8785769515901676,0.9889868473144747,0.8436621607201832,0.9452057982027839,0.9937916744800988,0.9977990336282778,0.9933784971757654,0.9965673873806308,0.998267283747614,0.9973518874155456,0.997421325544818,0.9973871644495127,0.9933182505222397
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9948611715539909,0.9394133694918373,0.9997224373336071,1.0,0.9970859947073715,0.9979958281455784,0.7763148423471654,0.4873088852546652,0.9945413924387345,0.607631220475958,0.550539406789229,0.9117406716038075,0.9213996752960159,0.550315161883292,0.9972715646821919,0.9935481257776598,0.9928801209015042,0.9943517474900933,0.9938791022449603,0.9993920079254308,0.8777840989512922,0.9884576916317316,0.8429973966090419,0.9449717290820128,0.9950606479643156,0.9982019007234045,0.9934828783055171,0.9980615074889998,0.9987058959197307,0.9982667845198071,0.9972872245347401,0.9974299614931715,0.9944233948996807
Σαραπίωνι τῷ λαμπροτάτῳ,0.9979427792854912,0.9625428200569682,0.9971788291371563,0.9970859947073715,1.0,0.9932904911781889,0.821307525419004,0.551412006378213,0.9992056027760837,0.664880191432242,0.6114060672703633,0.9400311006888094,0.9467608536016363,0.6111391079006497,0.9898592378106008,0.9977442606773146,0.9824834918137361,0.9931111639036128,0.9845360389597863,0.996885348877871,0.911068613340925,0.9964102597268688,0.8808387680627809,0.9665942236506245,0.9850406277799248,0.9971008283417337,0.9851997528193587,0.9954549932779402,0.9967556214470757,0.9919333697004099,0.9956781447360206,0.9935488705036015,0.9982415556800642
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9946766831125109,0.9297346706382525,0.9984375226285903,0.9979958281455784,0.9932904911781889,1.0,0.7601415980055287,0.46271569488490977,0.9910016787953346,0.5860217666431502,0.5277509499431163,0.8996495737516849,0.9122346355053073,0.5273752140384447,0.9990731799542341,0.9930687304754917,0.9959707207986732,0.9954494653098103,0.9976082070174609,0.9960425929592958,0.8658783437706037,0.9855771851342137,0.8283208247642524,0.9358885422626674,0.9951437255711123,0.9975486793495447,0.9973707856254918,0.9954222707637601,0.9980429750526477,0.998032582463411,0.9983885369110362,0.9990800554607338,0.9891188402012929
MRK,0.822340579891093,0.9435387134797706,0.7772317001417782,0.7763148423471654,0.821307525419004,0.7601415980055287,1.0,0.9273406564295097,0.8332144762714038,0.9707991629702474,0.952937184690188,0.9651284087652354,0.9561495800766783,0.9526547348769739,0.7368863678763432,0.8294551609455775,0.7114607313294545,0.7919990639415954,0.7195049123095468,0.7799384047370065,0.983218266382074,0.858856460216353,0.993301139797732,0.9395731915546762,0.7183785621618608,0.79403073531143,0.7305039104054603,0.7839588823784882,0.7872798709370173,0.751239804437431,0.787539071134736,0.7693372609346181,0.8325710686436163
ACT,0.5502635056038014,0.7545555027271112,0.4882845554943348,0.4873088852546652,0.551412006378213,0.46271569488490977,0.9273406564295097,1.0,0.5691281649832979,0.987346961542298,0.9967922397477215,0.8014197400307098,0.7789763029863624,0.9966998377067924,0.4319607699929725,0.5613345962489757,0.39814452383140114,0.5070224577407698,0.40883189336616255,0.49405388573645836,0.843811019068804,0.6058483983711972,0.8798566334868408,0.7447720753103729,0.4093385643213174,0.5100357811548398,0.4222897089400261,0.49846079443811075,0.5007666879727714,0.45215736791833816,0.500090893818536,0.4748810237178907,0.568851852272204
1PE,0.9978380757080878,0.9688566305224953,0.9949481101584531,0.9945413924387345,0.9992056027760837,0.9910016787953346,0.8332144762714038,0.5691281649832979,1.0,0.6794086772103738,0.6276859360384761,0.9477489984039945,0.9513971971839842,0.627317017834588,0.9861956279084595,0.9986145801853425,0.9769993224745255,0.9899545447088508,0.980872811071987,0.994925602323781,0.9195788148838997,0.9978632720609474,0.8908183511024096,0.971745756597813,0.9799871961099548,0.9948854352175797,0.9806516855433922,0.9928906189259668,0.9942730097030718,0.9882529778156149,0.9935013230174314,0.9905671085139982,0.9974851766175648
JHN,0.6649396470465266,0.8380442341278287,0.6082746582775528,0.607631220475958,0.664880191432242,0.5860217666431502,0.9707991629702474,0.987346961542298,0.6794086772103738,1.0,0.9966939289607932,0.8758833591049247,0.8639405420239,0.9969381570725623,0.558297092108898,0.6737819483371913,0.5290595536705959,0.6298457451478611,0.5374331555535423,0.6125140682338694,0.9118753238738284,0.7138581527369832,0.9381090162122266,0.8325078942108489,0.5380027989894466,0.6301836426228381,0.5514060067531875,0.6187908460539789,0.621814725200981,0.5773045463715194,0.6211190854431546,0.5985941943275254,0.6813676195875752
