,1CO,1JN,1PE,1TH,1TI,2CO,2JN,2PE,2TH,2TI,3JN,ACT,COL,EPH,GAL,HEB,JAS,JHN,JUD,LUK,MAT,MRK,PHM,PHP,REV,ROM,TIT,Διονυσίῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,Σαραπίωνι τῷ λαμπροτάτῳ,Τῷ αὐτῷ,φραγμεντυμ επιστολαε,Ἀνεπίγραφος ὑπὲρ Ἀργείων
1CO,1.0,0.7663977809113829,0.7664066245182249,0.7345460825101617,0.7682073606849792,0.8650852691351381,0.6916487822069124,0.7449274617331362,0.724400005602719,0.7382544424571806,0.721891399148077,0.757578457343949,0.7155193672091589,0.7739702749664502,0.7927863008231799,0.7869457491242173,0.7839895517570976,0.7174856011885999,0.7400180218417797,0.7294613650694971,0.7490130409878587,0.8306329455910353,0.674987889599904,0.7304623864296064,0.8411986343548161,0.8358692636849492,0.7457797959419009,0.7170392267810308,0.7626038881160873,0.76140623413474,0.7328936575427425,0.7864779900866076,0.7342689436807311
1JN,0.7663977809113829,1.0,0.7618175513693121,0.8914721789563135,0.8597847901600846,0.7423927958638423,0.7842281015331238,0.7690173261655089,0.8176808307080238,0.873915002053194,0.8556036136929711,0.4941981839270751,0.8109611997626903,0.8623430192223367,0.7922221635756104,0.7679824208809892,0.8522362333597824,0.5777096087829813,0.8097390817245211,0.5086568558559912,0.5144179299786096,0.694667209822074,0.833821725485161,0.8346892208675,0.8240293829670986,0.7619655775390104,0.8537734882110251,0.8105919367236742,0.8119616875020783,0.8433017383003246,0.7869275139158157,0.8354352692286844,0.8335493828381259
1PE,0.7664066245182249,0.7618175513693121,1.0,0.8461410114706689,0.8131014685186001,0.8424571375185413,0.7977439287169584,0.8746305686952764,0.8063111637430375,0.8119185879354138,0.8130855979700945,0.4992375236550587,0.782317734971936,0.8178920595331262,0.8462210337173662,0.8056170486029707,0.8261217527768203,0.5540591516501104,0.8802851040793668,0.5298120489854226,0.5194252302942713,0.7018619092913301,0.7549439237653214,0.8113473934218913,0.779890911618918,0.6849921504260701,0.793968641313189,0.8095100615257322,0.8635777491495288,0.8401611768497969,0.8645133842567239,0.7901409096949455,0.8177574094029441
1TH,0.7345460825101617,0.8914721789563135,0.8461410114706689,1.0,0.8624832831820293,0.7786884316981971,0.7879879491932713,0.8139999285530577,0.8452261757715238,0.889628649522551,0.8555952039317116,0.5235236781980166,0.7940167676424096,0.8890038168381575,0.8432773740725026,0.7902154097540625,0.8169700790127147,0.5349224307718957,0.8701729319425233,0.4945025404604689,0.4709347634910627,0.6503471324103268,0.8184457996607876,0.8555213011692239,0.7743886158860867,0.7225436060075913,0.8127203953912568,0.8067222173928623,0.7887653801626542,0.8652072489343852,0.8138654296840822,0.8547737351810369,0.8056336073613908
1TI,0.7682073606849792,0.8597847901600846,0.8131014685186001,0.8624832831820293,1.0,0.8157015746839926,0.8317957130575213,0.7810591595072738,0.860052759679262,0.8413771192864001,0.8516292600365635,0.4802145373772294,0.8175072221322512,0.8524847766073446,0.8309590283158419,0.836868917145388,0.85572228468479,0.5746865939746781,0.803015807579863,0.5214950290305712,0.4768348167213953,0.6901637230124456,0.8197806710928368,0.8141916570656502,0.7541739467927842,0.6994853202199979,0.8045150400815254,0.8327152569395331,0.7933289273482084,0.8135374090821588,0.7986946333407547,0.8025216338336975,0.7679419199729316
2CO,0.8650852691351381,0.7423927958638423,0.8424571375185413,0.7786884316981971,0.8157015746839926,1.0,0.8016038957766332,0.8289079390526257,0.7979756853984477,0.7350602110072345,0.8278605017214102,0.6359199645738908,0.8114158611117727,0.8051843939343992,0.8605023903184599,0.8469411374415434,0.804380240055972,0.6915072544633668,0.823446131024436,0.6398321058880385,0.6717801928035063,0.7856452499102955,0.7354553902343828,0.8189623051433064,0.7970439216370714,0.8072264089452791,0.7765037005273114,0.7733295081515995,0.8224199599740322,0.7916029784179978,0.8495311622831061,0.8100055769981461,0.761198618630108
2JN,0.6916487822069124,0.7842281015331238,0.7977439287169584,0.7879879491932713,0.8317957130575213,0.8016038957766332,1.0,0.8355171620785914,0.8634034956477743,0.8201788374785351,0.8605409688088732,0.3687810708866957,0.8745701995005509,0.7991821376553115,0.8229516914836804,0.7243434629710078,0.8317160826870789,0.5006275815082787,0.8099826854102332,0.47957327896250906,0.4610546949888463,0.559747630842834,0.8654962009193227,0.8524550317971678,0.7487088542651434,0.678692361286066,0.8783419613030683,0.8772714625016554,0.8281631738215355,0.8192022823486808,0.8542329873448209,0.7376330122527572,0.7790463082995579
2PE,0.7449274617331362,0.7690173261655089,0.8746305686952764,0.8139999285530577,0.7810591595072738,0.8289079390526257,0.8355171620785914,1.0,0.8194411190311218,0.7788667502213162,0.8122674896220404,0.458800892897642,0.8318646505819336,0.8321476478593883,0.8120829171420605,0.7915516024868099,0.8102340610943555,0.5395476524236954,0.8216155459032481,0.47647537959134,0.4883381982767817,0.6419010668579659,0.8547208442202197,0.8035372421286615,0.7436862701355362,0.7365965203815865,0.7986591154740312,0.7752243031844192,0.8696388116109368,0.8190443313945913,0.887329525411307,0.7855181484015856,0.8494102546559402
2TH,0.724400005602719,0.8176808307080238,0.8063111637430375,0.8452261757715238,0.860052759679262,0.7979756853984477,0.8634034956477743,0.8194411190311218,1.0,0.843634770468119,0.8511780462500607,0.4426479945247525,0.8923417904512473,0.8163527214290174,0.8752877333566292,0.772550889710593,0.8607616499047772,0.519174964664597,0.8187167777116633,0.4624730413829565,0.43980548593866314,0.6275132248147965,0.8529923165333566,0.8468741186331916,0.7869889633553366,0.6994185181244778,0.8279174256533395,0.8142512116919036,0.8161312275482139,0.7888269895706903,0.8442785959434529,0.7856875937515511,0.7848190772563952
2TI,0.7382544424571806,0.873915002053194,0.8119185879354138,0.889628649522551,0.8413771192864001,0.7350602110072345,0.8201788374785351,0.7788667502213162,0.843634770468119,1.0,0.8311939821927007,0.46682759428740095,0.7947597024518911,0.808231986433537,0.8290945266809228,0.7355239327030725,0.847689591388983,0.5193178910815834,0.8610236980923494,0.5150386118247184,0.4376712234123904,0.6734700317802431,0.8246102903874816,0.8078433396291402,0.816859385901766,0.6993766407154711,0.82432287241064,0.8767465697578334,0.8178139290802241,0.8729525805105703,0.7544454841364283,0.8119906630501378,0.8337897091344164
3JN,0.721891399148077,0.8556036136929711,0.8130855979700945,0.8555952039317116,0.8516292600365635,0.8278605017214102,0.8605409688088732,0.8122674896220404,0.8511780462500607,0.8311939821927007,1.0,0.40890519557944405,0.8319565709358473,0.8426501968546518,0.8457661628924804,0.7269081228853441,0.8817620969665795,0.4943496235734566,0.8768107398645656,0.431991289438848,0.4421271178958702,0.6077647004560873,0.8200096086587942,0.8388627672505773,0.767576142578066,0.6754942777426992,0.8315744025811748,0.7874844207011897,0.8501739166152549,0.8122766814972892,0.8343563115409391,0.7636907456902632,0.8093974612402995
ACT,0.757578457343949,0.4941981839270751,0.4992375236550587,0.5235236781980166,0.4802145373772294,0.6359199645738908,0.3687810708866957,0.458800892897642,0.4426479945247525,0.46682759428740095,0.40890519557944405,1.0,0.4132049148322989,0.5492249410817465,0.5972937514152832,0.6587673171516114,0.497064733471014,0.8031660033836407,0.4116984310968058,0.817232696584373,0.8464017042296108,0.7572413364093933,0.41442819471951176,0.5292166467688898,0.6832597256126368,0.7867042981784603,0.39171146932947287,0.4559198573082832,0.4122465328562943,0.47990452117194493,0.43397811489698235,0.6684301874747619,0.45417891982224373
COL,0.7155193672091589,0.8109611997626903,0.782317734971936,0.7940167676424096,0.8175072221322512,0.8114158611117727,0.8745701995005509,0.8318646505819336,0.8923417904512473,0.7947597024518911,0.8319565709358473,0.4132049148322989,1.0,0.8035553972847339,0.810670726487657,0.7921216016123557,0.8481524025866582,0.5647969336281978,0.7782875925245407,0.5239335691305561,0.4970546394705796,0.632061184635224,0.8638544125132711,0.8306867701680434,0.8052674578674001,0.7364448210584869,0.8248823630207639,0.8379941136979966,0.8209049822023744,0.8341982897680438,0.8610566039669729,0.792876171486687,0.7941661348436528
EPH,0.7739702749664502,0.8623430192223367,0.8178920595331262,0.8890038168381575,0.8524847766073446,0.8051843939343992,0.7991821376553115,0.8321476478593883,0.8163527214290174,0.808231986433537,0.8426501968546518,0.5492249410817465,0.8035553972847339,1.0,0.8237377646071934,0.8158878999056007,0.7962292003483687,0.5645433705135581,0.8285034507662103,0.5452487545142944,0.5295132808177191,0.674302340017641,0.8691522130194936,0.8560711462227832,0.7475910914012537,0.7363428395102037,0.8271305115046385,0.7544855610653303,0.76058180142133,0.8322929610927939,0.8471341759786599,0.8555821612003373,0.8092194882490492
GAL,0.7927863008231799,0.7922221635756104,0.8462210337173662,0.8432773740725026,0.8309590283158419,0.8605023903184599,0.8229516914836804,0.8120829171420605,0.8752877333566292,0.8290945266809228,0.8457661628924804,0.5972937514152832,0.810670726487657,0.8237377646071934,1.0,0.8070958642407626,0.826381028473438,0.6189177456533009,0.8344802233526046,0.5460352957630284,0.5586093674141532,0.7441757716195812,0.7864084534558433,0.8737170565738135,0.8079119639499013,0.783418082968986,0.8045626546574649,0.8160058394925473,0.8202212061236848,0.7798198444681083,0.8540842799265139,0.8478503369278909,0.8072417107462664
HEB,0.7869457491242173,0.7679824208809892,0.8056170486029707,0.7902154097540625,0.836868917145388,0.8469411374415434,0.7243434629710078,0.7915516024868099,0.772550889710593,0.7355239327030725,0.7269081228853441,0.6587673171516114,0.7921216016123557,0.8158878999056007,0.8070958642407626,1.0,0.7933077679706623,0.7646580326838766,0.7368013413832061,0.7096203471559221,0.6790327928968769,0.8426291340701327,0.7790152234330583,0.7587848260726836,0.7839035099271392,0.8221825446199812,0.6934184655542193,0.7793602965873248,0.758570255553781,0.7873140189702599,0.8003249926062674,0.8858427984067963,0.7397321223019813
JAS,0.7839895517570976,0.8522362333597824,0.8261217527768203,0.8169700790127147,0.85572228468479,0.804380240055972,0.8317160826870789,0.8102340610943555,0.8607616499047772,0.847689591388983,0.8817620969665795,0.497064733471014,0.8481524025866582,0.7962292003483687,0.826381028473438,0.7933077679706623,1.0,0.5943534033840762,0.8288979888976418,0.5684978689742991,0.5420130426140578,0.6985512914743938,0.8252176919263026,0.789431418658193,0.8504441152363056,0.7457241544837627,0.7832799833561481,0.8146246697581312,0.8870503412157239,0.8377884435396403,0.8074890076852895,0.7999849368175965,0.8079448220707084
JHN,0.7174856011885999,0.5777096087829813,0.5540591516501104,0.5349224307718957,0.5746865939746781,0.6915072544633668,0.5006275815082787,0.5395476524236954,0.519174964664597,0.5193178910815834,0.4943496235734566,0.8031660033836407,0.5647969336281978,0.5645433705135581,0.6189177456533009,0.7646580326838766,0.5943534033840762,1.0,0.4459054210154611,0.7913646167269883,0.8460946230791404,0.8420240502386769,0.5161407119058861,0.5700614882816224,0.6972894394795878,0.8506538984626074,0.5031763379041395,0.628911667229237,0.5094293115367616,0.5526322349686358,0.5472695370736506,0.7307681683503942,0.5576787951311536
JUD,0.7400180218417797,0.8097390817245211,0.8802851040793668,0.8701729319425233,0.803015807579863,0.823446131024436,0.8099826854102332,0.8216155459032481,0.8187167777116633,0.8610236980923494,0.8768107398645656,0.4116984310968058,0.7782875925245407,0.8285034507662103,0.8344802233526046,0.7368013413832061,0.8288979888976418,0.4459054210154611,1.0,0.4332267892615788,0.4371344655107478,0.6379079746484576,0.7861249202922126,0.8139095947058859,0.7530458658864959,0.6364121084701975,0.8338705400568079,0.7924267066429629,0.850178546716106,0.8567585497180458,0.8469277155212781,0.7761873693560682,0.8201612505495282
LUK,0.7294613650694971,0.5086568558559912,0.5298120489854226,0.4945025404604689,0.5214950290305712,0.6398321058880385,0.47957327896250906,0.47647537959134,0.4624730413829565,0.5150386118247184,0.431991289438848,0.817232696584373,0.5239335691305561,0.5452487545142944,0.5460352957630284,0.7096203471559221,0.5684978689742991,0.7913646167269883,0.4332267892615788,1.0,0.829886178940378,0.7744592845309416,0.4685578152989958,0.499234372775937,0.7414495051418815,0.7393169780363131,0.4352001144306018,0.5747124335149165,0.4804475459398546,0.5652230591717156,0.4718485756362183,0.6680010956034882,0.477017292684976
MAT,0.7490130409878587,0.5144179299786096,0.5194252302942713,0.4709347634910627,0.4768348167213953,0.6717801928035063,0.4610546949888463,0.4883381982767817,0.43980548593866314,0.4376712234123904,0.4421271178958702,0.8464017042296108,0.4970546394705796,0.5295132808177191,0.5586093674141532,0.6790327928968769,0.5420130426140578,0.8460946230791404,0.4371344655107478,0.829886178940378,1.0,0.7580394784920086,0.4616656133875324,0.5510405121266009,0.7020335427752924,0.8120208624265459,0.4941427412561179,0.5450003950433715,0.5046318821979504,0.5027583999120554,0.4822320212234004,0.6443306603910184,0.5118556772329916
MRK,0.8306329455910353,0.694667209822074,0.7018619092913301,0.6503471324103268,0.6901637230124456,0.7856452499102955,0.559747630842834,0.6419010668579659,0.6275132248147965,0.6734700317802431,0.6077647004560873,0.7572413364093933,0.632061184635224,0.674302340017641,0.7441757716195812,0.8426291340701327,0.6985512914743938,0.8420240502386769,0.6379079746484576,0.7744592845309416,0.7580394784920086,1.0,0.597051722896142,0.656300399646127,0.7943767929717114,0.8391854844390064,0.6143893753989216,0.696955364239964,0.6839832377544622,0.6716744085596307,0.6596517546038131,0.7950763474691893,0.7095501349191029
PHM,0.674987889599904,0.833821725485161,0.7549439237653214,0.8184457996607876,0.8197806710928368,0.7354553902343828,0.8654962009193227,0.8547208442202197,0.8529923165333566,0.8246102903874816,0.8200096086587942,0.41442819471951176,0.8638544125132711,0.8691522130194936,0.7864084534558433,0.7790152234330583,0.8252176919263026,0.5161407119058861,0.7861249202922126,0.4685578152989958,0.4616656133875324,0.597051722896142,1.0,0.837658080312989,0.7440482237437663,0.7110746248479805,0.8342935100942409,0.8025386448681863,0.7967380312401311,0.8004508493623405,0.8298196282885983,0.7968435642490066,0.823545435175431
PHP,0.7304623864296064,0.8346892208675,0.8113473934218913,0.8555213011692239,0.8141916570656502,0.8189623051433064,0.8524550317971678,0.8035372421286615,0.8468741186331916,0.8078433396291402,0.8388627672505773,0.5292166467688898,0.8306867701680434,0.8560711462227832,0.8737170565738135,0.7587848260726836,0.789431418658193,0.5700614882816224,0.8139095947058859,0.499234372775937,0.5510405121266009,0.656300399646127,0.837658080312989,1.0,0.7941926084358291,0.771731958959087,0.869894270535052,0.819807369902492,0.8063074018201812,0.797298653638244,0.8659468713617653,0.8205030973419799,0.8213673854913781
REV,0.8411986343548161,0.8240293829670986,0.779890911618918,0.7743886158860867,0.7541739467927842,0.7970439216370714,0.7487088542651434,0.7436862701355362,0.7869889633553366,0.816859385901766,0.767576142578066,0.6832597256126368,0.8052674578674001,0.7475910914012537,0.8079119639499013,0.7839035099271392,0.8504441152363056,0.6972894394795878,0.7530458658864959,0.7414495051418815,0.7020335427752924,0.7943767929717114,0.7440482237437663,0.7941926084358291,1.0,0.8155002014098954,0.7665579328707359,0.7924846937723594,0.8165131288973442,0.7897245084703861,0.7482287746432771,0.823190317907607,0.7784370090691441
ROM,0.8358692636849492,0.7619655775390104,0.6849921504260701,0.7225436060075913,0.6994853202199979,0.8072264089452791,0.678692361286066,0.7365965203815865,0.6994185181244778,0.6993766407154711,0.6754942777426992,0.7867042981784603,0.7364448210584869,0.7363428395102037,0.783418082968986,0.8221825446199812,0.7457241544837627,0.8506538984626074,0.6364121084701975,0.7393169780363131,0.8120208624265459,0.8391854844390064,0.7110746248479805,0.771731958959087,0.8155002014098954,1.0,0.6848008562566398,0.7476247606495374,0.7258348508764947,0.7430115411824678,0.7235999268800575,0.8561074512409064,0.7621748330705926
