,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9788877213466192,0.9832394730173369,0.9878155103443211,0.9989022427202728,0.9678837327101218,0.9610744452835653,0.9659515582075406,0.9868511680329873,0.9655531306496113,0.9647851255807459,0.9662731003534796,0.9799208490208888,0.96347880713174,0.9336338154318173,0.9915873468112323,0.8714227144807388,0.992860046626105,0.8604003208552023,0.9907376141077616,0.9825891311262378,0.9951611634325513,0.931561944410566,0.9531294820315713,0.9031471205803713,0.9077022183969967,0.9611327163254987,0.9974953470433509,0.9964881869776347,0.9729888893992129,0.9579003463808574,0.9941604033102004,0.9975481835901415
φραγμεντυμ επιστολαε,0.9788877213466192,1.0,0.9398217845621563,0.9475768240297634,0.9712077045077024,0.9468008135887975,0.9852310236690471,0.983819399143387,0.9905187879820991,0.9793443793998431,0.9836956266352984,0.9982027963960023,0.9823608489875851,0.9814135364278544,0.8731666985637687,0.9832423553404238,0.8017025919563194,0.9754121922866726,0.7963315862136078,0.9527101929538436,0.9902597621699231,0.9877480518383535,0.982344414206925,0.9930981944433815,0.8365805747076073,0.9523329844072786,0.9068722850146235,0.9696130806196923,0.969472480313725,0.9282190978528232,0.9778271868582726,0.9647031974028173,0.9835422923213367
Τῷ αὐτῷ,0.9832394730173369,0.9398217845621563,1.0,0.9992604949922786,0.987249728832158,0.9848506004490996,0.9049222828651456,0.9095098993297984,0.9682762909112378,0.9097173549263808,0.9079528512787376,0.9223670718876961,0.9324507511499017,0.9062733562536323,0.978916548832926,0.9690884506967745,0.930631085490865,0.9721179197047913,0.9171407178795301,0.9973692303183596,0.9358312357925211,0.9672561867405984,0.879337278169449,0.9094593722685737,0.9604993133804752,0.8888907524382951,0.9948733617955823,0.9898954097114496,0.9887349793704967,0.9912235897187184,0.9451700488711742,0.9950906636070589,0.9758455712197771
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9878155103443211,0.9475768240297634,0.9992604949922786,1.0,0.9917444032336353,0.9838706048853604,0.9167345973555142,0.9215026538533803,0.9733967792107193,0.9215392265366744,0.9199254145003132,0.9308650927139751,0.9428617461069394,0.9182830792431599,0.9739238114735151,0.9755793438566877,0.9243386369094924,0.978596051430675,0.9114540069193685,0.9993516100148212,0.9457737049975153,0.974503752373101,0.8891064675698162,0.9178687099118199,0.9539990182407012,0.8920190427531871,0.9909069533626469,0.9938537038846718,0.9931852317309131,0.9920421651076198,0.9468139223673023,0.9966475423316822,0.9819004476029606
Σαραπίωνι τῷ λαμπροτάτῳ,0.9989022427202728,0.9712077045077024,0.987249728832158,0.9917444032336353,1.0,0.9678285331138499,0.9528391095134277,0.9590651824541353,0.9823146095924605,0.9591339597038507,0.9576496630361422,0.9568848131517115,0.9759711376434127,0.9562939055872766,0.941137597311152,0.9885604200425194,0.8816609644994096,0.9921773819779084,0.8694289009994373,0.99439206156632,0.9771611792244215,0.9922158988739879,0.9189899041429732,0.9426630741785836,0.9131557665466022,0.8964945688931346,0.9671291378444744,0.9993188229611768,0.9979036635642923,0.9781860990935449,0.9499356836554201,0.9953826322259437,0.9968726029048468
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9678837327101218,0.9468008135887975,0.9848506004490996,0.9838706048853604,0.9678285331138499,1.0,0.9107146436804279,0.9060898864789784,0.9799267777623833,0.9040477740442214,0.9054759312360068,0.9373960643937389,0.9161670284308079,0.9039017059726626,0.9741446645983308,0.971199629461577,0.9327895468979144,0.9637728840341312,0.9283426328273618,0.982515410825636,0.9265412442081035,0.9616781834338997,0.9109344037447753,0.933732858057779,0.9558928081419299,0.9377784009260731,0.9796597887390822,0.9705620243489401,0.9769870280246693,0.9855273885084549,0.9676323542595164,0.9799773763594832,0.9588990241987813
MRK,0.9610744452835653,0.9852310236690471,0.9049222828651456,0.9167345973555142,0.9528391095134277,0.9107146436804279,1.0,0.9982826444163635,0.9709045398674104,0.9969967640140025,0.9985904715524853,0.9863593567805409,0.9887674360775508,0.998576762212776,0.8368798608560724,0.9775529207753325,0.7754244468526048,0.9728361953543438,0.7754119977190436,0.9269360507520106,0.9926764932031835,0.9816492695492793,0.9796672619136914,0.9809711506932464,0.7977116536504649,0.9155535729650262,0.8635888181871002,0.9464005811200209,0.9540254482347001,0.907583123859094,0.9337339952763773,0.9320628617214812,0.9660802067706024
ACT,0.9659515582075406,0.983819399143387,0.9095098993297984,0.9215026538533803,0.9590651824541353,0.9060898864789784,0.9982826444163635,1.0,0.9673483593434873,0.9991739015889944,0.9999377822440666,0.9822699375010674,0.994860592344442,0.999705409233606,0.8381143045291986,0.9764237753060103,0.774799626444716,0.9750581605214726,0.7720294802247253,0.9315115710817966,0.9963581512795486,0.9833855818035845,0.969465964146146,0.9736591840685767,0.7993661187556295,0.9001819675323323,0.8680692598704037,0.9527930572547267,0.9575768883390634,0.9088765264661007,0.9272941194880048,0.9369520559541926,0.9721210203372118
1PE,0.9868511680329873,0.9905187879820991,0.9682762909112378,0.9733967792107193,0.9823146095924605,0.9799267777623833,0.9709045398674104,0.9673483593434873,1.0,0.9641426093196955,0.9670124266475998,0.9861056382097386,0.9689387943663457,0.965415424741726,0.9232386987269063,0.9942354401023886,0.8639120782449998,0.9860718552965091,0.8601540681330337,0.9769908717372648,0.9779462915769461,0.9918680483058303,0.9675084783263955,0.9819854240820981,0.8924732149163901,0.9577917992358448,0.9443694880891869,0.9816593994981541,0.9863342368598313,0.9651100899869911,0.9824980484848627,0.9811358970203518,0.9853553276312794
JHN,0.9655531306496113,0.9793443793998431,0.9097173549263808,0.9215392265366744,0.9591339597038507,0.9040477740442214,0.9969967640140025,0.9991739015889944,0.9641426093196955,1.0,0.9992945465859343,0.9771149092899912,0.9954458156398998,0.9996205103651805,0.8401579113513442,0.9759621266784223,0.7789349315689592,0.9772595826759441,0.7762176761518133,0.9316449545534455,0.9954116297981577,0.9828051879404898,0.96405435630676,0.9681265475667354,0.8015850568741445,0.8922247633077528,0.868790275583112,0.9523817543990953,0.9581720670692727,0.9107617883856799,0.9206351293715579,0.9358731558863792,0.9711108617922773
LUK,0.9647851255807459,0.9836956266352984,0.9079528512787376,0.9199254145003132,0.9576496630361422,0.9054759312360068,0.9985904715524853,0.9999377822440666,0.9670124266475998,0.9992945465859343,1.0,0.9825303872140024,0.9943980473245367,0.9998391201860798,0.8367231314660261,0.9758970951791964,0.7735186478784849,0.9745528548008192,0.7710536985046694,0.929951335999595,0.9959719990284905,0.982715546452351,0.9706876044333355,0.9743629400448476,0.7977944269779607,0.9013557025075782,0.8664871203972371,0.9513376522442116,0.9564408169885888,0.9076207388741815,0.9274441254617649,0.9355990765448977,0.9709909462832008
HEB,0.9662731003534796,0.9982027963960023,0.9223670718876961,0.9308650927139751,0.9568848131517115,0.9373960643937389,0.9863593567805409,0.9822699375010674,0.9861056382097386,0.9771149092899912,0.9825303872140024,1.0,0.9755067645847728,0.9803396391606044,0.8545886279875946,0.9764704382662078,0.783839287541679,0.9659747016292543,0.7810682288618531,0.9368253739164667,0.984951463895312,0.9798219078982134,0.991542254468746,0.9980545593073156,0.8169933633437284,0.9608711446766139,0.8870363988186507,0.9548258595772988,0.9566973656818342,0.9132077539827264,0.9760782038104975,0.9494658439270949,0.9717974474133484
