,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9609425699701273,0.9921876475947885,0.9897804809619283,0.9936370248969089,0.9944776889674839,0.8229385311313933,0.5522985670971242,0.9949963392468112,0.6660441394915588,0.6123950652295622,0.9377403079156231,0.9488957763865581,0.6121287026724356,0.989015818586688,0.9996045448458132,0.9829671750995838,0.9958572636868801,0.9858662487676438,0.9839230499649394,0.909179416357205,0.9965891054628223,0.8731967766781571,0.9652212603959685,0.9763618420828699,0.9962648027277041,0.9880243096333001,0.9849450684600363,0.9951639196569682,0.9864822902547915,0.9977055127564494,0.9952998760467059,0.9876540300971617
φραγμεντυμ επιστολαε,0.9609425699701273,1.0,0.9405497213833464,0.9394867742832788,0.9621782184470332,0.930345185085226,0.9415114326053294,0.7543893830001769,0.9691535491273907,0.8364160647325679,0.798454982552337,0.9971665191888947,0.9911630017449943,0.798299005034141,0.917655865399317,0.9650801665823069,0.8999158650175081,0.9408824752715801,0.9059338484131576,0.939622637915677,0.9845504595387458,0.979535450094137,0.9707893581217859,0.9988332310792238,0.9042330718273895,0.9475249880361335,0.9089065074066868,0.939239880987164,0.9442622063430476,0.9243026036069218,0.942830366045614,0.9332586322996738,0.9640025443534741
Τῷ αὐτῷ,0.9921876475947885,0.9405497213833464,1.0,0.9993309890110164,0.9971906630284137,0.9961751025021222,0.774702916854092,0.4902614211125589,0.9946611369157158,0.6074798691655522,0.5507244885023289,0.9135278525262516,0.9185417269231658,0.5509770702414207,0.9968501723210603,0.9910021599042295,0.9916642877686119,0.99020960567216,0.9915514635440067,0.9960179677032895,0.8719393116808493,0.9857921269025308,0.8340800835742235,0.9441130864269771,0.9916458283443642,0.9963284115873674,0.9896101790076591,0.9923055505004565,0.9970416078019017,0.9955387052663548,0.994483179849112,0.994838031262819,0.9907549842598813
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9897804809619283,0.9394867742832788,0.9993309890110164,1.0,0.9970338364695194,0.9946526845159622,0.7725716202065531,0.48890001648082504,0.9943112951965177,0.6059036708154433,0.5490750151667657,0.9129645253924189,0.9170209426961857,0.5493813006604531,0.9958285449913261,0.9885535394314636,0.9907547047986208,0.9886494719329739,0.9901150772710229,0.9984004956351172,0.8699516630623634,0.9844277600410386,0.8327798525997371,0.9437609503279953,0.9942947761522944,0.9964563531830075,0.988126568184793,0.9957091197645042,0.9973582798154369,0.9973196261084288,0.9929625281727659,0.9936926222404737,0.9934647837686532
Σαραπίωνι τῷ λαμπροτάτῳ,0.9936370248969089,0.9621782184470332,0.9971906630284137,0.9970338364695194,1.0,0.9905568537287662,0.8173316307601616,0.5520682416526106,0.9988171187596221,0.6626187478481527,0.6092913990700143,0.9404648773084745,0.9426033182228535,0.6095320850199929,0.9890497135725503,0.9933748420773358,0.9811919444969214,0.9882755625818483,0.9813988786271425,0.9950897786920554,0.903713915834124,0.9930354899594116,0.8712029071825926,0.9649068940932857,0.9837813209266466,0.9954309588839647,0.9807583236724091,0.9919661171931333,0.995435020295821,0.9905898122431118,0.9920518209328096,0.9904482477445414,0.9961775164079593
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9944776889674839,0.930345185085226,0.9961751025021222,0.9946526845159622,0.9905568537287662,1.0,0.7609041717959661,0.4655279571458386,0.9896409801615645,0.5874565679235594,0.5291957576447569,0.9005259569250255,0.9125997316903691,0.529077647239695,0.998617013649016,0.9929470654586003,0.9957851436033517,0.995130200088816,0.9975872285056689,0.9893104891928918,0.8622932657120447,0.9845703842621757,0.8202401925531805,0.9359666906565974,0.990627841432203,0.9971252159815728,0.9971314128549674,0.9895156636787342,0.9973771556312168,0.9953790811020612,0.9983202277703109,0.999077890099519,0.9839208489469119
MRK,0.8229385311313933,0.9415114326053294,0.774702916854092,0.7725716202065531,0.8173316307601616,0.7609041717959661,1.0,0.9275886729078542,0.8306753227283579,0.9708452302180359,0.9529824593969326,0.9622904401891462,0.9561995668324382,0.9527416297214835,0.7369712585833605,0.8300651344034282,0.7121568065858725,0.7928208500085703,0.7206280594807329,0.7727955256538882,0.9846931631969712,0.8621324553901424,0.9945462356154919,0.9382935789389582,0.7148472787763006,0.7936066948671926,0.7316566451804393,0.7779674495954374,0.7865634148831632,0.7489186494499942,0.7882569173503975,0.7701222017861454,0.8256787911960151
ACT,0.5522985670971242,0.7543893830001769,0.4902614211125589,0.48890001648082504,0.5520682416526106,0.4655279571458386,0.9275886729078542,1.0,0.5702409825765135,0.9873631525323936,0.9967317148528929,0.8003273359635101,0.7798442214801776,0.9966738215404207,0.43515960095060185,0.5633372722081776,0.4015799804712331,0.5091977027336787,0.41193338064510915,0.49399500817026826,0.8488930182491531,0.6127566824976598,0.8879671349245702,0.7455811016800122,0.41200627139225543,0.5123948720398797,0.4249586543199981,0.49852182129729045,0.5031509714723187,0.4545260777752788,0.5024816067517276,0.47755791438391804,0.5676221036075393
1PE,0.9949963392468112,0.9691535491273907,0.9946611369157158,0.9943112951965177,0.9988171187596221,0.9896409801615645,0.8306753227283579,0.5702409825765135,1.0,0.6781003724426433,0.6264699387177648,0.9487221913966101,0.9487475925484412,0.6265237819071034,0.9859954719350597,0.99586866654268,0.9764946967515112,0.9867963565995542,0.9793758182797697,0.9930848183355024,0.9139580789474452,0.9961491230244123,0.8826988981793032,0.9712912663825676,0.9794420823271359,0.9944836390286673,0.977919434766819,0.9906459817330416,0.994087682084963,0.9879806651705461,0.9913519024620625,0.9889317090974787,0.9959697850172587
JHN,0.6660441394915588,0.8364160647325679,0.6074798691655522,0.6059036708154433,0.6626187478481527,0.5874565679235594,0.9708452302180359,0.9873631525323936,0.6781003724426433,1.0,0.9966873746210457,0.8732977949367817,0.8642083105977478,0.9969443299283266,0.5595022635765945,0.6748528155985822,0.530732617903715,0.6311337596498209,0.5391840826222039,0.6081092064225837,0.9153472930185513,0.7188040240309881,0.943194571709173,0.8317866608430724,0.5368005719656399,0.6306228671516575,0.5530715309813223,0.6149653477684242,0.6220861795218676,0.5766176168761227,0.6223953092292218,0.5999886426570893,0.6764204828887359
