,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9528628406163702,0.9411439332333007,0.9235351306106826,0.9329640789154239,0.9903333239636698,0.8692090969319114,0.6647525941079319,0.9484387579512665,0.7424629422516125,0.6888046925687479,0.9322167127699407,0.9673134060650787,0.6960779397020566,0.9721137295964224,0.9983394949784299,0.9775709142910639,0.9963576365447278,0.9832580158825066,0.8822793282075618,0.9377529102417858,0.9856800668248217,0.915374211535178,0.9500563190136578,0.8921647432575032,0.9667330451565858,0.9915621739628137,0.869280638360641,0.9603393098799853,0.9165190311138556,0.9969397608924497,0.9926111460671332,0.8871852567791132
φραγμεντυμ επιστολαε,0.9528628406163702,1.0,0.9627526362128309,0.9655785507269291,0.9710599187687021,0.9596474884434676,0.905729118768533,0.7857627550440403,0.9846672887957295,0.8202743424223075,0.7799699328943582,0.9979290214932988,0.9619259998633295,0.7901695088835752,0.9618497658895744,0.9582486029442318,0.9489142030035366,0.9347450144808741,0.9436275485353568,0.9522142590601282,0.9565517915140046,0.9824381156037465,0.9721610334987898,0.9945916470132133,0.9439927087204656,0.9751979284640621,0.9244879086915496,0.9361721939071772,0.9747540577320886,0.9562026550991469,0.9551302786079527,0.9569987916690591,0.9592452911673649
Τῷ αὐτῷ,0.9411439332333007,0.9627526362128309,1.0,0.9938453129665101,0.9982601049513166,0.963318495644503,0.7774563372204033,0.6236438303942394,0.9891485700570469,0.665283571111114,0.6107411504098441,0.9522011710558966,0.8934303467673945,0.6255797188760468,0.990573453598563,0.9366868464180745,0.9821628538198114,0.9268784920792623,0.948041229250888,0.9672564016337518,0.8608578875527492,0.9525423581960446,0.877372849750512,0.9427662224165068,0.9569338954092623,0.9695369002043654,0.9298106913371537,0.9228414430992827,0.9735327710364343,0.9580618234711166,0.9513641027672404,0.957340726073649,0.9529901047091418
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.9235351306106826,0.9655785507269291,0.9938453129665101,1.0,0.9967043067872089,0.9570665764927897,0.767585570587643,0.6217346049756751,0.994787759638231,0.6561473285704799,0.6036134122823131,0.9601009745065879,0.8804881933486515,0.6186498126316433,0.9835229182194308,0.9242508639282148,0.9711945619354578,0.9099138951308784,0.9453673522702282,0.9893521594891215,0.853652579131421,0.9522484171984643,0.8796742032603995,0.9530816419572704,0.9817501909807448,0.9772252978260626,0.9161252962898373,0.9575302513979307,0.9825047616620061,0.9800127517098405,0.9400975863781719,0.9500189581281089,0.9795995542070655
Σαραπίωνι τῷ λαμπροτάτῳ,0.9329640789154239,0.9710599187687021,0.9982601049513166,0.9967043067872089,1.0,0.9570645676087715,0.7908983778037135,0.6521713437219363,0.9928824543802196,0.6869166950814899,0.6354438440791847,0.9641946933407168,0.8963421693510082,0.6503284998312181,0.9851024093792401,0.9305371375778864,0.9736877631305757,0.9168739362120115,0.9407607655252657,0.9762972057477954,0.869381044680751,0.9531921591034971,0.8917411821756132,0.9526664475308185,0.9640433811709186,0.9707443172363145,0.9181820594801305,0.9349385069106182,0.9752955142984736,0.9641098395511407,0.9439874764234556,0.9508214411629934,0.9645169354507995
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9903333239636698,0.9596474884434676,0.963318495644503,0.9570665764927897,0.9570645676087715,1.0,0.8256817174555906,0.6167851493284942,0.9734030361958351,0.6883060127137098,0.6315469083804196,0.9419073826857284,0.9418474214009422,0.640886795787656,0.9898972717672714,0.991707395863785,0.9915933203028874,0.987547716462327,0.9972214670810944,0.9299452020584081,0.9100752821012139,0.9907388708659683,0.8998670899945805,0.9599769307071192,0.9417232561997185,0.9895021090038187,0.9915252242483928,0.9210040778219534,0.986284481933294,0.9588757928987004,0.9973344614078137,0.9992059562732689,0.9323109078700028
MRK,0.8692090969319114,0.905729118768533,0.7774563372204033,0.767585570587643,0.7908983778037135,0.8256817174555906,1.0,0.9361977795204092,0.8204199900518805,0.9730876906039585,0.9547554852719483,0.9069668674791681,0.9628511631648726,0.9562187920575093,0.7915249855890635,0.8764499638868736,0.7837443366246032,0.8506421832040206,0.8029385713445647,0.741606745712716,0.9849360073792467,0.885585394794848,0.9764262914933748,0.9091937955787209,0.7330472920365839,0.8258481487666874,0.8117303410171738,0.7456833412199917,0.815802805607605,0.7665859518754465,0.846328863506108,0.833091835254711,0.7724372313865779
ACT,0.6647525941079319,0.7857627550440403,0.6236438303942394,0.6217346049756751,0.6521713437219363,0.6167851493284942,0.9361977795204092,1.0,0.6713350483203786,0.9869224865906655,0.993340203424297,0.8054404752086893,0.8226358944880001,0.9950281844342024,0.6018268886307941,0.6738065375967687,0.5791364665293518,0.6308592905490344,0.5796767823075132,0.6110289171672467,0.8739631124489788,0.708208473713576,0.8944135405486395,0.7799244884643609,0.5779636338367974,0.6443757906460789,0.5764314303645741,0.6028676642461716,0.6384311305248491,0.6019414613724144,0.6357538797546065,0.6221988810300904,0.6431448965963219
1PE,0.9484387579512665,0.9846672887957295,0.9891485700570469,0.994787759638231,0.9928824543802196,0.9734030361958351,0.8204199900518805,0.6713350483203786,1.0,0.7101311893846785,0.6604722041161745,0.978989942183212,0.9181912954664971,0.6733955184622302,0.9871143498681182,0.9519118913316006,0.9755576861400816,0.93439124096631,0.9625548608772461,0.9839121051906509,0.8980906073802905,0.9765403404347021,0.9175581900255761,0.977230988454658,0.9794408424454131,0.9898041010724004,0.9368089190927261,0.9620970198071833,0.9924397187340378,0.984102559942634,0.960591210648241,0.9678256369287938,0.981285688548508
JHN,0.7424629422516125,0.8202743424223075,0.665283571111114,0.6561473285704799,0.6869166950814899,0.6883060127137098,0.9730876906039585,0.9869224865906655,0.7101311893846785,1.0,0.9962041166094682,0.831479092247774,0.8843321053820252,0.9970462694666952,0.6614132605849784,0.749200608752853,0.6478408472635097,0.717944017579391,0.6566349300841081,0.6338748465247601,0.9226558040775211,0.768971089053907,0.9255928293554445,0.8192865377091181,0.612013391368747,0.7002639994596506,0.6651598150049491,0.6317104309126472,0.6912035687631255,0.6429929128986848,0.7127387681671448,0.6969697019917993,0.6679488682402227
LUK,0.6888046925687479,0.7799699328943582,0.6107411504098441,0.6036134122823131,0.6354438440791847,0.6315469083804196,0.9547554852719483,0.993340203424297,0.6604722041161745,0.9962041166094682,1.0,0.7946619887671721,0.8448707180464011,0.9996255398490447,0.6032464677592085,0.6972894313663447,0.5869160653099917,0.6607793923823632,0.5979157283797008,0.5856245157622731,0.8922096728771395,0.7202798990502736,0.8982291281235807,0.7792220221097322,0.5605090170843263,0.6472870522274984,0.6051094989725562,0.5858821075512026,0.6380779851261802,0.5915751542212085,0.656652668504233,0.640056830765213,0.6222469529667068
HEB,0.9322167127699407,0.9979290214932988,0.9522011710558966,0.9601009745065879,0.9641946933407168,0.9419073826857284,0.9069668674791681,0.8054404752086893,0.978989942183212,0.831479092247774,0.7946619887671721,1.0,0.9522291258913951,0.8050625110219493,0.946267899533589,0.9395767105036705,0.9299620826238394,0.9121328649357354,0.9248651609054905,0.9537262142221918,0.9526180954746873,0.9714076928077484,0.9752825066744046,0.9937543400844387,0.9430384061824696,0.9658848827143496,0.9005113601345397,0.940091655496682,0.9663497319794563,0.9533059705822211,0.9356740600429831,0.9387296652297322,0.962681036290214
