,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
Διονυσίῳ,1.0,0.9616814518857941,0.9956052690800838,0.994861171552661,0.9979427792850205,0.9946766831114777,0.822340579886164,0.5502635056030436,0.997838075699649,0.6649396470440863,0.6113116485681908,0.9386101653110286,0.9486038037314674,0.6108542128582408,0.9900138980476448,0.9996363819202148,0.9834038177704749,0.9958531337729515,0.9860219001007476,0.9933423873029915,0.9087380744233867,0.9969708455136268,0.8723803706009244,0.966057266421428,0.9829819377780541,0.9976136533856677,0.9879700571955903,0.9934760646244398,0.9968932729922328,0.9908841492067281,0.9977424515120712,0.9954221088530744,0.9955969260299935
φραγμεντυμ επιστολαε,0.9616814518857941,1.0,0.9401928896171707,0.939413369493145,0.9625428200575861,0.9297346706393118,0.9435387134735966,0.7545555027260952,0.9688566305184219,0.8380442341254324,0.8001559106307511,0.9971590553059057,0.9926192939573396,0.7996949726659671,0.9163147594252763,0.9657698412073993,0.8985449068114933,0.9416741995019065,0.9051834052256004,0.9416967153985376,0.9860499580719533,0.9796213961169097,0.9711404777340206,0.9989862576825942,0.9039814873117934,0.9466738354034422,0.9090968567744222,0.9412489162294824,0.943310842973,0.9236891243758967,0.9428709581989964,0.9328721310380746,0.9660732492677306
Τῷ αὐτῷ,0.9956052690800838,0.9401928896171707,1.0,0.9997224373372401,0.9971788291402681,0.9984375226314961,0.7772317001365711,0.4882845554934647,0.9949481101536806,0.6082746582745038,0.551383027878461,0.9123728856112422,0.9214631114347906,0.5511480851261724,0.9974834370576339,0.994520751018413,0.9926884089985138,0.9941788379305665,0.9943104544880194,0.9986578840185002,0.8745043232206429,0.9880642377682934,0.834218808384993,0.9448169512945023,0.9937916744804204,0.9977990336322408,0.9933784971830277,0.9965673873884856,0.9982672837517038,0.9973518874200489,0.9974031954596448,0.9973871644540072,0.9933182505286461
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.994861171552661,0.939413369493145,0.9997224373372401,1.0,0.9970859947072102,0.9979958281456507,0.7763148423376007,0.4873088852551383,0.9945413924379967,0.6076312204743611,0.5505394067853185,0.9117406716068288,0.921399675289761,0.5503151618821532,0.9972715646887863,0.9935481257809411,0.9928801209011281,0.9943517474888057,0.9938791022683363,0.9993920079252094,0.8736953604110187,0.9875343722209056,0.8334755238284159,0.9445887262783037,0.9950606479639278,0.9982019007210742,0.9934828783026208,0.9980615074882403,0.998705895918991,0.9982667845197871,0.9972714815629281,0.997429961490536,0.9944233948994775
Σαραπίωνι τῷ λαμπροτάτῳ,0.9979427792850205,0.9625428200575861,0.9971788291402681,0.9970859947072102,1.0,0.9932904911782382,0.8213075254113317,0.5514120063777003,0.9992056027724265,0.6648801914300174,0.6114060672668017,0.9400311006898943,0.9467608535992729,0.6111391078990526,0.9898592378161264,0.9977442606801687,0.9824834918144469,0.9931111639047323,0.9845360389817044,0.9968853488764439,0.9075575685723523,0.9959760518606015,0.8724769247650487,0.9662896473022173,0.9850406277801103,0.997100828340938,0.9851997528189826,0.9954549932787478,0.9967556214470903,0.9919333697000084,0.9956582882294828,0.9935488705027483,0.9982415556806217
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.9946766831114777,0.9297346706393118,0.9984375226314961,0.9979958281456507,0.9932904911782382,1.0,0.7601415979968729,0.46271569488529773,0.9910016787932415,0.5860217666413926,0.5277509499397743,0.8996495737542207,0.9122346355017027,0.5273752140374391,0.999073179959727,0.9930687304780829,0.995970720798278,0.99544946531007,0.9976082070392749,0.996042592958587,0.8615865009232093,0.9844399203511394,0.8184993334031263,0.9354799805777195,0.9951437255707487,0.9975486793480551,0.9973707856239953,0.995422270764099,0.9980429750523574,0.9980325824633622,0.9983768061136458,0.9990800554590505,0.9891188402018632
MRK,0.822340579886164,0.9435387134735966,0.7772317001365711,0.7763148423376007,0.8213075254113317,0.7601415979968729,1.0,0.9273406564298163,0.8332144762524043,0.970799162969572,0.9529371846909716,0.9651284087549035,0.9561495800786057,0.9526547348771636,0.73688636787133,0.8294551609416159,0.7114607313264794,0.7919990639391976,0.7195049123179846,0.7799384047239543,0.9847372304555686,0.862176018117914,0.995148208246815,0.9399684791300752,0.7183785621555324,0.7940307353065895,0.7305039104022463,0.7839588823738459,0.7872798709304786,0.7512398044264504,0.7875056271544758,0.7693372609299938,0.8325710686370874
ACT,0.5502635056030436,0.7545555027260952,0.4882845554934647,0.4873088852551383,0.5514120063777003,0.46271569488529773,0.9273406564298163,1.0,0.5691281649787765,0.9873469615426689,0.9967922397475435,0.8014197400267556,0.7789763029868227,0.99669983770681,0.43196076999131783,0.5613345962491327,0.39814452382265747,0.5070224577427331,0.40883189336343884,0.4940538857357663,0.848358768542511,0.6110606647693012,0.8879888064616268,0.7455357171913455,0.40933856431921317,0.5100357811545582,0.42228970894111484,0.49846079443953634,0.500766687972895,0.4521573679203595,0.5000427370703132,0.4748810237177906,0.56885185227235
1PE,0.997838075699649,0.9688566305184219,0.9949481101536806,0.9945413924379967,0.9992056027724265,0.9910016787932415,0.8332144762524043,0.5691281649787765,1.0,0.6794086772026433,0.6276859360282315,0.9477489984039053,0.9513971971707256,0.6273170178278048,0.9861956279055142,0.9986145801800761,0.9769993224549778,0.9899545447043812,0.9808728110735403,0.9949256023238077,0.916256240851903,0.9975923316904237,0.8828133607538906,0.971459922957023,0.9799871961018128,0.9948854352097132,0.9806516855359929,0.9928906189225786,0.9942730096986631,0.988252977817938,0.9934709841374799,0.9905671085059742,0.9974851766150017
JHN,0.6649396470440863,0.8380442341254324,0.6082746582745038,0.6076312204743611,0.6648801914300174,0.5860217666413926,0.970799162969572,0.9873469615426689,0.6794086772026433,1.0,0.996693928960886,0.87588335909991,0.8639405420250325,0.9969381570727771,0.5582970921050959,0.673781948335245,0.529059553660423,0.6298457451492117,0.5374331555508428,0.6125140682305154,0.9152897905274698,0.7183605248279313,0.9438655011362799,0.8331505662939478,0.5380027989853294,0.6301836426211678,0.5514060067531987,0.618790846054309,0.6218147251994549,0.5773045463711444,0.6210876591081494,0.5985941943260576,0.6813676195865563
