,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1CO,1.0,0.7785417161795982,0.7958785488451628,0.82410653199394,0.738587871292266,0.7193920316464604,0.7055371786182141,0.6885715244006272,0.7302432349900232,0.7640911294518095,0.7804546576035821,0.7298730844981602,0.7536278247079246,0.8252860950621989,0.6806883101596368,0.7467285038411207,0.8215336070191694,0.7193441826533934,0.791683544070305,0.7999668269515057,0.68959061617767,0.6993305828201203,0.7757236394789215,0.6673090447373842,0.7494818184493227,0.6979379898784575,0.7424939824775353,0.8019507452676091,0.8040994900426203,0.7363754438989406,0.7306118788566707,0.8030865182979176,0.6769044966920763
GAL,0.7785417161795982,1.0,0.7844541571556619,0.819998437227949,0.8393621769520859,0.8084482926092257,0.8286416253557702,0.8408179164897284,0.8038382053502593,0.8465066519335336,0.8253552183245023,0.8777422718234458,0.8244205245687912,0.6942073119912451,0.5222275758086792,0.8247230891046323,0.5805588326783055,0.6158556163796314,0.7998786847692416,0.8039613713304856,0.5363666055932153,0.8461190548902261,0.8771900997007469,0.7873887101404937,0.8565985565256332,0.8363549864373763,0.7897068426890987,0.8388325253590747,0.8760008276159722,0.8269745853844661,0.8311241481173303,0.8525434130114686,0.8735760757910173
ROM,0.7958785488451628,0.7844541571556619,1.0,0.7969702412644253,0.6523867953544843,0.7371023874168958,0.6830311610235522,0.6926054714034051,0.7542510911552217,0.7088145941359247,0.7027548552246616,0.7339677243292221,0.7259757083867129,0.8194708213214668,0.7542519990132155,0.7378879748666475,0.8112428745956748,0.7346751021565877,0.8387806135745196,0.8801851577334968,0.7653267307356503,0.7222257946624785,0.7588782034757939,0.7271696203780105,0.7279585573951307,0.7129963262010524,0.7435403888411592,0.7861803991346804,0.8002468324246728,0.7302846197232892,0.6853826074447078,0.6686042611661213,0.7279272581786077
2CO,0.82410653199394,0.819998437227949,0.7969702412644253,1.0,0.7599992744911177,0.8349828094001499,0.8256669299961757,0.7930207509630698,0.7840043010453256,0.8089228071727839,0.7860176638666894,0.7531027903492549,0.8248373206399192,0.8065604961652861,0.6218175880134412,0.8060086466649572,0.6531789890113818,0.6882298256303561,0.8213064921900152,0.8459214432450596,0.6722010009933459,0.7655207682959786,0.8607467437933239,0.7318518255897166,0.7889245547728063,0.7594746359180908,0.7784869515058161,0.7761074010820079,0.8092873903864339,0.745222197045522,0.7380495236652178,0.8176453405607098,0.7667968577369761
PHM,0.738587871292266,0.8393621769520859,0.6523867953544843,0.7599992744911177,1.0,0.8280950532502054,0.8070489647957204,0.8138429075019227,0.8349045954804154,0.8157495898097897,0.8557221516553181,0.8176441917507737,0.8314510735765909,0.5757416358487693,0.40000081388722186,0.8378693450288439,0.46470217305381734,0.4467703043318916,0.735411326388387,0.7270769124850175,0.4262912205123768,0.7856154541280441,0.8149494609649285,0.8132232273653944,0.7959726341071646,0.7949580243194047,0.8128634660520604,0.8260431148869187,0.7969322868027784,0.7925418323536348,0.8233365044720582,0.8735793186588776,0.829710173994296
PHP,0.7193920316464604,0.8084482926092257,0.7371023874168958,0.8349828094001499,0.8280950532502054,1.0,0.8554166508520302,0.8039581703362633,0.874665453071805,0.8160409129558719,0.8348184481548856,0.828062341193669,0.8733735552076045,0.6940334551973494,0.4663545246390776,0.8881222290553188,0.537746733626677,0.4775869800939886,0.7916480094489649,0.8344794584740398,0.5241050708986807,0.8269036558485396,0.8486512221907535,0.8613733148500164,0.8085389419942898,0.8028248111541545,0.8038915176942989,0.8369986692241641,0.7520349769556625,0.8219958137879676,0.7904889002624065,0.8132375079453688,0.7797679769001029
TIT,0.7055371786182141,0.8286416253557702,0.6830311610235522,0.8256669299961757,0.8070489647957204,0.8554166508520302,1.0,0.7928154175835946,0.8315216114576861,0.8543165183849005,0.8083880377556497,0.8813589880023709,0.8002947368554899,0.5822299860274326,0.3813996351476897,0.8048109792284792,0.42084430341814605,0.44511482190208096,0.7160322763933145,0.7466970526826008,0.4390336513555866,0.8456888302795325,0.8348666927199273,0.8379993714311522,0.8167219505799439,0.8125601465823857,0.7897017991200352,0.8052344897774901,0.7421707392155419,0.8120141910506234,0.8333856752762957,0.8250996636492365,0.8201913904653354
COL,0.6885715244006272,0.8408179164897284,0.6926054714034051,0.7930207509630698,0.8138429075019227,0.8039581703362633,0.7928154175835946,1.0,0.8177746546115378,0.8108844800763618,0.8052626064921313,0.8036274962608994,0.8478649021811396,0.6665379576060892,0.43124147211167296,0.8153246690531457,0.5018406551740201,0.5074775871650816,0.778560588769345,0.7693410019968644,0.5187834426611343,0.8756721189387356,0.8549168758616437,0.815334497091768,0.8324360865171391,0.8762603084570898,0.8191738673229834,0.7734382022034102,0.8445800717602555,0.8397761412475179,0.8464248182283075,0.8466379469506775,0.8661199512862424
1TH,0.7302432349900232,0.8038382053502593,0.7542510911552217,0.7840043010453256,0.8349045954804154,0.874665453071805,0.8315216114576861,0.8177746546115378,1.0,0.802367897465215,0.8186885987765228,0.8384448225777266,0.8195332776907586,0.6373350468993517,0.49731169579155743,0.8326786961821318,0.5150447065328323,0.4350142477781523,0.7691963370625653,0.8236931287649064,0.4913007020275087,0.8491885610094847,0.7650195853650323,0.8574417599841396,0.7658367533846636,0.8099142454992032,0.8124602064090443,0.7890989013096129,0.8077769395946616,0.8129404702323711,0.8223888451202551,0.8196585367108289,0.8208715921791171
2TH,0.7640911294518095,0.8465066519335336,0.7088145941359247,0.8089228071727839,0.8157495898097897,0.8160409129558719,0.8543165183849005,0.8108844800763618,0.802367897465215,1.0,0.7849330771476614,0.8668959475243467,0.7940978673573431,0.6456661677604021,0.34554857186309046,0.8299646065625652,0.5142688153692838,0.4700056718072923,0.7585281794802387,0.7672611283949873,0.39875680330612995,0.8294149271635278,0.8830196033727793,0.8212921839950298,0.8581888411217532,0.8442955223596231,0.8348492397152281,0.8531540609406754,0.7639215842189323,0.8388523466743789,0.8558755216204844,0.8112600056411446,0.8176231737900755
