,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1CO,1.0,0.9378790808148434,0.9971842079233978,0.9858839403246867,0.8319449380324103,0.891300633361542,0.8425097765376518,0.8821565235493491,0.8862107733201088,0.8582436749465666,0.8866264845447038,0.8728368493393057,0.9176736534358113,0.9832113351303131,0.8438911436631554,0.9192380382134289,0.9118838720014181,0.8817792211358628,0.9952119475625325,0.9921691748808337,0.8814660287007939,0.8477435346828681,0.9173312078495126,0.8274525924791352,0.8893106661747724,0.8341749344969863,0.8789392430632588,0.9123204646568721,0.9871109934364135,0.8781939787685586,0.8772216327222845,0.910495588864746,0.8659801067205978
GAL,0.9378790808148434,1.0,0.9112165368160497,0.9818780476406441,0.9706183753100343,0.9923581953969102,0.9753686628283973,0.9876800304506681,0.9910185347731393,0.9815992343663953,0.9911600028595868,0.9870044382833789,0.9953839844612952,0.8588570847237061,0.606101865701919,0.9976413127137508,0.713930141713679,0.6635841255422139,0.9602092062949217,0.9668240487981615,0.6632333073084199,0.9787987757416587,0.9981510541788671,0.969558689589881,0.9897158570703697,0.9733056590328618,0.987163866471768,0.9974019878612496,0.9782521167516187,0.9886410548623152,0.9879787169309334,0.9959628895584843,0.9855951427614756
ROM,0.9971842079233978,0.9112165368160497,1.0,0.9723639157148387,0.7926273981313564,0.857350241930216,0.8015933470506854,0.848848488122951,0.8517898176099608,0.8212061219949925,0.8512306323299813,0.8357844126057016,0.88968703139687,0.9931872048528311,0.8798381062329134,0.8908225433402046,0.9379845829027849,0.9125721108560496,0.9885031040794091,0.9811810231533871,0.9123730409859829,0.8087083967762002,0.8869094886744624,0.7857740381724985,0.8540870668312002,0.7934435080602302,0.8460193215061705,0.8807510249645998,0.9750120456223472,0.8436521456747027,0.8429180619215191,0.8806668311838659,0.8285732550877792
2CO,0.9858839403246867,0.9818780476406441,0.9723639157148387,1.0,0.9125412559510349,0.9535921531471244,0.9179509192793659,0.9481291553228746,0.9503449556883838,0.9314843481390169,0.9495850652022509,0.940290187913064,0.9710267233377611,0.9393258882552753,0.744777610857461,0.9717206231374692,0.8323066221101123,0.7921737712544626,0.9951066704621047,0.995281589826097,0.7918999574874543,0.9232954201978686,0.9693678100425183,0.9076479985516173,0.9500401307335568,0.912767226693979,0.9463278477234627,0.9662287963862527,0.998963458906253,0.9451020610923108,0.9448457437903627,0.9663886462943715,0.9359590805782774
PHM,0.8319449380324103,0.9706183753100343,0.7926273981313564,0.9125412559510349,1.0,0.9921137290406068,0.9952549536242564,0.9945722046805712,0.9936389744305855,0.9986641043171874,0.9908493773352981,0.9939429487541169,0.9830388213556043,0.7178430919067567,0.409723579391834,0.979903040689281,0.5378140119363841,0.4763493400908862,0.8710218939717,0.8857283167211377,0.47631237572834867,0.9972298538082118,0.9789338452213298,0.9973498380871844,0.9886089620566576,0.9961336455059662,0.9939419187170602,0.9819877684284768,0.9040119598852754,0.9934698378407012,0.9949458366478734,0.9848517087770133,0.9944627082268716
PHP,0.891300633361542,0.9923581953969102,0.857350241930216,0.9535921531471244,0.9921137290406068,1.0,0.9941803060071469,0.9979484804164943,0.999902725297943,0.9971928813438999,0.9993432052974787,0.9988104963883573,0.9956743503727826,0.7939663528237767,0.5103788614543758,0.9948251376419207,0.6302456029170256,0.5736007206654159,0.9209114812553373,0.9343327390114968,0.5733297105133331,0.9952301776247257,0.9957578036900149,0.9915086676149477,0.9982056145293252,0.9918734334585859,0.9963071879496611,0.997414572894707,0.9467989564518908,0.9975800104600621,0.9979385768510656,0.9968506312018487,0.997485924404698
TIT,0.8425097765376518,0.9753686628283973,0.8015933470506854,0.9179509192793659,0.9952549536242564,0.9941803060071469,1.0,0.990948405211965,0.9948652288894518,0.9964000615881495,0.9959022719340191,0.9980706962637983,0.9803767320310942,0.7306714608806593,0.4226777839304572,0.980244980599138,0.5516480077247037,0.4905123701820453,0.8761246146112267,0.8963424507529073,0.49017311456558704,0.9979047900629769,0.9845225893852079,0.9988133293020145,0.9949688593509819,0.9976123226218321,0.9887126830085247,0.9879779560128067,0.9090672945861954,0.9928172258711241,0.9926807344701457,0.9845360822113357,0.9973355757175763
COL,0.8821565235493491,0.9876800304506681,0.848848488122951,0.9481291553228746,0.9945722046805712,0.9979484804164943,0.990948405211965,1.0,0.9982791210136572,0.9980165191973117,0.9954135460779927,0.9955935600709305,0.9963255260640229,0.7830548589322419,0.4984575593723697,0.9925512720575331,0.6182102507019483,0.5612989151478158,0.9149009968013674,0.92603828017034,0.5611220283505831,0.9934014866582476,0.9905913446511919,0.9896764698721283,0.9935969330946836,0.9896732196464008,0.9981805045028863,0.9921940942153179,0.940940900945884,0.9959278722736108,0.9977083788201286,0.9949314962383125,0.9945310655979394
1TH,0.8862107733201088,0.9910185347731393,0.8517898176099608,0.9503449556883838,0.9936389744305855,0.999902725297943,0.9948652288894518,0.9982791210136572,1.0,0.9980676580743306,0.9991410363880567,0.9989644331164347,0.9951861120843352,0.7871718914518553,0.5011132843819309,0.9942450892625856,0.621851579254718,0.5646519604453811,0.9168560202293287,0.930199364066661,0.5644361763512435,0.996250625917258,0.994890517703935,0.992825749203904,0.9978914519430641,0.993149049779216,0.9969284819685852,0.9966375119202199,0.9434507601882012,0.9980849235682255,0.9985024237104433,0.9965577928325382,0.9979440911068241
2TH,0.8582436749465666,0.9815992343663953,0.8212061219949925,0.9314843481390169,0.9986641043171874,0.9971928813438999,0.9964000615881495,0.9980165191973117,0.9980676580743306,1.0,0.9960832237853722,0.9976664689905251,0.9902968048065488,0.7508903020330117,0.45250017661160136,0.9882122408432696,0.5771966807730349,0.5177126120361292,0.8937003383000097,0.9073186215849822,0.5175809763725356,0.9982477027592072,0.9879056589128815,0.996545477489235,0.9940854872142237,0.9963230330340072,0.9970739838159116,0.9902280286557896,0.9237774327967954,0.9970825883225078,0.9981254029455583,0.9917335355921315,0.9976355551570796
