,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1CO,1.0,0.9379976085950603,0.996807731362397,0.9843283121596338,0.8271278500333473,0.8908924984602489,0.8437666358072673,0.8743969232368213,0.8854283507665915,0.855248779577511,0.8874769831455465,0.8737770721860578,0.9091258158206922,0.9831490615129423,0.8446255045506852,0.9162588998694429,0.9119643352197909,0.8818324247755845,0.9925277433503026,0.9921879283144379,0.8816546616989587,0.8477961954394373,0.917968186328708,0.8282383077324549,0.8901126906518426,0.8355399141969375,0.8696383430480966,0.9128934727291435,0.9851767429359276,0.8748624417907785,0.8723745266288155,0.9055110470150384,0.8669118009787601
GAL,0.9379976085950603,1.0,0.9124459601765957,0.9818734093427274,0.9659683402048878,0.9920377553156338,0.9752175485407798,0.9809820810003512,0.990428811542494,0.9789608405856944,0.9910847287515882,0.9871173494146259,0.988868694094504,0.8588749906672782,0.6084210359296478,0.9957017954767223,0.71459947876325,0.6642661791064872,0.9602079399149103,0.9665916584218994,0.6642177399494358,0.9783960410505628,0.9978470868826206,0.9695405465861275,0.9892176729487623,0.9736625491284868,0.9790947908060177,0.996929140566264,0.9781434645661076,0.9856175140398955,0.9838487174153218,0.9920727754101218,0.9857579093359631
ROM,0.996807731362397,0.9124459601765957,1.0,0.972369477113678,0.7931186966001029,0.8592941042693417,0.8034728641442477,0.846430620487343,0.8536720457071713,0.8223985057699623,0.852910953642652,0.8378826816956398,0.8861730121605346,0.9921584514241736,0.8796788669754364,0.8909124824084376,0.9368618010557243,0.9113404999194851,0.9876047056524432,0.9809039707533596,0.9113602557556725,0.8110693325390793,0.8879734031156927,0.7884754515841408,0.8551655473360585,0.7962081834957055,0.8425327189890309,0.8816708411164755,0.9746777418200429,0.8436307556109494,0.8423373753209267,0.8792319282521963,0.830863057749025
2CO,0.9843283121596338,0.9818734093427274,0.972369477113678,1.0,0.9124576812962006,0.954596479658811,0.9176507232015909,0.9457278285166976,0.9513895807889119,0.9321405670815556,0.9494163958167378,0.9406661558748074,0.9680737572761856,0.9371175401224497,0.7448580763639324,0.9715169060526716,0.8305158361433418,0.7903671109491149,0.9949912517075049,0.9935021187187844,0.7904401812193308,0.9242835324899086,0.9685252526898932,0.9087035872438466,0.9489280089510159,0.9137807195490416,0.942896073061361,0.9651277491174205,0.9987709681867071,0.944210830208897,0.9438080849061798,0.9646174278946774,0.9366024155908096
PHM,0.8271278500333473,0.9659683402048878,0.7931186966001029,0.9124576812962006,1.0,0.9895464606983526,0.9862258820799992,0.9944052873572974,0.9916281520864929,0.9983353112637883,0.9835181684288705,0.9875174483024639,0.9838909692353665,0.7132875914945848,0.4132899114012868,0.9792089442221275,0.5363046781613667,0.47550138109191886,0.8736168565752074,0.8792172471191767,0.4761431438767486,0.9932360935555352,0.9709759484017265,0.9920736094214317,0.9790955342570267,0.9899657392436172,0.9937924028339189,0.9733853792074996,0.9043849610813135,0.9906785195341211,0.9939492337770925,0.9832138754999358,0.9886125162084145
PHP,0.8908924984602489,0.9920377553156338,0.8592941042693417,0.954596479658811,0.9895464606983526,1.0,0.992477390728135,0.9939125826368127,0.9998642788090306,0.9960683236199136,0.9981939377544722,0.9980431685533717,0.9922172722765225,0.7934202416369197,0.513516149449941,0.994302829425382,0.6308422977590572,0.5743190812629039,0.9227669142875324,0.9332301463618421,0.5744712215090207,0.9947983584981035,0.9942798856764961,0.9909696787286854,0.9961248962977529,0.9913441725977353,0.9913986232536324,0.9956398861396571,0.9479221164746411,0.9956575459364034,0.9956778478375258,0.9946771691059374,0.9969304202794607
TIT,0.8437666358072673,0.9752175485407798,0.8034728641442477,0.9176507232015909,0.9862258820799992,0.992477390728135,1.0,0.9801263198254169,0.9926131842910486,0.9905534271256781,0.9958575704780807,0.9978749523673114,0.9704993793649543,0.7322050580788356,0.42622759931523857,0.976672234692366,0.5538643777526315,0.49272754892020604,0.8759803011896693,0.8972057845830027,0.49264353282294665,0.9962075427849233,0.9846576790142418,0.9977900078459143,0.994994826691622,0.9973482462456209,0.9764249668066757,0.9880500457095873,0.9088264472190473,0.9878917296608037,0.9857068481391058,0.9787442765819385,0.9970198644467683
COL,0.8743969232368213,0.9809820810003512,0.846430620487343,0.9457278285166976,0.9944052873572974,0.9939125826368127,0.9801263198254169,1.0,0.9948436506658747,0.9971853583919082,0.9859971262538851,0.9873038274258863,0.9961467179165447,0.7752962707306206,0.4986159667967565,0.9896481590709486,0.6132780720645731,0.5571098133377226,0.9144806696454449,0.9165122723252119,0.5575607268162934,0.9873215796132455,0.9804003152413937,0.9823530358215621,0.9818707004916329,0.9821984180850543,0.9969792836741421,0.9811132253973823,0.9383696069997007,0.9903859377121812,0.9946502504471728,0.9903944810821049,0.9868816403931118
1TH,0.8854283507665915,0.990428811542494,0.8536720457071713,0.9513895807889119,0.9916281520864929,0.9998642788090306,0.9926131842910486,0.9948436506658747,1.0,0.9972716835167326,0.9975693064112376,0.9978347639095382,0.9924379993582847,0.7862438766456451,0.5042850314535176,0.9940048608474513,0.6222297646570493,0.5651832418414472,0.9189827087390061,0.9286649064563768,0.5654265713599516,0.9957741884365809,0.992925095107744,0.9921128560663601,0.9952403910495146,0.9922432725306514,0.9928573767001596,0.994365551950277,0.9447057365958949,0.9964814852265246,0.9967581533238554,0.9948386632395102,0.9970720265052397
2TH,0.855248779577511,0.9789608405856944,0.8223985057699623,0.9321405670815556,0.9983353112637883,0.9960683236199136,0.9905534271256781,0.9971853583919082,0.9972716835167326,1.0,0.9914415131089093,0.9937729186115305,0.9900682679831264,0.747880770307514,0.4556609644832412,0.9878573868304408,0.5763347399343393,0.5172806685812292,0.8961698619626446,0.9030141831427171,0.5177183760052905,0.9958718114838357,0.9827273603314792,0.9933478203418441,0.9877216319516421,0.9927816738083335,0.9955751291337727,0.9844773965649187,0.9245988838395056,0.9947075278681127,0.9968891538462967,0.9899754184012768,0.9941785908714776
