,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1CO,1.0,0.1399631904566316,-0.006529607352042804,0.1880852591292659,0.3923941374610468,0.033729141326038714,0.14745901025028796,-0.039643713694789445,0.1107750070849498,0.40526864287596776,0.34885310979799844,0.15033968266297923,0.1487677746144791,0.19404453165933644,0.021795777703564334,0.0759326019123316,0.45937012849568154,0.0690351552948626,-0.003618385022631593,0.03100477313552044,-0.07957345872837596,0.1041312095794696,0.2041238467400833,0.019941664417057664,0.18365553450045705,0.14191866288514077,0.24978195369619088,0.35582034842596655,0.08574116096576172,0.19010644021604892,0.17347638438669538,0.40507781550207705,-0.08706030975518458
GAL,0.1399631904566316,1.0,0.2677731418711477,0.17228257955437404,0.34134416671184453,0.07487990619784823,0.24272743028339594,0.2930266837355849,0.058927958296552396,0.3223987227905136,0.162665079523321,0.4397943137352099,0.1788193878787087,0.0349413588460771,0.16770202854913308,0.1456231439345034,0.041121528817958525,0.4188512810149019,0.15791155364628948,0.1540831518612441,0.02041863645143302,0.318106468306554,0.3955948981356983,0.05875599132148171,0.3278303241495925,0.28574697704895874,0.04536089709359581,0.20813300006479585,0.46745055694234966,0.20005361087605153,0.2289402749030286,0.30363594640554836,0.42422961329906317
ROM,-0.006529607352042804,0.2677731418711477,1.0,0.09500588278378141,0.08259252957292604,0.24080536371106176,0.19371787426880305,0.07780141010492825,0.34909683852083206,0.24769385257670073,0.09555796859978478,0.31020322196949934,0.08864941506497372,0.1324541824177011,0.25277000466602995,0.12360797257690011,0.31280489045209237,0.03245532230963116,0.2458370662388129,0.4782383021053091,0.18477380540435243,0.3578275366560575,0.23822856661931915,0.47172281664889715,0.21470202056304488,0.36948016850461873,0.34842027995559166,0.40051092521183085,0.10322577569164969,0.27457865725679387,0.05522138333356613,-0.1726286060313773,0.3074017587636097
2CO,0.1880852591292659,0.17228257955437404,0.09500588278378141,1.0,0.14677970076983365,0.3530254796459287,0.45804820325633555,0.18434618802266148,0.1107959114498538,0.3125091505220082,0.13253117810788925,0.0011122993135379844,0.2554832053439596,0.2913936241292425,0.1281023528399775,0.143935561406081,-0.05072517839489432,0.2851735068911385,0.12684719575374054,0.2613348706921267,0.20343487151549305,0.1270236802487993,0.43205024438431283,0.02065892515556686,0.1521914889090086,0.1381906084964593,0.12332745469366595,0.023405663177891917,0.052004460629336474,-0.04899141782761479,-0.0843448095700508,0.23345578164669573,0.08497650150765314
PHM,0.3923941374610468,0.34134416671184453,0.08259252957292604,0.14677970076983365,1.0,0.18633800616263135,0.11079929308400158,0.0919292005505319,0.21101499896118425,0.08573004665372755,0.3603116786268545,0.15149458790716716,0.219576949024634,0.03298057839988108,0.3305905349907823,0.2731369109084239,0.1772303439168647,0.32911502672684256,0.17273425077141172,0.1315478314282052,0.22198492153264163,-0.036659907718908896,0.20821328810696116,0.10900174967767917,0.0853852907132844,0.027491094962679097,0.08895438966643311,0.25604993202960064,0.362881636451861,0.006672953827646377,0.14329967844706176,0.4389482066637749,0.20598794467860834
PHP,0.033729141326038714,0.07487990619784823,0.24080536371106176,0.3530254796459287,0.18633800616263135,1.0,0.3124237477283408,0.05118703573258987,0.3739612128976312,0.0981670009386228,0.18481159263962105,0.15040179742709314,0.40335077345203485,0.2970520520540265,0.2646067069170062,0.4645596417754501,0.1616482140923516,0.08649337523806228,0.26086166744869765,0.44241240204376864,0.31689978657426643,0.15681008561094062,0.2706428439550759,0.3447978987900754,0.06477450240028892,0.05016015149986017,0.060567881358318754,0.2080305130898564,-0.035373543669476565,0.13252004578683996,-0.025717240015680654,0.09262747966772568,-0.08727249244524243
TIT,0.14745901025028796,0.24272743028339594,0.19371787426880305,0.45804820325633555,0.11079929308400158,0.3124237477283408,1.0,0.06753607030589162,0.19387370681546467,0.32455134629886084,0.0586471210400481,0.4159608995807242,0.14049328003349182,-0.0241435393972593,0.18720403286971848,0.12683218610584757,-0.12065278505678223,0.24520269419100382,0.07532845266707205,0.1411222156182805,0.21409722358030694,0.2488456037899306,0.23515164848158332,0.2021761627956252,0.1035215887391547,0.07433582043822917,0.06660911961219884,0.07367727543851277,0.07540033027563059,0.12149494333508717,0.24060719751944634,0.22481981015058156,0.11393441927913252
COL,-0.039643713694789445,0.2930266837355849,0.07780141010492825,0.18434618802266148,0.0919292005505319,0.05118703573258987,0.06753607030589162,1.0,0.1154485305914132,0.06683722382108076,0.10255660897791231,0.08612813151212664,0.255155998188013,0.24692813147019277,0.15496617247485336,0.1238723297559285,0.0640882189436203,0.3151095820388078,0.23271423575206762,0.20094025360421489,0.36788166775883957,0.4419948830582937,0.37518148635127824,0.16298792231042974,0.26131489607386993,0.4673110218167506,0.11040444514273236,-0.0323222765850609,0.47255248988903437,0.2505217990877209,0.26075636822588716,0.2824288738698064,0.3986797720009765
1TH,0.1107750070849498,0.058927958296552396,0.34909683852083206,0.1107959114498538,0.21101499896118425,0.3739612128976312,0.19387370681546467,0.1154485305914132,1.0,0.024325619175655233,0.10774907908534163,0.20407695637997125,0.13190001715676533,0.043229090790886354,0.45608988735797196,0.18785639771435758,0.08308487158984126,-0.0894131359863749,0.1629836455506919,0.4078295838124165,0.18936250742554897,0.26441838296576115,-0.1408247483491225,0.32098356323394533,-0.14368606778940318,0.08300926245360035,0.09605780935900923,-0.02508417053628262,0.2557843926786304,0.08319075000593329,0.12836501962509023,0.12304692520152416,0.11848623030669042
2TH,0.40526864287596776,0.3223987227905136,0.24769385257670073,0.3125091505220082,0.08573004665372755,0.0981670009386228,0.32455134629886084,0.06683722382108076,0.024325619175655233,1.0,-0.02945090145415047,0.3688690668292556,0.009806839318779237,0.24260115467649887,-0.1089671632592239,0.1992738937355412,0.2650770834711252,0.27872530875642276,0.19963055660988396,0.23436772276309542,-0.08120155205666352,0.16973063172499797,0.4973008130717324,0.14128151126417865,0.3568839012181846,0.2586962356600379,0.1934760123948643,0.3428852610197329,0.1174739919002787,0.2222265760308201,0.2950540758751521,0.10130224884459316,0.11969288606315111
