,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
GAL,0.7430766414416464,,0.5825649309244486,0.6265948233163351,-0.24570249678553155,-0.5664713842161491,-0.13678059195757575,-0.5865777133634237,-0.1917528244373596,-0.30701692936319674,0.017201163342805387,-0.13025900299490528,-0.4806728353901205
ROM,0.8339562673105736,0.5825649309244486,,0.7159613567262345,-0.7092087182826304,-0.10673352276361503,-0.6312456815585614,-0.19955624107523612,0.30723126786984656,-0.1916762511715679,-0.38587935632221887,-0.4173518251972436,0.20311249105164997
2CO,0.8023336981821728,0.6265948233163351,0.7159613567262345,,-0.5352644360057701,-0.341173454595039,-0.5053196811747277,-0.21461007522233416,-0.021838888472215524,-0.2852085388305845,-0.25612012608108453,-0.2661318320052083,0.07577244904542318
PHM,-0.6385329137846745,-0.24570249678553155,-0.7092087182826304,-0.5352644360057701,,-0.32386212247405294,0.26067343513018504,0.09474250718971833,-0.23998971218658166,0.41620323887540067,-0.054866099620891326,-0.15938130162543707,-0.28044334542459615
PHP,-0.3511822533304987,-0.5664713842161491,-0.10673352276361503,-0.341173454595039,-0.32386212247405294,,-0.09169589715589077,0.3292427321374516,0.4146000142806588,-0.039078068129964914,0.01050596533632443,0.30045269941099817,0.5416670874479681
TIT,-0.29543522808834305,-0.13678059195757575,-0.6312456815585614,-0.5053196811747277,0.26067343513018504,-0.09169589715589077,,-0.35612688522117547,-0.5315066227029444,-0.2801687785527688,0.8168694880760873,0.7869067410706905,-0.6476498686441113
COL,-0.4209835053729444,-0.5865777133634237,-0.19955624107523612,-0.21461007522233416,0.09474250718971833,0.3292427321374516,-0.35612688522117547,,0.17994808391173084,0.3121445962447357,-0.3383715984714383,-0.37551180257862604,0.5959892899311064
1TH,-0.007801488559304964,-0.1917528244373596,0.30723126786984656,-0.021838888472215524,-0.23998971218658166,0.4146000142806588,-0.5315066227029444,0.17994808391173084,,0.36463171374759734,-0.5889247867045242,-0.37328919020802753,0.636818806926347
2TH,-0.5538719606098612,-0.30701692936319674,-0.1916762511715679,-0.2852085388305845,0.41620323887540067,-0.039078068129964914,-0.2801687785527688,0.3121445962447357,0.36463171374759734,,-0.6228129460755796,-0.4221789639483914,0.19750209549296452
1TI,0.008563082137902278,0.017201163342805387,-0.38587935632221887,-0.25612012608108453,-0.054866099620891326,0.01050596533632443,0.8168694880760873,-0.3383715984714383,-0.5889247867045242,-0.6228129460755796,,0.8295653312482955,-0.5920880477636897
2TI,-0.15402323799845308,-0.13025900299490528,-0.4173518251972436,-0.2661318320052083,-0.15938130162543707,0.30045269941099817,0.7869067410706905,-0.37551180257862604,-0.37328919020802753,-0.4221789639483914,0.8295653312482955,,-0.38859491527839957
EPH,-0.11840149355569587,-0.4806728353901205,0.20311249105164997,0.07577244904542318,-0.28044334542459615,0.5416670874479681,-0.6476498686441113,0.5959892899311064,0.636818806926347,0.19750209549296452,-0.5920880477636897,-0.38859491527839957,
1CO,,0.7430766414416464,0.8339562673105736,0.8023336981821728,-0.6385329137846745,-0.3511822533304987,-0.29543522808834305,-0.4209835053729444,-0.007801488559304964,-0.5538719606098612,0.008563082137902278,-0.15402323799845308,-0.11840149355569587
