,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1CO,1.0,0.9390282652195454,0.9946124098017424,0.9757920621102476,0.8076950201373514,0.8895803763974462,0.8518794144563236,0.8408643747631868,0.8822968607723651,0.8423279670600566,0.8929868992299759,0.8799025851072302,0.8716806436403479,0.9827920484836826,0.84949310217313,0.9018787095887117,0.9125928866163758,0.882312186587797,0.978115312452159,0.9923096233379736,0.8830044218160549,0.8492447091727321,0.9220860311862141,0.8337298482753802,0.8952993941289661,0.8443578817607614,0.8316206644380971,0.9165989237543468,0.9746610219862408,0.859287070145047,0.8509500526717338,0.8820070849546853,0.8730348686981572
GAL,0.9390282652195454,1.0,0.9200511359180443,0.9820758358641807,0.946498818339736,0.9904896856685806,0.9744707104810633,0.952188316337209,0.9875803574958071,0.9669915439378707,0.9906791595906301,0.9878303867655063,0.9611784759952744,0.85950710725368,0.6236184300802596,0.9862937662469538,0.7194413677959758,0.6692249944583227,0.9608474341393788,0.965399665753721,0.67106879564496,0.976348432787703,0.9960980956226921,0.9695222001375292,0.9863357448159735,0.9758795465359225,0.9466572105179932,0.9941288569669506,0.9778631396390665,0.9708072852526756,0.9653286995404108,0.9736416067508997,0.9867598864968693
ROM,0.9946124098017424,0.9200511359180443,1.0,0.9727461132055916,0.801072347718615,0.871394938709337,0.8154361216334022,0.8401261596623202,0.8655661145121049,0.8319595094200796,0.8634338899175095,0.8509214595050759,0.8743075249363532,0.9860031192520086,0.8790751212968357,0.8932836303898948,0.9301809802775454,0.9039995458978676,0.983126471870258,0.9793226583586102,0.9053943357351484,0.8256461721456783,0.8947424162602574,0.8050536016952565,0.862127519523236,0.8133781840432486,0.8333022602148952,0.8875399214071813,0.9731824084039995,0.8458719492407372,0.8432538867608885,0.8745257425242327,0.8450305135049416
2CO,0.9757920621102476,0.9820758358641807,0.9727461132055916,1.0,0.9155934629017699,0.9604650250620405,0.9166192621575534,0.9378257166618028,0.9575173827834798,0.937212120787571,0.948905354783134,0.9432840964857648,0.9574271955469602,0.9248476735029723,0.7465876441883005,0.9710673902451508,0.8208460745990165,0.7806103598669913,0.9944381151613891,0.98356924594198,0.7828017612348118,0.9300572653517074,0.9641173240701089,0.9149748735678891,0.9430211338367579,0.9202220047093468,0.9321886581478317,0.9591494616678962,0.9976658964530126,0.9403524563152742,0.940682360020294,0.9567127067220871,0.9407120403469997
PHM,0.8076950201373514,0.946498818339736,0.801072347718615,0.9155934629017699,1.0,0.9793794152129934,0.9443468422823826,0.9936724168850941,0.983828088647775,0.9972245684612071,0.9503392921583457,0.9589117584714311,0.9880253086600963,0.6950209734270603,0.43789926541437213,0.976920568527161,0.5337291933014401,0.47616209965090994,0.8895708029881941,0.8507155397976445,0.4805733360189938,0.9755387574312865,0.9347172956622182,0.9683622149534807,0.9346260630821224,0.9627479842975075,0.9936205900038724,0.9335988979065314,0.9094602563545885,0.9773806419930295,0.9891719325202345,0.975422092302507,0.9628254795183302
PHP,0.8895803763974462,0.9904896856685806,0.871394938709337,0.9604650250620405,0.9793794152129934,1.0,0.9832083160424098,0.9772552313002024,0.9996821162878105,0.991160763770803,0.9919858096898823,0.9939681525604199,0.9786223334417056,0.7915539157499186,0.5339849603831415,0.9919040279557686,0.6359470310975508,0.5801591738600776,0.9334504314609621,0.9276872703880774,0.5828824779692446,0.9922956307376568,0.9862850038732879,0.9878891182446197,0.9846366997246551,0.9886797216528028,0.9729701631005646,0.985856094202536,0.9544285982646482,0.9859374260537196,0.9857561728518957,0.9843755496484194,0.9940087802687868
TIT,0.8518794144563236,0.9744707104810633,0.8154361216334022,0.9166192621575534,0.9443468422823826,0.9832083160424098,1.0,0.9304744124380646,0.9805768889738051,0.9615318713282138,0.9956148871235194,0.9967479762694881,0.9260252651152053,0.7422791323332766,0.44944715083008935,0.9587535381825288,0.5684845752644634,0.5073889271239603,0.8765362810296662,0.9027737633866102,0.5089402721545432,0.9869702715725175,0.9855261461260753,0.9920377826151356,0.9951646610653049,0.9957982645761401,0.9233982056136791,0.9885143888478515,0.9083958875285381,0.9632456896099933,0.9526690694403592,0.9507261358399507,0.9952188763296831
COL,0.8408643747631868,0.952188316337209,0.8401261596623202,0.9378257166618028,0.9936724168850941,0.9772552313002024,0.9304744124380646,1.0,0.9807111886232597,0.9940437010203271,0.9434040989675876,0.9504031790400672,0.9953040784388086,0.7414353199999005,0.5056847410566399,0.9769031447044323,0.5935368979821277,0.5409664144801429,0.9156010096315331,0.8736062534688839,0.5448532813877266,0.9599574100513375,0.9340067448835002,0.9492316736523888,0.9274288811991742,0.9496266197753566,0.9916697696680831,0.9298768262232088,0.9290954127773663,0.9640554594074627,0.9801620660065935,0.9688156912983845,0.9530971695689654
1TH,0.8822968607723651,0.9875803574958071,0.8655661145121049,0.9575173827834798,0.983828088647775,0.9996821162878105,0.9805768889738051,0.9807111886232597,1.0,0.9938073255671686,0.9892731828595082,0.9919730422956783,0.9818949687700448,0.7825099404641902,0.5250609285901173,0.9929519097579413,0.6263199810374502,0.5701660411970847,0.9310640535257664,0.9210118666538287,0.5731732911933333,0.993078417022411,0.9825052739553278,0.9882041678110559,0.9808906329630643,0.9876897506192671,0.9779402650964562,0.9821182003939558,0.9519406518774132,0.9882743068779721,0.9891587401257983,0.9866541891367553,0.9925940280625613
2TH,0.8423279670600566,0.9669915439378707,0.8319595094200796,0.937212120787571,0.9972245684612071,0.991160763770803,0.9615318713282138,0.9940437010203271,0.9938073255671686,1.0,0.9687991148397637,0.975067068641611,0.9899195102369046,0.73494035588651,0.4771386921349743,0.9861360993385748,0.5751855488382596,0.5184001326184019,0.9103212635206758,0.8826940104438483,0.5221115634171002,0.9841030117447656,0.957353673235813,0.9775644105463455,0.955835912161083,0.9760423874034003,0.9904530040256381,0.9558419421661182,0.9302603211068071,0.982297704477959,0.9907286999119084,0.98091324721142,0.9776948698476846
