,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1CO,1.0,0.9378404358119103,0.9973180024903198,0.9864430862458661,0.8337774107971734,0.891457508687026,0.8420710560395399,0.8850835141485676,0.8865051830061006,0.8593665827989454,0.8863298112996861,0.8725092331952284,0.9208912360282923,0.9832334985247193,0.8436360227076496,0.9203342696216882,0.9118568127625807,0.8817619254728597,0.996181102009162,0.9921626350887628,0.8814014274009188,0.8477372652260946,0.9171089252900894,0.8271828107828932,0.8890308067905756,0.833698556052461,0.882489708142033,0.9121205167717168,0.9878075308887575,0.87942728857427,0.8790367978738238,0.9123410551530409,0.8656560168180507
GAL,0.9378404358119103,1.0,0.9107840109964721,0.9818823137378192,0.9723811841939263,0.992475920467156,0.9754237746452151,0.9902124709248292,0.9912353646433039,0.982582917987194,0.991187120897386,0.9869648709185087,0.9978520804141744,0.8588560184654834,0.6052945187824368,0.9983554271512315,0.7137016463006639,0.6633515017762307,0.9602172898507076,0.9669083318174022,0.6628945486118277,0.9789455565646515,0.9982593636838564,0.9695661230674487,0.9898931836434681,0.9731802004406522,0.9902574485561186,0.9975696413361136,0.9782948601807183,0.9897534618913932,0.9895243317969572,0.9974038469322886,0.9855378270617152
ROM,0.9973180024903198,0.9107840109964721,1.0,0.9723658175042369,0.7925230047494211,0.8566672884645228,0.8009355980206232,0.849820678639483,0.8511306394260392,0.8208149809178888,0.8506408316333802,0.8350468458701941,0.8910615583748333,0.9935511486606193,0.8798978958948622,0.8908132456178003,0.9383821182902276,0.9130080317999054,0.9888317200316752,0.9812798342968185,0.9127322157970951,0.8078775351953774,0.8865371427092378,0.7848221937892593,0.853710632722114,0.7924715869014589,0.847427363540108,0.8804292829733142,0.9751361905853242,0.8436895908332629,0.8431823298866383,0.881225409901689,0.8277677057876828
2CO,0.9864430862458661,0.9818823137378192,0.9723658175042369,1.0,0.9126242715367494,0.9532349094868442,0.9180655420860325,0.9490748662913127,0.9499736745159987,0.9312678493337682,0.9496503254234349,0.9401612121590999,0.9721757216947298,0.9401177548164906,0.7447622558175346,0.9718027524834137,0.8329515905993331,0.7928243791900724,0.9951492278653367,0.99591939104631,0.79242823350964,0.9229439431916087,0.9696730877797868,0.907273743429663,0.9504420114336924,0.9124126201416275,0.9476947239027591,0.9666253350605789,0.99903216775686,0.9454370554387422,0.9452562391793035,0.9670521402457171,0.9357342506611411
PHM,0.8337774107971734,0.9723811841939263,0.7925230047494211,0.9126242715367494,1.0,0.9930976551364428,0.9986178529079626,0.9946354280361187,0.9944127632760396,0.9987939183530389,0.9935922417272222,0.9963542153186902,0.9827233196072539,0.7195759440155632,0.4085007782378342,0.9801772607972262,0.5384326379530311,0.47672367409890015,0.8701128276354216,0.8881756273589233,0.4764423254051509,0.998732473564096,0.9819069274324069,0.9993287246871962,0.9921473204267314,0.9984516575872528,0.9940080290390171,0.9851935968624853,0.9039226202408535,0.9945072085726759,0.995315840968029,0.9854607100511568,0.9966622213392548
PHP,0.891457508687026,0.992475920467156,0.8566672884645228,0.9532349094868442,0.9930976551364428,1.0,0.9947934937541177,0.9994875215952165,0.9999169320666099,0.9976155951061202,0.999757695392974,0.9990880910391022,0.9970030464949766,0.7941747137221054,0.5092859449909237,0.9950195084780729,0.6300505222674,0.5733625494434836,0.920249552792294,0.9347347345650142,0.5729421579275389,0.9953840267712715,0.996290573758893,0.9917012108717549,0.9989529970194267,0.9920665765617882,0.998213732809318,0.9980522797940636,0.9463987572566085,0.9982840407028131,0.9987891437872262,0.9976567101029123,0.9976872519928109
TIT,0.8420710560395399,0.9754237746452151,0.8009355980206232,0.9180655420860325,0.9986178529079626,0.9947934937541177,1.0,0.9949918801366342,0.9956790483186602,0.9985458855836,0.9959183382025816,0.9981404155305329,0.9840790277327037,0.7301378182416505,0.42144160879294484,0.9815519565625157,0.5508773414057138,0.48974256909318914,0.8761917324689381,0.896041049072203,0.48931411365454913,0.9985159431873134,0.9844754005925286,0.9991795745970712,0.9949598170526563,0.9977060790301057,0.9933640205590982,0.9879527828786917,0.9091637364682984,0.9946213667761094,0.9952645268124211,0.9866720134623762,0.9974482165535167
COL,0.8850835141485676,0.9902124709248292,0.849820678639483,0.9490748662913127,0.9946354280361187,0.9994875215952165,0.9949918801366342,1.0,0.9995907821634845,0.9983395979511818,0.9989416521832784,0.9987087832554864,0.9963921902983084,0.7859752068974909,0.4984829208577453,0.9936484396768863,0.6200898361778309,0.5629032108209193,0.9151060320163119,0.9296079504156716,0.5624995089922286,0.995685235312554,0.9944044881808539,0.992423383802331,0.9979690217263346,0.9924922629618866,0.9986353336270735,0.9963291417662027,0.9419419481892922,0.9979896377566134,0.9988470276417558,0.9966191922647789,0.9974101088702191
1TH,0.8865051830061006,0.9912353646433039,0.8511306394260392,0.9499736745159987,0.9944127632760396,0.9999169320666099,0.9956790483186602,0.9995907821634845,1.0,0.9983672009921881,0.9997103891384701,0.9993749171870112,0.9962472910843635,0.7875204351441812,0.5000093471742494,0.9943352233283234,0.6217373361251027,0.5644831313932231,0.9160952572680334,0.9307599228352484,0.5641049638074664,0.9964211907054132,0.9956017884072773,0.9930824636054327,0.9988473587570785,0.9934798921132809,0.998517098921011,0.9974574128198942,0.9430031566331689,0.9986708854832004,0.999159888816089,0.9971951131438166,0.9982615849142702
2TH,0.8593665827989454,0.982582917987194,0.8208149809178888,0.9312678493337682,0.9987939183530389,0.9976155951061202,0.9985458855836,0.9983395979511818,0.9983672009921881,1.0,0.9977924354584121,0.9991042145488117,0.9903979144413565,0.7520182558984763,0.45141018934485927,0.9883434120649999,0.5775500238296601,0.5179096370442785,0.8928188770079791,0.908911104040293,0.5175746527923868,0.9991214781048331,0.98981051131199,0.997721700333545,0.9964172730636323,0.9976342818923366,0.997668069205954,0.992337676296818,0.9234972914512745,0.9979473366724948,0.998580275523506,0.9923755781563018,0.9989139670109846
1TI,0.8863298112996861,0.991187120897386,0.8506408316333802,0.9496503254234349,0.9935922417272222,0.999757695392974,0.9959183382025816,0.9989416521832784,0.9997103891384701,0.9977924354584121,1.0,0.999552925703535,0.9955586807092037,0.7873012453080928,0.49931501883462576,0.9941987067344082,0.6207045407650734,0.5638202966132841,0.9158807891410372,0.9304745878061698,0.5633109819100884,0.9962287935451323,0.9959295440439762,0.9927633949238854,0.9987237810112862,0.9931293774379546,0.9979123392720752,0.9977681425665608,0.9429260179445188,0.9983857797096403,0.9987220930075322,0.9968748300922436,0.9984063462994375
2TI,0.8725092331952284,0.9869648709185087,0.8350468458701941,0.9401612121590999,0.9963542153186902,0.9990880910391022,0.9981404155305329,0.9987087832554864,0.9993749171870112,0.9991042145488117,0.999552925703535,1.0,0.9928482367181763,0.7690888256355771,0.47402939229686863,0.9911088973836527,0.5981519049102596,0.5398021320388892,0.9037258956414088,0.9198602678410891,0.539332695203961,0.998020874206686,0.9931159469709091,0.9958601433428433,0.998343775095828,0.9956924871386159,0.9975720478582039,0.9954615478201236,0.932750776687443,0.9982309342600258,0.9986795720631277,0.9945811003043273,0.999080800873847
EPH,0.9208912360282923,0.9978520804141744,0.8910615583748333,0.9721757216947298,0.9827233196072539,0.9970030464949766,0.9840790277327037,0.9963921902983084,0.9962472910843635,0.9903979144413565,0.9955586807092037,0.9928482367181763,1.0,0.8348853741887639,0.5693004794445172,0.9980023735823367,0.6830375581719853,0.6298637383624924,0.9458314791091429,0.9563103629652925,0.6294832489116895,0.9862639195991278,0.9977233528750559,0.9794684492292928,0.9948811946154135,0.9809787563898885,0.9953391303508276,0.9982588444095905,0.9667877771010636,0.9941784561510606,0.994745619709573,0.9989332247941111,0.9908749931715406
MRK,0.9832334985247193,0.8588560184654834,0.9935511486606193,0.9401177548164906,0.7195759440155632,0.7941747137221054,0.7301378182416505,0.7859752068974909,0.7875204351441812,0.7520182558984763,0.7873012453080928,0.7690888256355771,0.8348853741887639,1.0,0.9272619851696097,0.8340535327799894,0.9707846039280714,0.9529229396755438,0.9660521547203962,0.9561339724638159,0.9526272523528321,0.7368667665310132,0.8292617639855816,0.7112426930652633,0.7917381796153939,0.7191486505789852,0.7823628054052085,0.8221509831339507,0.94419773677975,0.7780727816129486,0.7775686200788138,0.8226279679397707,0.7599006566094216
