,letter,x,y,cluster
0,1CO,-0.6998520898140503,0.4607157087363983,3
1,GAL,-0.44460914725481526,0.6880143445104214,3
2,ROM,-0.7441554557703343,0.3663228028536601,3
3,2CO,-0.740945445984507,0.33193771273422973,3
4,PHM,0.7026933640636553,-0.6301635254368033,1
5,PHP,0.3051998567406959,0.10420645369792401,2
6,TIT,0.9505384072755014,0.06522212180461766,2
7,COL,-0.04106977711111373,-0.6463386307690996,0
8,1TH,-0.509749941518539,-0.21319948530274746,0
9,2TH,0.1496272434222413,-0.7646236918674604,1
10,1TI,0.7955017917644759,0.41058191577473857,2
11,2TI,0.7648603640113714,0.21992224126925264,2
12,EPH,-0.48803916982458206,-0.3925979680051314,0
