,letter,x,y,cluster
0,1CO,-0.6340083582733762,-0.22520255682027518,2
1,GAL,-0.8279739191746753,0.034231772605231414,2
2,ROM,0.26637765566918864,-0.5259412545130129,3
3,2CO,-0.7093806172208478,-0.150064250499571,2
4,PHM,0.0643008171303896,0.9314931190924107,0
5,PHP,0.8368505134798359,-0.3167862774934976,1
6,TIT,-0.7388815135759786,0.6260800583192639,0
7,COL,0.8537276616321313,-0.3019694358741913,1
8,1TH,0.8392446653825496,-0.3148417046442445,1
9,2TH,0.9694797088043593,0.19021887093947762,1
10,1TI,-0.8819888356363044,0.18564524551420025,2
11,2TI,-0.8795973121899036,0.17941548295938498,2
12,EPH,0.8418495339726311,-0.3122790695851762,1
