,letter,x,y,cluster
0,1CO,0.2551899499190066,-0.720400030432882,2
1,GAL,0.2072587401777094,-0.7631565677991949,2
2,ROM,0.014315850236162598,-0.7377755310008767,2
3,2CO,-0.48770872341383714,-0.5735644512569206,2
4,PHM,-0.31486909980868366,0.8548981961829094,1
5,PHP,0.36468053384748106,0.6433906619429488,0
6,TIT,0.8138936674784453,-0.1581045589572339,0
7,COL,-0.8031416553679235,0.47824523740106195,1
8,1TH,-0.202727070373764,0.34150408361100065,3
9,2TH,-0.8291695805914249,0.04767352156897874,1
10,1TI,0.7906794273847257,-0.10548407308164665,0
11,2TI,0.7757305174906302,0.06553649106586265,0
12,EPH,-0.5841325569785276,0.6272370207559923,1
