,letter,x,y,cluster
0,1CO,-0.8418273355884861,-0.2752769524584844,3
1,GAL,-0.8757719102275128,0.18373818814746667,3
2,ROM,-0.8556934428250367,-0.19689578352866635,3
3,2CO,-0.8135613653162428,-0.26229446320226146,3
4,PHM,0.36010733538995376,0.8507738555224528,2
5,PHP,0.33960829511125934,-0.5218459553682351,1
6,TIT,0.9608923660962188,0.21855446007138726,0
7,COL,0.5068409463992622,-0.07589444819196797,0
8,1TH,-0.3232899641287351,0.03595085211495853,1
9,2TH,0.020696155890138613,0.7125596834851177,2
10,1TI,0.9704244302238165,0.038249312095469154,0
11,2TI,0.8625216033702598,-0.20105681193422936,0
12,EPH,-0.3109471143948956,-0.5065619367530075,1
