,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE
1CO,1.0,0.3576036864738462,0.39238567688679526,0.5247238092519884,-0.05669431451257023,0.16812696930956478,-0.13315887466126414,0.03585841067363443,0.17466646661672303,-0.018847931406318963,-0.04048473990062301,-0.06451835032265674,0.25098964567887355,0.49436046407769385,0.4995172542477804,-0.08441103859319632,0.5553876666805686,0.496684352620351,0.3778022953429234,0.33852162425947363,0.5345886251778127,-0.1480980710387903,-0.09940936265429501,0.08348547064398137,0.43511969486805796,0.002608012486645689,-0.12997723119174226
GAL,0.3576036864738462,1.0,0.4876957654288139,0.37335663058622903,0.08012521893099916,0.18705766207039198,-0.09475379883217822,0.1126585595024438,0.3646401619184111,0.339210773334977,-0.10287115611864861,0.09147226984721837,0.2624361534909805,0.23034350524981798,0.33330854540569077,0.07748606583309539,0.41031098703955016,0.25041799387623304,0.28692632085114206,0.23910076956377516,0.315751947011036,0.10837886228696991,0.17050148084992595,0.030637976865165506,0.3770372406482808,0.026479055303134824,0.03119205745008416
ROM,0.39238567688679526,0.4876957654288139,1.0,0.34063716778008796,-0.04121713862911913,0.04310591493754115,-0.07992106499270502,0.08979715320454427,0.32684115081386267,0.2691233547070126,-0.08554656869189092,0.09406804587528408,0.12827855757056933,0.4122299870773177,0.40896630990687566,0.1472583499024976,0.35869462997243334,0.4312367640245246,0.47121780555895953,0.40128085744698816,0.44100717827430047,0.059342227462133246,0.22218276713198531,-0.09869995857219604,0.2782900286235326,-0.11296040684936781,0.0814918690215779
2CO,0.5247238092519884,0.37335663058622903,0.34063716778008796,1.0,-0.0884731064876832,0.31578367624333176,-0.07291948742118903,0.08020280386574855,0.19223585424888454,0.14843249563609018,-0.03738625420698222,0.02875955660982832,0.3676072366516686,0.3261251053180031,0.4488735667617884,-0.08054061460372808,0.5883557720906933,0.39802970348532574,0.35692808772026374,0.23741649567821393,0.40661289151955526,-0.01705927480943617,-0.06273149596540895,0.04894841932760888,0.4338850962293032,0.01320271737396922,-0.13562155257832564
PHM,-0.05669431451257023,0.08012521893099916,-0.04121713862911913,-0.0884731064876832,1.0,0.10665059891295842,0.39130974471163116,0.1987553718275011,0.24476392736226676,0.17734086954508743,0.3360257936537892,0.19203817218535243,0.03478792789176979,-0.04205125956223127,-0.06385367626867233,0.3480444036386753,-0.0560462679462187,-0.09946482883055513,-0.023388770192748487,0.072898119840381,0.023172238798325778,0.36470923270426536,0.3402148666857433,0.5444837931365689,0.07986543598601828,0.5323766210043752,0.47360861161440126
PHP,0.16812696930956478,0.18705766207039198,0.04310591493754115,0.31578367624333176,0.10665059891295842,1.0,0.32611826099400587,0.4701365168937972,0.19052003579452956,0.35981540602451023,0.36709952302157856,0.43719261369790896,0.5770755622507289,0.05962456560742488,0.09971223609169728,0.08211618672779182,0.2698913114873479,0.07290377358778186,-0.028402629515526995,0.09241733132342117,-0.03919390891376681,0.25173479268031446,0.05042310347534221,0.13839189109227223,0.359819108155278,0.17220344148080677,0.013536606043047295
TIT,-0.13315887466126414,-0.09475379883217822,-0.07992106499270502,-0.07291948742118903,0.39130974471163116,0.32611826099400587,1.0,0.45841310096949145,0.19809531972938327,0.3135576879700125,0.5633364185714451,0.49253997496252644,0.22307653713524572,-0.015436630682469893,-0.1116163594857692,0.37477371416627525,-0.12318826644535158,-0.05275472315007751,-0.030682341633190113,0.14284023130459655,-0.12311788211334301,0.4392639357767032,0.34526091204535314,0.32280953959121134,0.04957201461955377,0.3549583255420827,0.42776987075918493
COL,0.03585841067363443,0.1126585595024438,0.08979715320454427,0.08020280386574855,0.1987553718275011,0.4701365168937972,0.45841310096949145,1.0,0.3204097284842125,0.3801982187800415,0.494438796042435,0.5315927364985765,0.4268799320019128,0.09901722067721137,-0.061175093646899326,0.19686568099444923,0.042046748379392956,0.019998727121700782,-0.07641753168170717,0.27308946864884903,-0.07783827197003279,0.26565593897233425,0.1635314429521124,0.12589713059369156,0.30568033194904454,0.12147140658581314,0.1683207414320126
1TH,0.17466646661672303,0.3646401619184111,0.32684115081386267,0.19223585424888454,0.24476392736226676,0.19052003579452956,0.19809531972938327,0.3204097284842125,1.0,0.3457064733560139,0.15637480510408425,0.19646157049092894,0.14529062571627183,0.11514990565155749,0.008030494043014008,0.04345622961974177,0.18971879852597298,0.029730675643616256,0.11189849753506231,0.4590152835705202,0.18279433652173174,0.11315168588129171,0.17076868365809836,0.1668325873482958,0.42578187377201293,0.04716060712533349,0.16662068954117193
2TH,-0.018847931406318963,0.339210773334977,0.2691233547070126,0.14843249563609018,0.17734086954508743,0.35981540602451023,0.3135576879700125,0.3801982187800415,0.3457064733560139,1.0,0.2178082650860379,0.4650024793370879,0.33725202507725427,-0.04216135464788745,0.043505229029526526,0.3269198441049551,0.10315213610440223,0.012915555947744933,0.1422641035553113,0.13360051640268145,-0.05551936549124725,0.45905181774264076,0.40209309593387005,0.028575210928585365,0.1665149626870592,0.11770977720964318,0.27645490254231886
1TI,-0.04048473990062301,-0.10287115611864861,-0.08554656869189092,-0.03738625420698222,0.3360257936537892,0.36709952302157856,0.5633364185714451,0.494438796042435,0.15637480510408425,0.2178082650860379,1.0,0.484537079067956,0.28712223753614535,0.09792633657724739,-0.05302042477716995,0.29061264871135806,-0.07508052799276765,0.021225600014139756,-0.06739344426740695,0.18059987683839523,-0.07457585288844465,0.3253520039215464,0.23608621043533667,0.30692830884147965,0.1198100508648276,0.3166794170846736,0.3261177051061793
2TI,-0.06451835032265674,0.09147226984721837,0.09406804587528408,0.02875955660982832,0.19203817218535243,0.43719261369790896,0.49253997496252644,0.5315927364985765,0.19646157049092894,0.4650024793370879,0.484537079067956,1.0,0.39714648229537963,0.05259121081097248,1.5261278526440547e-05,0.3585149304684082,-0.027313525793261656,0.0454741864145706,0.021317964823150654,0.14038979085162667,-0.12872613035728353,0.43665783312580736,0.3474349845873501,0.07722212677528582,0.10716189410980588,0.16829396293608878,0.2925565129053987
EPH,0.25098964567887355,0.2624361534909805,0.12827855757056933,0.3676072366516686,0.03478792789176979,0.5770755622507289,0.22307653713524572,0.4268799320019128,0.14529062571627183,0.33725202507725427,0.28712223753614535,0.39714648229537963,1.0,0.1417145505768454,0.1965856337258009,0.07974758066020189,0.3388028167704,0.1673084257372392,0.031431649218779445,0.08505488399125977,0.032933546655297186,0.2043022483772912,0.024826142236631904,0.07294929726583568,0.3742400787810951,0.12286920129853532,-0.04577822518219393
MRK,0.49436046407769385,0.23034350524981798,0.4122299870773177,0.3261251053180031,-0.04205125956223127,0.05962456560742488,-0.015436630682469893,0.09901722067721137,0.11514990565155749,-0.04216135464788745,0.09792633657724739,0.05259121081097248,0.1417145505768454,1.0,0.4830542302072674,0.07326265183953432,0.35320986046590586,0.5598362964598942,0.4123027820680103,0.41135665763646934,0.5172207573354859,-0.09542918300084768,0.047551023391519176,0.026537862954163882,0.266178298105804,-0.02743112707390405,0.017857633257182426
ACT,0.4995172542477804,0.33330854540569077,0.40896630990687566,0.4488735667617884,-0.06385367626867233,0.09971223609169728,-0.1116163594857692,-0.061175093646899326,0.008030494043014008,0.043505229029526526,-0.05302042477716995,1.5261278526440547e-05,0.1965856337258009,0.4830542302072674,1.0,0.10762916253780305,0.46784942015987296,0.557686256703978,0.5016959051620906,0.19079884129000202,0.5032172966198314,0.028982637332904182,0.11733586903679037,0.02804570127708761,0.1900374328685301,0.057941908524670405,0.017543673087601463
1PE,-0.08441103859319632,0.07748606583309539,0.1472583499024976,-0.08054061460372808,0.3480444036386753,0.08211618672779182,0.37477371416627525,0.19686568099444923,0.04345622961974177,0.3269198441049551,0.29061264871135806,0.3585149304684082,0.07974758066020189,0.07326265183953432,0.10762916253780305,1.0,-0.08469630945955187,0.13052631743665466,0.23396400123301014,0.012695613707127601,0.032746462497394435,0.5232761969467135,0.5348092166269776,0.22395214715738007,-0.15130864212087575,0.36222884487158247,0.5291043744978392
JHN,0.5553876666805686,0.41031098703955016,0.35869462997243334,0.5883557720906933,-0.0560462679462187,0.2698913114873479,-0.12318826644535158,0.042046748379392956,0.18971879852597298,0.10315213610440223,-0.07508052799276765,-0.027313525793261656,0.3388028167704,0.35320986046590586,0.46784942015987296,-0.08469630945955187,1.0,0.40967531411892105,0.35162169398721715,0.2341218380143543,0.4458518919946046,-0.05287549628503496,-0.07869430697686675,0.08248535559000339,0.4478255302033158,0.03679190055138806,-0.1408934685768678
LUK,0.496684352620351,0.25041799387623304,0.4312367640245246,0.39802970348532574,-0.09946482883055513,0.07290377358778186,-0.05275472315007751,0.019998727121700782,0.029730675643616256,0.012915555947744933,0.021225600014139756,0.0454741864145706,0.1673084257372392,0.5598362964598942,0.557686256703978,0.13052631743665466,0.40967531411892105,1.0,0.5092739025609532,0.306219629758939,0.5185149091288741,-0.01319852010479744,0.09842392920627373,-0.019015548223662748,0.1939567086355379,-0.015070908364539892,0.02657103575940628
HEB,0.3778022953429234,0.28692632085114206,0.47121780555895953,0.35692808772026374,-0.023388770192748487,-0.028402629515526995,-0.030682341633190113,-0.07641753168170717,0.11189849753506231,0.1422641035553113,-0.06739344426740695,0.021317964823150654,0.031431649218779445,0.4123027820680103,0.5016959051620906,0.23396400123301014,0.35162169398721715,0.5092739025609532,1.0,0.27518779970951057,0.48721377048891495,0.13510892353940235,0.27437365731105307,-0.0005938305180779313,0.08688351372294395,0.02655108466563097,0.18212249240766246
REV,0.33852162425947363,0.23910076956377516,0.40128085744698816,0.23741649567821393,0.072898119840381,0.09241733132342117,0.14284023130459655,0.27308946864884903,0.4590152835705202,0.13360051640268145,0.18059987683839523,0.14038979085162667,0.08505488399125977,0.41135665763646934,0.19079884129000202,0.012695613707127601,0.2341218380143543,0.306219629758939,0.27518779970951057,1.0,0.38115967993096483,-0.057689140975273,0.08324604690815995,0.06071096749865454,0.39064768473217,-0.08396419777515429,0.09154249585515856
MAT,0.5345886251778127,0.315751947011036,0.44100717827430047,0.40661289151955526,0.023172238798325778,-0.03919390891376681,-0.12311788211334301,-0.07783827197003279,0.18279433652173174,-0.05551936549124725,-0.07457585288844465,-0.12872613035728353,0.032933546655297186,0.5172207573354859,0.5032172966198314,0.032746462497394435,0.4458518919946046,0.5185149091288741,0.48721377048891495,0.38115967993096483,1.0,-0.10167003569848826,0.05113979603985533,0.12130448815819084,0.28918618576657135,0.03969972928271906,0.04034702593903536
JUD,-0.1480980710387903,0.10837886228696991,0.059342227462133246,-0.01705927480943617,0.36470923270426536,0.25173479268031446,0.4392639357767032,0.26565593897233425,0.11315168588129171,0.45905181774264076,0.3253520039215464,0.43665783312580736,0.2043022483772912,-0.09542918300084768,0.028982637332904182,0.5232761969467135,-0.05287549628503496,-0.01319852010479744,0.13510892353940235,-0.057689140975273,-0.10167003569848826,1.0,0.5227650274286737,0.2443762649870267,-0.08672753110703219,0.3904400842565495,0.4915448898673672
JAS,-0.09940936265429501,0.17050148084992595,0.22218276713198531,-0.06273149596540895,0.3402148666857433,0.05042310347534221,0.34526091204535314,0.1635314429521124,0.17076868365809836,0.40209309593387005,0.23608621043533667,0.3474349845873501,0.024826142236631904,0.047551023391519176,0.11733586903679037,0.5348092166269776,-0.07869430697686675,0.09842392920627373,0.27437365731105307,0.08324604690815995,0.05113979603985533,0.5227650274286737,1.0,0.181227022298926,-0.1317553785377913,0.29772953571765615,0.5435468146914018
2JN,0.08348547064398137,0.030637976865165506,-0.09869995857219604,0.04894841932760888,0.5444837931365689,0.13839189109227223,0.32280953959121134,0.12589713059369156,0.1668325873482958,0.028575210928585365,0.30692830884147965,0.07722212677528582,0.07294929726583568,0.026537862954163882,0.02804570127708761,0.22395214715738007,0.08248535559000339,-0.019015548223662748,-0.0005938305180779313,0.06071096749865454,0.12130448815819084,0.2443762649870267,0.181227022298926,1.0,0.15311469294406732,0.5543290424938998,0.35714877216068847
1JN,0.43511969486805796,0.3770372406482808,0.2782900286235326,0.4338850962293032,0.07986543598601828,0.359819108155278,0.04957201461955377,0.30568033194904454,0.42578187377201293,0.1665149626870592,0.1198100508648276,0.10716189410980588,0.3742400787810951,0.266178298105804,0.1900374328685301,-0.15130864212087575,0.4478255302033158,0.1939567086355379,0.08688351372294395,0.39064768473217,0.28918618576657135,-0.08672753110703219,-0.1317553785377913,0.15311469294406732,1.0,0.021349131873824534,-0.12742159502806633
3JN,0.002608012486645689,0.026479055303134824,-0.11296040684936781,0.01320271737396922,0.5323766210043752,0.17220344148080677,0.3549583255420827,0.12147140658581314,0.04716060712533349,0.11770977720964318,0.3166794170846736,0.16829396293608878,0.12286920129853532,-0.02743112707390405,0.057941908524670405,0.36222884487158247,0.03679190055138806,-0.015070908364539892,0.02655108466563097,-0.08396419777515429,0.03969972928271906,0.3904400842565495,0.29772953571765615,0.5543290424938998,0.021349131873824534,1.0,0.42474424888428786
2PE,-0.12997723119174226,0.03119205745008416,0.0814918690215779,-0.13562155257832564,0.47360861161440126,0.013536606043047295,0.42776987075918493,0.1683207414320126,0.16662068954117193,0.27645490254231886,0.3261177051061793,0.2925565129053987,-0.04577822518219393,0.017857633257182426,0.017543673087601463,0.5291043744978392,-0.1408934685768678,0.02657103575940628,0.18212249240766246,0.09154249585515856,0.04034702593903536,0.4915448898673672,0.5435468146914018,0.35714877216068847,-0.12742159502806633,0.42474424888428786,1.0
