,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE
1CO,1.0,0.7573725596106949,0.7678661655838628,0.19979074021257603,-0.6333897591491849,-0.6003248583449632,0.12517345489894866,-0.4631192499640232,-0.3611797093845197,-0.25634650199137243,-0.08831790539999507,-0.163092030071934,-0.5145188793546055,0.8338273530628387,0.42638738930400055,-0.4137813696915223,0.6624528309249379,0.7897803126869638,-0.5674645705243035,-0.1179567779790549,0.6423423874621104,-0.046597452324920595,0.6121129210202896,-0.31293803990731256,0.2313066587962928,0.28835959777879866,-0.7192830696389456
GAL,0.7573725596106949,1.0,0.8078438696574958,0.3299524149969957,-0.35743717409494946,-0.5331993061610706,-0.11236876734052481,-0.25754095008544575,-0.122299658743478,0.09981517636261565,-0.25263170596899504,-0.3656391190690347,-0.40779378377009057,0.5481076201507283,0.09971010784307144,-0.49425406405873,0.31747145752359834,0.5244515509515583,-0.6081926063039658,-0.4942725229092978,0.2953037402305061,0.059110462829258054,0.5365409647832887,-0.18958841398465903,-0.07271910463028147,0.5039138677750025,-0.4358168752853546
ROM,0.7678661655838628,0.8078438696574958,1.0,0.5292508055253256,-0.41929025556834254,-0.5838361245437462,-0.27371031796196255,-0.14115183056080163,-0.1050995655652085,0.18254228261681826,-0.41631195844617275,-0.47156676674396747,-0.2730408640316153,0.6895582453571978,0.149128255352388,-0.5610934821874388,0.30799203562076105,0.6042335841253889,-0.6564172318735053,-0.48079079608201025,0.3270908452853913,-0.06550025091640509,0.33028863582817575,-0.5020084617788598,-0.1478995253329361,0.26341462937573346,-0.3437126882827284
2CO,0.19979074021257603,0.3299524149969957,0.5292508055253256,1.0,0.30417545596007384,0.009740130667732362,-0.6562095565597279,0.5558535634608408,0.5225624471682878,0.60644227726404,-0.775685776647795,-0.6418387794807161,0.49040041041479565,0.1641027336604742,-0.38825662274438966,-0.5396934748711654,-0.3401717993517974,-0.05605874789775539,-0.25722786312575424,-0.697611375154424,-0.35957798004407604,-0.5409783644557776,-0.3713714951523519,-0.5490235691945935,-0.7031976222776563,-0.17890996155595126,0.23936654122703613
PHM,-0.6333897591491849,-0.35743717409494946,-0.41929025556834254,0.30417545596007384,1.0,0.6120386658957936,-0.5255102867580694,0.7008010213377661,0.7049999930729971,0.5687073490723855,-0.45731537373660947,-0.33549095517794986,0.6575138268790311,-0.7097737898258505,-0.7993396277436633,-0.07294523189120058,-0.8001294120224606,-0.8246210286064488,0.3587338380932088,-0.40929078223737114,-0.8470562341432263,-0.43094586743310187,-0.6690064334259983,0.14889265093053775,-0.6412464735504814,-0.06775448839904669,0.610098717313669
PHP,-0.6003248583449632,-0.5331993061610706,-0.5838361245437462,0.009740130667732362,0.6120386658957936,1.0,-0.2523385494197207,0.5889836075788049,0.5113724589791324,0.2011863692023123,0.05064156032014888,0.17644317426354525,0.6273427070576921,-0.7113332220209905,-0.5601176946569956,0.38290414925522065,-0.5539502321563782,-0.7924266438518358,0.6656263633887444,0.09632194309791112,-0.6029402353019377,-0.30180808137342785,-0.4372832488468944,0.02463779604299828,-0.19814891672244342,-0.1793065778167248,0.3908484129266227
TIT,0.12517345489894866,-0.11236876734052481,-0.27371031796196255,-0.6562095565597279,-0.5255102867580694,-0.2523385494197207,1.0,-0.5724942561388322,-0.635859314410569,-0.61980820440458,0.7575167902587252,0.711813370470956,-0.5284185526863692,0.25720757798551824,0.6337003688497266,0.41822775229396,0.5550991943167731,0.3899961053647079,-0.09394343280931101,0.5823146460918823,0.5589594637181348,0.4666648416966718,0.5750114203198375,0.27689587016473954,0.6101991955514326,-0.04363431915657771,-0.38133298593707854
COL,-0.4631192499640232,-0.25754095008544575,-0.14115183056080163,0.5558535634608408,0.7008010213377661,0.5889836075788049,-0.5724942561388322,1.0,0.6566954947702315,0.6119902265778274,-0.43469637635432873,-0.37509743126665235,0.7947872468347156,-0.46219788247381466,-0.7593343506212138,-0.16502212189577972,-0.7262602020361564,-0.6820922803745411,0.15079942162916307,-0.4669802888694867,-0.7455570728347324,-0.5253865635196525,-0.6256467128666913,-0.29302515947524027,-0.6226521436297001,-0.17482681974848568,0.5687332198470846
1TH,-0.3611797093845197,-0.122299658743478,-0.1050995655652085,0.5225624471682878,0.7049999930729971,0.5113724589791324,-0.635859314410569,0.6566954947702315,1.0,0.6543738101193243,-0.5471968788134511,-0.38443679928397256,0.7695062965364745,-0.5061045596412868,-0.7153903140855227,-0.27851565268997014,-0.7028885956910634,-0.6229466718027853,0.21560693895922878,-0.41808704664195123,-0.778030513753653,-0.440573373593938,-0.6446631697290507,-0.027219229450837424,-0.6279488716903457,-0.24325682656041958,0.5431654343537443
2TH,-0.25634650199137243,0.09981517636261565,0.18254228261681826,0.60644227726404,0.5687073490723855,0.2011863692023123,-0.61980820440458,0.6119902265778274,0.6543738101193243,1.0,-0.6234066604556446,-0.41803037461070913,0.4608947252217684,-0.3216106594429721,-0.6538116366138422,-0.25670052210344285,-0.718070753282337,-0.4512409981347004,-0.20386173366491245,-0.6547724024090373,-0.7065711280841754,-0.11458573523229557,-0.5028637242606975,-0.3144873660486658,-0.80521649775095,-0.07477239201912396,0.6236527859618246
