,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE
1CO,1.0,0.4220199242884882,0.8545887311814429,0.687327112136769,-0.7614514630883611,-0.14153436271828973,-0.6021751345071782,-0.19001138957673658,0.0020981995537114606,-0.6477220334477571,-0.22379474601212665,-0.30465674295178047,0.27699998072627013,0.7574894630613316,0.6978563369575448,-0.24702876083290562,0.701301111248904,0.7084724692430391,0.5043112101409,0.3580677654888522,0.6989349793819238,-0.6663257553344787,-0.027037001998120577,-0.6343396431634377,0.42546853988265465,-0.5826673827976971,-0.575510306453916
GAL,0.4220199242884882,1.0,0.5545433393627024,0.5878515157808689,-0.08529498548428086,0.11990818074978599,-0.22328553078198124,0.03952784939021159,0.12137640314714687,0.10059450255852598,-0.027922882051633457,0.01632717363452696,0.11823135546322155,-0.061839809683440494,0.193843809454828,0.4034263387574127,0.10467898521306734,-0.010125876003038908,0.40349614399639344,-0.5011820892681581,0.044275880445336147,0.05130660750444569,0.510576808262825,-0.1841851201454442,-0.22266548933147964,0.013396273924322855,0.11831398180435898
ROM,0.8545887311814429,0.5545433393627024,1.0,0.7367276861994736,-0.696476775238764,-0.16422708448428092,-0.7185091020948555,-0.2536489021209293,0.08868137009579564,-0.4496147896722553,-0.3738337232000531,-0.38075166090177437,0.2894085130396167,0.6395678361645556,0.6722627541577118,-0.11688867958876188,0.6617580127433105,0.6483604212563354,0.5358389915293418,0.13891235607479774,0.6430170821892811,-0.5355452166654445,0.07412483065884873,-0.6814969122798051,0.28604980123415796,-0.5267440637451812,-0.37629093048062134
2CO,0.687327112136769,0.5878515157808689,0.7367276861994736,1.0,-0.46429624424797045,0.2815735324229635,-0.49295020510038995,0.2067644308234206,0.2387904847501907,-0.251264666701173,-0.1083362722311379,-0.06112967441210457,0.5404340612166839,0.38272404941403476,0.41036490405763526,0.06083579628107935,0.28120661747749587,0.3145758186754496,0.5434251603608359,-0.0190527455735646,0.2325645074086956,-0.4565729605008847,0.07805131499580248,-0.6697161674596841,-0.019387275275258874,-0.5889794393055872,-0.249192031660683
PHM,-0.7614514630883611,-0.08529498548428086,-0.696476775238764,-0.46429624424797045,1.0,0.07943865021843675,0.4454845156544835,0.2522273579994693,-0.07902675658992214,0.6283331601394737,0.12355894347737166,0.1411462806226333,-0.35657184258045094,-0.7930458399538218,-0.6982814390805859,0.2631400980160502,-0.7313069741042644,-0.7725923539000501,-0.34089660195302535,-0.5867142314794136,-0.720395334476212,0.5084963057501757,0.06958105877522726,0.7376794052344033,-0.5681735066758558,0.7236574663347277,0.5721865436206092
PHP,-0.14153436271828973,0.11990818074978599,-0.16422708448428092,0.2815735324229635,0.07943865021843675,1.0,0.39013953149475555,0.7938747818743033,0.5743671047705471,0.3264115467074773,0.6589020109176458,0.7486907067129223,0.6884153775470114,-0.3780645540562777,-0.3893061328078329,0.4082574037952406,-0.4868415480634253,-0.5090725960276146,0.06384082316608566,-0.10518002721434458,-0.5821024165736073,0.14234231163992228,0.29977522586897976,-0.24066188216746717,-0.2253225456625293,-0.27275485236963043,0.26859280452063417
TIT,-0.6021751345071782,-0.22328553078198124,-0.7185091020948555,-0.49295020510038995,0.4454845156544835,0.39013953149475555,1.0,0.43269870895615536,-0.0005957471540613858,0.4218134037334005,0.7105856148008332,0.7266037158313856,-0.11281876341901267,-0.533724102603512,-0.5612713647672438,0.313779440633927,-0.6350943231891822,-0.5786456741782271,-0.5101500198024211,-0.21364468549927962,-0.6355674512602663,0.6329296446255376,0.3101572533749051,0.4482707019490905,-0.3188878727711265,0.38458538480942145,0.34457986298058674
COL,-0.19001138957673658,0.03952784939021159,-0.2536489021209293,0.2067644308234206,0.2522273579994693,0.7938747818743033,0.43269870895615536,1.0,0.5087164939317497,0.3543487522035087,0.6588034649207748,0.6295742069480329,0.5951424092001196,-0.3860239629272846,-0.5517281719327398,0.18456587824056817,-0.6047082519735176,-0.5917326735362801,-0.1267515661953316,-0.13128023120009122,-0.6638030880907209,0.029481463667491298,0.14825241649293416,-0.06813845864949825,-0.238709535061395,-0.13080033924912177,0.28114562219552863
1TH,0.0020981995537114606,0.12137640314714687,0.08868137009579564,0.2387904847501907,-0.07902675658992214,0.5743671047705471,-0.0005957471540613858,0.5087164939317497,1.0,0.4341222296900374,0.18369266377695492,0.2839314605903841,0.7585132330068937,-0.2296780264785153,-0.39596750499512834,-0.019163069347310685,-0.10318338802205237,-0.3308619701914064,-0.06842679100820698,0.035589158144039595,-0.2761765421724979,-0.11262025188384694,0.015100568840436368,-0.2886375297602984,0.19608969041412067,-0.37020489945324975,0.24927363811655112
2TH,-0.6477220334477571,0.10059450255852598,-0.4496147896722553,-0.251264666701173,0.6283331601394737,0.3264115467074773,0.4218134037334005,0.3543487522035087,0.4341222296900374,1.0,0.12873968046745451,0.30850956301713955,0.040687376882041534,-0.7677139439186568,-0.764901102693617,0.2808880442991557,-0.6016890076183845,-0.7467832094708318,-0.48993868021797027,-0.5793491019318888,-0.7163478850312484,0.6113593252645335,0.1834185229484177,0.33777493107283474,-0.4182727530342506,0.438406013142236,0.6269369464001292
