,AUTH_hashingrounds,AUTH_donotremoveordisable,AUTH_macros,AUTH_haipe,AUTH_snippets,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_hashingrounds,1.0,0.4491087199140972,0.2942890786211211,0.7409619220748344,0.8655251562509192,-0.3173335206849392,-0.3477009742411282,-0.3740014275851069,-0.8870059621697108,-0.21587251840587884,-0.6474776872093007,0.21322311686493334,-0.6217265810561208,-0.738904249612703,-0.36086235433433733,-0.059417911351572955,-0.19782582189493036,-0.9007612744745771
AUTH_donotremoveordisable,0.4491087199140972,1.0,0.5234449574995803,0.5806536322602971,0.30693026517360233,0.13395044339441473,0.0525170520536955,0.09607589716861042,-0.33449816826130274,-0.6288451124088248,-0.5151150832545068,-0.5287068278910694,-0.4874531146884892,-0.3460043798513002,-0.5605734280669303,-0.31710389611482587,-0.49545779067443607,-0.38338839157045684
AUTH_macros,0.2942890786211211,0.5234449574995803,1.0,0.6105965069210788,0.4056309332973146,-0.22553183764862475,-0.19067388584774844,-0.10299497179911793,-0.21391778455894783,-0.18556818739481393,-0.7954597317443568,-0.6721953955861024,-0.5379945273710058,-0.29127546749791244,0.14332570440738662,-0.8623935477286927,-0.8813614234657566,-0.3447936292850574
AUTH_haipe,0.7409619220748344,0.5806536322602971,0.6105965069210788,1.0,0.6947660482293916,-0.35477095307303863,-0.22461315951222277,-0.3646660711999203,-0.6816762309744506,-0.14945189055968763,-0.7426525356574267,-0.1754270686030091,-0.5770753562152171,-0.5489516395392431,-0.1902255817614959,-0.3356011966599495,-0.44706414288366403,-0.7394782813091142
AUTH_snippets,0.8655251562509192,0.30693026517360233,0.4056309332973146,0.6947660482293916,1.0,-0.349739163561327,-0.18188620825719026,-0.3170929084183096,-0.7810740917611383,-0.17187340390402922,-0.6914428108631061,0.12597830805927684,-0.6416090229316401,-0.8531488447222799,-0.23435467176818237,-0.14614510425267258,-0.22088838786969672,-0.9352767242419375
1CO,-0.3173335206849392,0.13395044339441473,-0.22553183764862475,-0.35477095307303863,-0.349739163561327,1.0,0.8084532270475584,0.9671916075015662,0.4648432122899038,-0.4513569547177725,0.20730930659966615,0.12365428627100317,-0.03792168742190463,0.2931704568865464,-0.3310159874946459,0.2526036425239523,0.20155816116649994,0.2774793674170034
GAL,-0.3477009742411282,0.0525170520536955,-0.19067388584774844,-0.22461315951222277,-0.18188620825719026,0.8084532270475584,1.0,0.8361054079357506,0.4027997122302249,-0.3050239311242322,0.26112719053906364,0.08988997467052567,0.05322384696738644,0.12863601136201788,-0.2796559400277898,0.3218752970029849,0.3054458862781031,0.11811910091955373
ROM,-0.3740014275851069,0.09607589716861042,-0.10299497179911793,-0.3646660711999203,-0.3170929084183096,0.9671916075015662,0.8361054079357506,1.0,0.5398535790970598,-0.44526904416652624,0.13803733078168098,0.0179147291720812,-0.029696844010811296,0.27899342362242296,-0.2003639757840878,0.12052053225114867,0.09960631129598813,0.2982606924528611
2CO,-0.8870059621697108,-0.33449816826130274,-0.21391778455894783,-0.6816762309744506,-0.7810740917611383,0.4648432122899038,0.4027997122302249,0.5398535790970598,1.0,0.11118902571694396,0.43508081847757374,-0.28026757530825813,0.5711142038495649,0.5708967577592037,0.2607087504031075,-0.09739040827524326,0.004012203249869367,0.7995273678952105
PHM,-0.21587251840587884,-0.6288451124088248,-0.18556818739481393,-0.14945189055968763,-0.17187340390402922,-0.4513569547177725,-0.3050239311242322,-0.44526904416652624,0.11118902571694396,1.0,0.1736287252061352,0.3064786974604388,0.39651945465010646,0.17700991534981358,0.647919451572763,0.06899495627499905,0.12976505023383517,0.16582847907954182
PHP,-0.6474776872093007,-0.5151150832545068,-0.7954597317443568,-0.7426525356574267,-0.6914428108631061,0.20730930659966615,0.26112719053906364,0.13803733078168098,0.43508081847757374,0.1736287252061352,1.0,0.3101713180449653,0.6862636096731819,0.5950077460957947,0.08464271775285924,0.660219708414178,0.7693741324196759,0.6443732058727962
TIT,0.21322311686493334,-0.5287068278910694,-0.6721953955861024,-0.1754270686030091,0.12597830805927684,0.12365428627100317,0.08988997467052567,0.0179147291720812,-0.28026757530825813,0.3064786974604388,0.3101713180449653,1.0,0.041325688592550786,0.022608786686359628,0.020503698148768595,0.7519372466756914,0.7554159816945805,-0.1751994914981141
