,AUTH_hashingrounds,AUTH_donotremoveordisable,AUTH_macros,AUTH_haipe,AUTH_snippets,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_hashingrounds,1.0,0.9862757478406635,0.9945191847070438,0.982571964028876,0.9976652286134328,-0.983171508888222,-0.9949137376294739,-0.9929242476432109,-0.9468438453826691,-0.960608371326789,-0.8974326724489348,-0.9897863900866768,-0.9646832670580009,-0.9911243100629468,-0.9968878143787806,-0.9828275364365531,-0.9833627660285339,-0.921905364682423
AUTH_donotremoveordisable,0.9862757478406635,1.0,0.9933159839660916,0.9952947160265577,0.977194492794316,-0.9447682938335006,-0.9704211151441717,-0.9668233907458246,-0.979232117181919,-0.9464643292302386,-0.9534918794955731,-0.9810620764079713,-0.9696331546366024,-0.9720279362078003,-0.9809505874118438,-0.9846144193790689,-0.9872530552753238,-0.9708810763647766
AUTH_macros,0.9945191847070438,0.9933159839660916,1.0,0.9955937727749244,0.9929166377141265,-0.9594999942983499,-0.9820452794397807,-0.9829435520321291,-0.9722184131079039,-0.9691164047446033,-0.930555731042693,-0.9789977675331132,-0.9817444805790737,-0.9905707815694854,-0.9880720904516934,-0.9922887733434552,-0.9890341900191357,-0.9454427911714064
AUTH_haipe,0.982571964028876,0.9952947160265577,0.9955937727749244,1.0,0.9788002955969499,-0.9325145169141096,-0.9628241328172532,-0.9675932596679525,-0.989488042230887,-0.9661644690016571,-0.9559180917332184,-0.9657065399987533,-0.9877545330452636,-0.9774980559644422,-0.9730763934425117,-0.9887513167997216,-0.9850142307953442,-0.9635249189315584
AUTH_snippets,0.9976652286134328,0.977194492794316,0.9929166377141265,0.9788002955969499,1.0,-0.9816884262862607,-0.9926542429317048,-0.9955303910427371,-0.9410958112850146,-0.9714030897310595,-0.8837918214592242,-0.9796617762639693,-0.9692671043321922,-0.9947235894702979,-0.9924332688939026,-0.9831649306494333,-0.9799139330651473,-0.9037744178579659
1CO,-0.983171508888222,-0.9447682938335006,-0.9594999942983499,-0.9325145169141096,-0.9816884262862607,1.0,0.9933072605842667,0.9847343615105034,0.8742736207455393,0.9226583603541937,0.8084338751746499,0.9817067888326456,0.9099227533791281,0.9702635063054637,0.9867949143966573,0.9411657494852974,0.9460034280427039,0.8501969033618796
GAL,-0.9949137376294739,-0.9704211151441717,-0.9820452794397807,-0.9628241328172532,-0.9926542429317048,0.9933072605842667,1.0,0.9882856464171557,0.9168690978639031,0.9391995623282222,0.860195751249708,0.992564397910807,0.9414207710309553,0.9889347345554113,0.9980913269178425,0.9626095121390914,0.9638883573557728,0.8967011018196315
ROM,-0.9929242476432109,-0.9668233907458246,-0.9829435520321291,-0.9675932596679525,-0.9955303910427371,0.9847343615105034,0.9882856464171557,1.0,0.9281244386198493,0.9747506650489463,0.8571993161784498,0.9733738835894822,0.9630350558899052,0.9842773528899658,0.9856595447316222,0.9718157656854223,0.9696600273873921,0.8782815087485334
2CO,-0.9468438453826691,-0.979232117181919,-0.9722184131079039,-0.989488042230887,-0.9410958112850146,0.8742736207455393,0.9168690978639031,0.9281244386198493,1.0,0.9481661933421034,0.9727041175376862,0.9264084171171607,0.9834572549072087,0.9436475910656333,0.9336337972028417,0.9664244669667925,0.9593228820227204,0.9703574830261658
PHM,-0.960608371326789,-0.9464643292302386,-0.9691164047446033,-0.9661644690016571,-0.9714030897310595,0.9226583603541937,0.9391995623282222,0.9747506650489463,0.9481661933421034,1.0,0.8738452677132279,0.9161639590684602,0.9862948167658877,0.962534323083752,0.9395852319240398,0.9697744793439037,0.9569527460437743,0.8660024661106717
PHP,-0.8974326724489348,-0.9534918794955731,-0.930555731042693,-0.9559180917332184,-0.8837918214592242,0.8084338751746499,0.860195751249708,0.8571993161784498,0.9727041175376862,0.8738452677132279,1.0,0.8875881492669733,0.9256322719509774,0.8847916324821197,0.8837453207028148,0.9348139047189729,0.9372569783362306,0.988935482136653
TIT,-0.9897863900866768,-0.9810620764079713,-0.9789977675331132,-0.9657065399987533,-0.9796617762639693,0.9817067888326456,0.992564397910807,0.9733738835894822,0.9264084171171607,0.9161639590684602,0.8875881492669733,1.0,0.9300919272487101,0.9739436458266821,0.995068479212437,0.9582729107005574,0.9656358411817357,0.9282308145712028
COL,-0.9646832670580009,-0.9696331546366024,-0.9817444805790737,-0.9877545330452636,-0.9692671043321922,0.9099227533791281,0.9414207710309553,0.9630350558899052,0.9834572549072087,0.9862948167658877,0.9256322719509774,0.9300919272487101,1.0,0.971510707252583,0.9493657517016413,0.9744854192377401,0.9611827322349138,0.9220541729390332
1TH,-0.9911243100629468,-0.9720279362078003,-0.9905707815694854,-0.9774980559644422,-0.9947235894702979,0.9702635063054637,0.9889347345554113,0.9842773528899658,0.9436475910656333,0.962534323083752,0.8847916324821197,0.9739436458266821,0.971510707252583,1.0,0.9898793509206544,0.974351399602348,0.9662822005628038,0.907283599965438
2TH,-0.9968878143787806,-0.9809505874118438,-0.9880720904516934,-0.9730763934425117,-0.9924332688939026,0.9867949143966573,0.9980913269178425,0.9856595447316222,0.9336337972028417,0.9395852319240398,0.8837453207028148,0.995068479212437,0.9493657517016413,0.9898793509206544,1.0,0.9703348212726496,0.9716760656888909,0.9187338956327435
1TI,-0.9828275364365531,-0.9846144193790689,-0.9922887733434552,-0.9887513167997216,-0.9831649306494333,0.9411657494852974,0.9626095121390914,0.9718157656854223,0.9664244669667925,0.9697744793439037,0.9348139047189729,0.9582729107005574,0.9744854192377401,0.974351399602348,0.9703348212726496,1.0,0.9971653008566077,0.9385359609926828
2TI,-0.9833627660285339,-0.9872530552753238,-0.9890341900191357,-0.9850142307953442,-0.9799139330651473,0.9460034280427039,0.9638883573557728,0.9696600273873921,0.9593228820227204,0.9569527460437743,0.9372569783362306,0.9656358411817357,0.9611827322349138,0.9662822005628038,0.9716760656888909,0.9971653008566077,1.0,0.9440418584641953
EPH,-0.921905364682423,-0.9708810763647766,-0.9454427911714064,-0.9635249189315584,-0.9037744178579659,0.8501969033618796,0.8967011018196315,0.8782815087485334,0.9703574830261658,0.8660024661106717,0.988935482136653,0.9282308145712028,0.9220541729390332,0.907283599965438,0.9187338956327435,0.9385359609926828,0.9440418584641953,1.0
