,AUTH_hashingrounds,AUTH_donotremoveordisable,AUTH_macros,AUTH_haipe,AUTH_snippets,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_hashingrounds,1.0,0.7374373387306826,0.21566188306874018,0.7296499785291841,0.9132768146693957,0.20462358845254658,0.18206650097431137,0.1330043707636741,-0.8654793220616297,-0.6612021897054428,-0.5530774783293517,0.26149688595409826,-0.7645633352212788,-0.756574645395884,-0.5888242645664346,0.2202429526130359,0.019417451614602982,-0.9270116261245349
AUTH_donotremoveordisable,0.7374373387306826,1.0,0.5410252400773408,0.7911505940246709,0.6535990366218488,0.21945408298100044,0.23495553007506043,0.16224766430505116,-0.6265936738078607,-0.6208146233454156,-0.6283906890340873,-0.22729619027000297,-0.6110521197266714,-0.5966442970016315,-0.5233244172135268,-0.10709857141343718,-0.34176231032862925,-0.6904707641559547
AUTH_macros,0.21566188306874018,0.5410252400773408,1.0,0.5891339366240732,0.36062640612656927,-0.16696947027270204,-0.024070010219987788,-0.014435251869575887,-0.0030873560253299043,-0.09130087136213984,-0.7976693292948216,-0.7573616203442832,-0.16391422867248867,-0.4273166163689453,0.21752330923090668,-0.8386128840376151,-0.9113297112467372,-0.3047621296134103
AUTH_haipe,0.7296499785291841,0.7911505940246709,0.5891339366240732,1.0,0.701447488333257,-0.019754217814979803,0.03751157766366768,-0.05403610999986482,-0.6053365493253314,-0.36426444571313765,-0.7726366688762727,-0.1435323204990373,-0.6285204434447704,-0.5136332772818777,-0.23190785690970986,-0.21790435422419152,-0.3727190338384308,-0.7055121010976275
AUTH_snippets,0.9132768146693957,0.6535990366218488,0.36062640612656927,0.701447488333257,1.0,0.19313302847097086,0.2579917178682917,0.2244300492546477,-0.6994088075769166,-0.6646637663175021,-0.6971708086349147,0.12277156708625322,-0.6897026839126724,-0.8782351562768154,-0.45180210623160333,0.0428486376282657,-0.13288747348600416,-0.908356241088768
1CO,0.20462358845254658,0.21945408298100044,-0.16696947027270204,-0.019754217814979803,0.19313302847097086,1.0,0.9072163749152536,0.950376594727165,-0.02840013313423566,-0.651587840098678,-0.04961693983582123,0.469470779350836,-0.3912882932752609,-0.12830946978231453,-0.6618188587734452,0.39199798477645176,0.320889649937661,-0.3210946000718639
GAL,0.18206650097431137,0.23495553007506043,-0.024070010219987788,0.03751157766366768,0.2579917178682917,0.9072163749152536,1.0,0.917675235418793,-0.024233081000813214,-0.59484481632305,-0.12407664508372326,0.337444549854669,-0.3607370339888111,-0.21157082496354737,-0.6031284141140442,0.29461046036520944,0.2198777070362476,-0.38215216768048377
ROM,0.1330043707636741,0.16224766430505116,-0.014435251869575887,-0.05403610999986482,0.2244300492546477,0.950376594727165,0.917675235418793,1.0,0.12981426004378888,-0.6450657710174426,-0.17933632806544306,0.29984201410985634,-0.3073544230067902,-0.20060697229619823,-0.5031243925008304,0.18870056430960092,0.1386786495460609,-0.2813542602888131
2CO,-0.8654793220616297,-0.6265936738078607,-0.0030873560253299043,-0.6053365493253314,-0.6994088075769166,-0.02840013313423566,-0.024233081000813214,0.12981426004378888,1.0,0.4540332218799359,0.24768357016030296,-0.3689248208225979,0.6955770163127972,0.4843935403644932,0.5720725991174143,-0.43097457051224386,-0.23481927940842057,0.738518334866006
PHM,-0.6612021897054428,-0.6208146233454156,-0.09130087136213984,-0.36426444571313765,-0.6646637663175021,-0.651587840098678,-0.59484481632305,-0.6450657710174426,0.4540332218799359,1.0,0.37580446511121146,-0.20907075777901946,0.6548603630943388,0.5687022088795766,0.7423421865042247,-0.2487970462804418,-0.10749828358461883,0.6613997704550114
PHP,-0.5530774783293517,-0.6283906890340873,-0.7976693292948216,-0.7726366688762727,-0.6971708086349147,-0.04961693983582123,-0.12407664508372326,-0.17933632806544306,0.24768357016030296,0.37580446511121146,1.0,0.36953601521083723,0.4685804328053094,0.6348513013863923,0.05671977056244227,0.5600622230365863,0.6986715206150744,0.5837453420060923
TIT,0.26149688595409826,-0.22729619027000297,-0.7573616203442832,-0.1435323204990373,0.12277156708625322,0.469470779350836,0.337444549854669,0.29984201410985634,-0.3689248208225979,-0.20907075777901946,0.36953601521083723,1.0,-0.34263822873239336,0.11999802743780512,-0.466571253662725,0.874416911505099,0.8782011444310865,-0.23362070970873622
COL,-0.7645633352212788,-0.6110521197266714,-0.16391422867248867,-0.6285204434447704,-0.6897026839126724,-0.3912882932752609,-0.3607370339888111,-0.3073544230067902,0.6955770163127972,0.6548603630943388,0.4685804328053094,-0.34263822873239336,1.0,0.36902532659909926,0.5759123833303975,-0.21214126017706136,-0.11695178524953959,0.8029745002186348
1TH,-0.756574645395884,-0.5966442970016315,-0.4273166163689453,-0.5136332772818777,-0.8782351562768154,-0.12830946978231453,-0.21157082496354737,-0.20060697229619823,0.4843935403644932,0.5687022088795766,0.6348513013863923,0.11999802743780512,0.36902532659909926,1.0,0.41005199532271674,0.0931999962914072,0.2941455114588441,0.7753288898605903
