,AUTH_hashingrounds,AUTH_donotremoveordisable,AUTH_macros,AUTH_haipe,AUTH_snippets,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_hashingrounds,1.0,-0.010681841418482343,0.14182032674194536,0.6705491497527121,0.7719663636637469,-0.6126638645419439,-0.6621742949037669,-0.6743638987826839,-0.8718482191698046,0.48254468456464084,-0.627665127294061,0.5604104344858866,-0.35405101704659514,-0.6348575795070621,0.0689938593584668,-0.02917300502342364,-0.1520156913653921,-0.841954012577288
AUTH_donotremoveordisable,-0.010681841418482343,1.0,0.351048430251473,0.24298525243863722,-0.2586430975738583,0.42039207933421663,0.2156845914885373,0.38862301553478173,0.17034400518471038,-0.5146831649115514,-0.25112943781737607,-0.6698902075749483,-0.2000099737623243,0.11143131176630201,-0.4596604995013804,-0.3048241758761816,-0.48639852597143945,0.11625303643718632
AUTH_macros,0.14182032674194536,0.351048430251473,1.0,0.5031824598095632,0.2612884810627976,-0.026303820253329085,-0.08217390955299629,0.10757442197452648,-0.16428478866778473,-0.01616064242482422,-0.7264957921349993,-0.4822386293466264,-0.7602795928734054,0.06728259991669232,0.43452449580460656,-0.8418361621912053,-0.8132250344472767,-0.17620338574806177
AUTH_haipe,0.6705491497527121,0.24298525243863722,0.5031824598095632,1.0,0.5893491021664848,-0.46837454505686454,-0.22676934116571235,-0.45891081772355324,-0.6536676755527319,0.3358204601707254,-0.6307325129533932,0.06246646507513709,-0.39263196602724404,-0.4394510604637093,0.10329852122451494,-0.23472803385353758,-0.34146576226473146,-0.6913576580950791
AUTH_snippets,0.7719663636637469,-0.2586430975738583,0.2612884810627976,0.5893491021664848,1.0,-0.6752543956543703,-0.3498767125223304,-0.6308777792268917,-0.7911068580095646,0.588701889186112,-0.5880089774911257,0.4939394657349201,-0.47983136321001374,-0.7791473375763274,0.22907331850991342,-0.05768071837625483,-0.05651532226796428,-0.9414943543679604
1CO,-0.6126638645419439,0.42039207933421663,-0.026303820253329085,-0.46837454505686454,-0.6752543956543703,1.0,0.6493917132506767,0.9730719011924628,0.7809704249104374,-0.7245821101948469,0.1993728135218655,-0.5095313921500582,-0.02315454564522293,0.47848615124031846,-0.434140180455562,-0.1331127547757464,-0.18265623429991354,0.6368450818703469
GAL,-0.6621742949037669,0.2156845914885373,-0.08217390955299629,-0.22676934116571235,-0.3498767125223304,0.6493917132506767,1.0,0.7044264487368063,0.6346274460163485,-0.44088646937499193,0.394319857996557,-0.4589634009407789,0.15292532541738743,0.18199266708838235,-0.3682489377998517,0.1174219732726789,0.15281206914876927,0.32994264847005866
ROM,-0.6743638987826839,0.38862301553478173,0.10757442197452648,-0.45891081772355324,-0.6308777792268917,0.9730719011924628,0.7044264487368063,1.0,0.7983498653243015,-0.7154886925367401,0.16845940265178727,-0.5874263268100046,-0.08716533171815619,0.5175644512068784,-0.28815439408063265,-0.23874728844750692,-0.23900145199783568,0.6457914828119706
2CO,-0.8718482191698046,0.17034400518471038,-0.16428478866778473,-0.6536676755527319,-0.7911068580095646,0.7809704249104374,0.6346274460163485,0.7983498653243015,1.0,-0.5197447897281386,0.43904203783137724,-0.6122819847350726,0.307709930628603,0.5157771154816958,-0.2871075734369182,-0.1254802447473181,-0.08533547475826443,0.7949974293125371
PHM,0.48254468456464084,-0.5146831649115514,-0.01616064242482422,0.3358204601707254,0.588701889186112,-0.7245821101948469,-0.44088646937499193,-0.7154886925367401,-0.5197447897281386,1.0,-0.2943776011814306,0.5946409522148737,-0.059482741625649094,-0.481202180715522,0.44110087614243887,0.08585602261650138,0.086329192454309,-0.5998004840813379
PHP,-0.627665127294061,-0.25112943781737607,-0.7264957921349993,-0.6307325129533932,-0.5880089774911257,0.1993728135218655,0.394319857996557,0.16845940265178727,0.43904203783137724,-0.2943776011814306,1.0,0.02744595983316936,0.8010259446206301,0.4306926351809083,-0.17392443142700986,0.6451664204469029,0.7632857294634247,0.5941842865324547
TIT,0.5604104344858866,-0.6698902075749483,-0.4822386293466264,0.06246646507513709,0.4939394657349201,-0.5095313921500582,-0.4589634009407789,-0.5874263268100046,-0.6122819847350726,0.5946409522148737,0.02744595983316936,1.0,0.11374281242649896,-0.3893974189617725,0.18899944438533778,0.5536658140825006,0.5565795337000078,-0.49631137162532196
COL,-0.35405101704659514,-0.2000099737623243,-0.7602795928734054,-0.39263196602724404,-0.47983136321001374,-0.02315454564522293,0.15292532541738743,-0.08716533171815619,0.307709930628603,-0.059482741625649094,0.8010259446206301,0.11374281242649896,1.0,0.1480580060308322,-0.24344948951234846,0.6645366215650924,0.6596632457783553,0.40674965612268893
1TH,-0.6348575795070621,0.11143131176630201,0.06728259991669232,-0.4394510604637093,-0.7791473375763274,0.47848615124031846,0.18199266708838235,0.5175644512068784,0.5157771154816958,-0.481202180715522,0.4306926351809083,-0.3893974189617725,0.1480580060308322,1.0,0.30439866139998917,-0.21170399472838541,-0.06338351960746322,0.8586235271697391
2TH,0.0689938593584668,-0.4596604995013804,0.43452449580460656,0.10329852122451494,0.22907331850991342,-0.434140180455562,-0.3682489377998517,-0.28815439408063265,-0.2871075734369182,0.44110087614243887,-0.17392443142700986,0.18899944438533778,-0.24344948951234846,0.30439866139998917,1.0,-0.3561025555944488,-0.14061111621947192,-0.015634086163533054
1TI,-0.02917300502342364,-0.3048241758761816,-0.8418361621912053,-0.23472803385353758,-0.05768071837625483,-0.1331127547757464,0.1174219732726789,-0.23874728844750692,-0.1254802447473181,0.08585602261650138,0.6451664204469029,0.5536658140825006,0.6645366215650924,-0.21170399472838541,-0.3561025555944488,1.0,0.9398173928633018,-0.03945830171261422
2TI,-0.1520156913653921,-0.48639852597143945,-0.8132250344472767,-0.34146576226473146,-0.05651532226796428,-0.18265623429991354,0.15281206914876927,-0.23900145199783568,-0.08533547475826443,0.086329192454309,0.7632857294634247,0.5565795337000078,0.6596632457783553,-0.06338351960746322,-0.14061111621947192,0.9398173928633018,1.0,0.04210603674342088
EPH,-0.841954012577288,0.11625303643718632,-0.17620338574806177,-0.6913576580950791,-0.9414943543679604,0.6368450818703469,0.32994264847005866,0.6457914828119706,0.7949974293125371,-0.5998004840813379,0.5941842865324547,-0.49631137162532196,0.40674965612268893,0.8586235271697391,-0.015634086163533054,-0.03945830171261422,0.04210603674342088,1.0
